"Status","Year","Disability","Organisation","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Scotland","Outside London","10","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Outside London","20","15","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","Outside London","30","25","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","Outside London","20","15","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Outside London","15","10","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","East of England","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","North West (England)","Outside London","50","45","26880","24360"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Scotland","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","South East (England)","Outside London","100","95","32530","29090"
"In post","2022","Declared disabled","Animal and Plant Health Agency","South West (England)","Outside London","60","55","26180","24920"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Wales","Outside London","40","35","26600","24920"
"In post","2022","Declared disabled","Animal and Plant Health Agency","West Midlands (England)","Outside London","45","40","29010","25190"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Yorkshire and The Humber","Outside London","35","30","26460","24920"
"In post","2022","Declared disabled","Attorney General's Office","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","East of England","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","London","500","490","48900","49700"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","North East (England)","Outside London","65","60","28870","24100"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","North West (England)","Outside London","40","40","42250","37580"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Scotland","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","South East (England)","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Outside London","100","95","33710","33300"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","East of England","Outside London","30","30","29210","27090"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","North West (England)","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
