"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","AA/AO","10","10","21600","21260"
"In post","2022","16-19","Analysis","EO","25","25","25860","26250"
"In post","2022","16-19","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","15","15","22520","21250"
"In post","2022","16-19","Communications","EO","10","10","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AA/AO","15","15","22290","21260"
"In post","2022","16-19","Counter Fraud","EO","10","10","[c]","[c]"
"In post","2022","16-19","Debt","AA/AO","45","45","21250","21250"
"In post","2022","16-19","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","AA/AO","15","15","19430","19380"
"In post","2022","16-19","Digital, Data & Technology","EO","10","10","26830","26890"
"In post","2022","16-19","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","15","10","20750","21250"
"In post","2022","16-19","Finance","EO","20","20","20840","19460"
"In post","2022","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","AA/AO","10","10","20720","21300"
"In post","2022","16-19","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","15","15","21240","21170"
"In post","2022","16-19","Human Resources","EO","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","35","35","21580","22200"
"In post","2022","16-19","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","AA/AO","595","565","21450","21250"
"In post","2022","16-19","No function","EO","80","80","26120","25520"
"In post","2022","16-19","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","90","90","18470","18030"
"In post","2022","16-19","Project Delivery","Unknown","15","15","18160","17140"
"In post","2022","16-19","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","EO","15","15","26130","26030"
"In post","2022","16-19","Property","Unknown","15","15","19130","16630"
"In post","2022","16-19","Security","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Security","EO","5","5","[c]","[c]"
"In post","2022","16-19","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","100","100","21750","21260"
"In post","2022","16-19","Unknown","EO","25","25","26210","24880"
"In post","2022","16-19","Unknown","Unknown","35","35","18130","16720"
"In post","2022","20-29","Analysis","AA/AO","165","165","21840","21260"
"In post","2022","20-29","Analysis","EO","405","405","27050","27270"
"In post","2022","20-29","Analysis","G6/G7","420","415","55010","54090"
"In post","2022","20-29","Analysis","SEO/HEO","2015","2005","34990","34000"
"In post","2022","20-29","Commercial","AA/AO","75","70","21880","21640"
"In post","2022","20-29","Commercial","EO","285","285","26260","26350"
"In post","2022","20-29","Commercial","G6/G7","160","160","57560","54700"
"In post","2022","20-29","Commercial","SEO/HEO","555","550","35380","34550"
"In post","2022","20-29","Commercial","Unknown","30","30","27520","27000"
"In post","2022","20-29","Communications","AA/AO","120","115","21870","21250"
"In post","2022","20-29","Communications","EO","1200","1190","26830","26820"
"In post","2022","20-29","Communications","G6/G7","100","100","55560","54220"
"In post","2022","20-29","Communications","SEO/HEO","800","795","35680","33370"
"In post","2022","20-29","Communications","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Counter Fraud","AA/AO","375","370","22210","21260"
"In post","2022","20-29","Counter Fraud","EO","1125","1110","27800","26820"
"In post","2022","20-29","Counter Fraud","G6/G7","65","65","56150","55210"
"In post","2022","20-29","Counter Fraud","SEO/HEO","465","465","35120","33370"
"In post","2022","20-29","Debt","AA/AO","1115","1075","21390","21250"
"In post","2022","20-29","Debt","EO","150","145","26610","26820"
"In post","2022","20-29","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","SEO/HEO","25","25","33440","33080"
"In post","2022","20-29","Digital, Data & Technology","AA/AO","250","250","21180","21170"
"In post","2022","20-29","Digital, Data & Technology","EO","975","965","26980","26820"
"In post","2022","20-29","Digital, Data & Technology","G6/G7","315","310","54370","54160"
"In post","2022","20-29","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","SEO/HEO","1680","1670","35460","33930"
"In post","2022","20-29","Digital, Data & Technology","Unknown","10","10","28750","28050"
"In post","2022","20-29","Finance","AA/AO","270","250","21590","21250"
"In post","2022","20-29","Finance","EO","500","495","25640","26180"
"In post","2022","20-29","Finance","G6/G7","185","185","55240","54070"
"In post","2022","20-29","Finance","SEO/HEO","795","790","35470","34550"
"In post","2022","20-29","Finance","Unknown","15","15","29380","31010"
"In post","2022","20-29","Grants Management","AA/AO","290","285","21250","21300"
"In post","2022","20-29","Grants Management","EO","70","70","24860","24920"
"In post","2022","20-29","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","SEO/HEO","15","15","30930","29180"
"In post","2022","20-29","Human Resources","AA/AO","310","305","21470","21170"
"In post","2022","20-29","Human Resources","EO","510","505","26610","26820"
"In post","2022","20-29","Human Resources","G6/G7","140","140","55150","54070"
"In post","2022","20-29","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SEO/HEO","695","695","33700","33000"
"In post","2022","20-29","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","EO","10","10","[c]","[c]"
"In post","2022","20-29","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","SEO/HEO","40","40","35680","33930"
"In post","2022","20-29","Legal","AA/AO","485","480","22500","22200"
"In post","2022","20-29","Legal","EO","600","595","27420","26970"
"In post","2022","20-29","Legal","G6/G7","225","225","52320","50500"
"In post","2022","20-29","Legal","SEO/HEO","390","390","38390","38180"
"In post","2022","20-29","No function","AA/AO","18820","18330","23090","21260"
"In post","2022","20-29","No function","EO","11925","11780","28040","27570"
"In post","2022","20-29","No function","G6/G7","2655","2645","54690","53420"
"In post","2022","20-29","No function","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","No function","SEO/HEO","12195","12135","34070","33250"
"In post","2022","20-29","No function","Unknown","3370","3305","25420","24090"
"In post","2022","20-29","Project Delivery","AA/AO","115","115","21780","21300"
"In post","2022","20-29","Project Delivery","EO","1075","1065","24400","25500"
"In post","2022","20-29","Project Delivery","G6/G7","230","230","54410","54070"
"In post","2022","20-29","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Project Delivery","SEO/HEO","1980","1965","33940","33260"
"In post","2022","20-29","Project Delivery","Unknown","380","380","28640","27540"
"In post","2022","20-29","Property","AA/AO","285","280","21830","22010"
"In post","2022","20-29","Property","EO","360","350","26330","26030"
"In post","2022","20-29","Property","G6/G7","40","40","53620","53420"
"In post","2022","20-29","Property","SEO/HEO","420","415","34600","33300"
"In post","2022","20-29","Property","Unknown","30","30","24200","24080"
"In post","2022","20-29","Security","AA/AO","830","825","25260","24900"
"In post","2022","20-29","Security","EO","300","295","27470","26670"
"In post","2022","20-29","Security","G6/G7","25","25","53230","54700"
"In post","2022","20-29","Security","SEO/HEO","345","345","35940","35070"
"In post","2022","20-29","Security","Unknown","25","25","26240","26000"
"In post","2022","20-29","Unknown","AA/AO","3050","2955","22290","21680"
"In post","2022","20-29","Unknown","EO","3675","3640","26760","26350"
"In post","2022","20-29","Unknown","G6/G7","485","480","57060","57430"
"In post","2022","20-29","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","SEO/HEO","3140","3120","36250","35050"
"In post","2022","20-29","Unknown","Unknown","380","380","28150","28980"
"In post","2022","30-39","Analysis","AA/AO","20","20","21690","21510"
"In post","2022","30-39","Analysis","EO","135","130","26500","25750"
"In post","2022","30-39","Analysis","G6/G7","1015","970","57770","55210"
"In post","2022","30-39","Analysis","SCS level","40","40","79870","75060"
"In post","2022","30-39","Analysis","SEO/HEO","1135","1095","36980","37570"
"In post","2022","30-39","Commercial","AA/AO","45","40","21870","21300"
"In post","2022","30-39","Commercial","EO","145","135","26410","26350"
"In post","2022","30-39","Commercial","G6/G7","530","520","60350","60570"
"In post","2022","30-39","Commercial","SCS level","35","35","89340","75820"
"In post","2022","30-39","Commercial","SEO/HEO","820","795","36980","37160"
"In post","2022","30-39","Commercial","Unknown","55","55","37500","37400"
"In post","2022","30-39","Communications","AA/AO","80","70","21450","21250"
"In post","2022","30-39","Communications","EO","940","905","26770","26820"
"In post","2022","30-39","Communications","G6/G7","430","415","58200","56300"
"In post","2022","30-39","Communications","SCS level","25","25","87950","80000"
"In post","2022","30-39","Communications","SEO/HEO","1230","1200","36380","33370"
"In post","2022","30-39","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Counter Fraud","AA/AO","320","290","22180","21260"
"In post","2022","30-39","Counter Fraud","EO","1345","1295","27730","26820"
"In post","2022","30-39","Counter Fraud","G6/G7","270","265","57700","55210"
"In post","2022","30-39","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Counter Fraud","SEO/HEO","1225","1200","35400","33370"
"In post","2022","30-39","Debt","AA/AO","1015","905","21330","21250"
"In post","2022","30-39","Debt","EO","210","200","26850","26820"
"In post","2022","30-39","Debt","G6/G7","10","10","58520","55210"
"In post","2022","30-39","Debt","SEO/HEO","65","60","34130","33370"
"In post","2022","30-39","Digital, Data & Technology","AA/AO","165","160","21710","21260"
"In post","2022","30-39","Digital, Data & Technology","EO","695","675","27290","26820"
"In post","2022","30-39","Digital, Data & Technology","G6/G7","1565","1540","56820","54700"
"In post","2022","30-39","Digital, Data & Technology","SCS level","50","50","83540","78600"
"In post","2022","30-39","Digital, Data & Technology","SEO/HEO","2770","2715","37110","36840"
"In post","2022","30-39","Digital, Data & Technology","Unknown","15","15","33740","33160"
"In post","2022","30-39","Finance","AA/AO","240","210","21520","21250"
"In post","2022","30-39","Finance","EO","385","360","26680","26670"
"In post","2022","30-39","Finance","G6/G7","665","650","57890","55850"
"In post","2022","30-39","Finance","SCS level","45","45","79490","75540"
"In post","2022","30-39","Finance","SEO/HEO","1165","1125","36940","36500"
"In post","2022","30-39","Finance","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Grants Management","AA/AO","250","230","21260","21300"
"In post","2022","30-39","Grants Management","EO","125","115","25020","24920"
"In post","2022","30-39","Grants Management","G6/G7","10","10","[c]","[c]"
"In post","2022","30-39","Grants Management","SEO/HEO","60","55","30950","29840"
"In post","2022","30-39","Human Resources","AA/AO","320","290","21670","21170"
"In post","2022","30-39","Human Resources","EO","550","525","26800","26820"
"In post","2022","30-39","Human Resources","G6/G7","520","505","57160","55210"
"In post","2022","30-39","Human Resources","SCS level","35","35","81070","75930"
"In post","2022","30-39","Human Resources","SEO/HEO","1195","1155","35740","34550"
"In post","2022","30-39","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Internal Audit","G6/G7","35","35","53800","52870"
"In post","2022","30-39","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Internal Audit","SEO/HEO","80","75","38500","39200"
"In post","2022","30-39","Legal","AA/AO","205","185","22760","22200"
"In post","2022","30-39","Legal","EO","360","345","27510","27050"
"In post","2022","30-39","Legal","G6/G7","1660","1585","56490","53050"
"In post","2022","30-39","Legal","SCS level","45","45","78740","75330"
"In post","2022","30-39","Legal","SEO/HEO","610","590","40260","40000"
"In post","2022","30-39","No function","AA/AO","18125","16580","23450","21520"
"In post","2022","30-39","No function","EO","15420","14625","28420","27570"
"In post","2022","30-39","No function","G6/G7","7240","7065","56920","54700"
"In post","2022","30-39","No function","SCS level","630","605","78530","74340"
"In post","2022","30-39","No function","SEO/HEO","13585","13225","36420","35610"
"In post","2022","30-39","No function","Unknown","4375","4050","29030","27980"
"In post","2022","30-39","Project Delivery","AA/AO","70","65","21680","21260"
"In post","2022","30-39","Project Delivery","EO","565","535","24880","26000"
"In post","2022","30-39","Project Delivery","G6/G7","1730","1700","55780","54540"
"In post","2022","30-39","Project Delivery","SCS level","60","60","83230","78410"
"In post","2022","30-39","Project Delivery","SEO/HEO","3230","3130","36290","36670"
"In post","2022","30-39","Project Delivery","Unknown","365","360","39340","39860"
"In post","2022","30-39","Property","AA/AO","260","245","22360","22010"
"In post","2022","30-39","Property","EO","305","295","26420","26350"
"In post","2022","30-39","Property","G6/G7","275","270","56740","54700"
