"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Delivery","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Delivery","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Research","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Research","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Other","EO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Other","G6/G7","20","15","[c]","[c]"
"In post","2022","Asian","Analysis","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Other","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Policy","EO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Policy","G6/G7","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Policy","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Social Research","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Social Research","SEO/HEO","35","35","35690","35930"
"In post","2022","Asian","Analysis","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Statistics","EO","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Statistics","G6/G7","50","45","58960","59110"
"In post","2022","Asian","Analysis","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Statistics","SEO/HEO","95","95","38680","38340"
"In post","2022","Asian","Analysis","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Commercial","AA/AO","10","5","[c]","[c]"
"In post","2022","Asian","Commercial","Commercial","EO","35","35","26840","26630"
"In post","2022","Asian","Commercial","Commercial","G6/G7","25","25","[c]","[c]"
"In post","2022","Asian","Commercial","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Commercial","SEO/HEO","110","105","37470","38510"
"In post","2022","Asian","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Operational Delivery","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Operational Delivery","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Asian","Commercial","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Science and Engineering","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Tax","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","G6/G7","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Communications","AA/AO","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Communications","EO","35","30","28050","27530"
"In post","2022","Asian","Communications","Communications","G6/G7","25","25","[c]","[c]"
"In post","2022","Asian","Communications","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Communications","SEO/HEO","80","75","39110","38700"
"In post","2022","Asian","Communications","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Operational Delivery","AA/AO","35","35","21270","21250"
"In post","2022","Asian","Communications","Operational Delivery","EO","95","95","26670","26590"
"In post","2022","Asian","Communications","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Operational Delivery","SEO/HEO","90","90","34790","33370"
"In post","2022","Asian","Communications","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Tax","EO","215","210","26710","26820"
"In post","2022","Asian","Communications","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Tax","SEO/HEO","75","70","33750","33370"
"In post","2022","Asian","Communications","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","EO","15","15","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Counter Fraud","AA/AO","235","200","23760","25110"
"In post","2022","Asian","Counter Fraud","Counter Fraud","EO","295","275","29090","27570"
"In post","2022","Asian","Counter Fraud","Counter Fraud","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Counter Fraud","SEO/HEO","65","65","36390","36650"
"In post","2022","Asian","Counter Fraud","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Intelligence Analysis","EO","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Intelligence Analysis","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Legal","AA/AO","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Legal","EO","85","80","29220","30750"
"In post","2022","Asian","Counter Fraud","Legal","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Legal","SEO/HEO","80","80","36700","37610"
"In post","2022","Asian","Counter Fraud","Operational Delivery","AA/AO","100","85","23070","21950"
"In post","2022","Asian","Counter Fraud","Operational Delivery","EO","110","105","28640","27570"
"In post","2022","Asian","Counter Fraud","Operational Delivery","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Operational Delivery","SEO/HEO","80","80","36520","33370"
"In post","2022","Asian","Counter Fraud","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Other","EO","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Other","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Other","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Tax","EO","45","40","29170","26820"
"In post","2022","Asian","Counter Fraud","Tax","G6/G7","20","20","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Tax","SEO/HEO","90","85","37390","37930"
"In post","2022","Asian","Counter Fraud","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","EO","35","35","29140","30750"
"In post","2022","Asian","Counter Fraud","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Asian","Debt","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Operational Delivery","AA/AO","280","240","23050","21250"
"In post","2022","Asian","Debt","Operational Delivery","EO","55","45","29090","26820"
"In post","2022","Asian","Debt","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Operational Delivery","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Debt","Other","AA/AO","275","225","21810","21260"
"In post","2022","Asian","Debt","Other","EO","35","30","29010","27570"
"In post","2022","Asian","Debt","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Tax","AA/AO","85","80","21550","21250"
"In post","2022","Asian","Debt","Tax","EO","5","5","[c]","[c]"
"In post","2022","Asian","Debt","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Digital, Data and Technology","AA/AO","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Digital, Data and Technology","EO","230","225","28070","27570"
"In post","2022","Asian","Digital, Data & Technology","Digital, Data and Technology","G6/G7","295","295","58560","56040"
"In post","2022","Asian","Digital, Data & Technology","Digital, Data and Technology","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Digital, Data and Technology","SEO/HEO","515","510","37530","36970"
"In post","2022","Asian","Digital, Data & Technology","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Knowledge and Information Management","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Knowledge and Information Management","EO","10","5","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Knowledge and Information Management","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Operational Delivery","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Operational Delivery","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Policy","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Policy","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Project Delivery","SEO/HEO","10","10","[c]","[c]"
