"Status","Year","Disability","Region_ITL1","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","1740","1600","30220","27570"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","805","725","27210","26830"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire","Outside London","415","385","28500","27570"
"In post","2022","Declared disabled","East of England","Bedfordshire and Hertfordshire","Outside London","545","505","32170","29290"
"In post","2022","Declared disabled","East of England","East Anglia","Outside London","1475","1350","29690","27570"
"In post","2022","Declared disabled","East of England","Essex","Outside London","685","620","30280","29290"
"In post","2022","Declared disabled","London","Inner London - East","London","1860","1760","38740","33440"
"In post","2022","Declared disabled","London","Inner London - West","London","5455","5275","45430","40600"
"In post","2022","Declared disabled","London","Outer London - East and North East","London","530","490","30950","31060"
"In post","2022","Declared disabled","London","Outer London - South","London","1205","1130","37480","33230"
"In post","2022","Declared disabled","London","Outer London - West and North West","London","880","810","32430","31060"
"In post","2022","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","Outside London","2600","2295","28260","26820"
"In post","2022","Declared disabled","North East (England)","Tees Valley and Durham","Outside London","1230","1095","28220","27570"
"In post","2022","Declared disabled","North West (England)","Cheshire","Outside London","465","420","30370","27570"
"In post","2022","Declared disabled","North West (England)","Cumbria","Outside London","260","235","28950","25930"
"In post","2022","Declared disabled","North West (England)","Greater Manchester","Outside London","2395","2210","30950","27570"
"In post","2022","Declared disabled","North West (England)","Lancashire","Outside London","2065","1850","27880","27570"
"In post","2022","Declared disabled","North West (England)","Merseyside","Outside London","2500","2245","28770","26820"
"In post","2022","Declared disabled","Northern Ireland","Northern Ireland","Outside London","340","315","29440","26820"
"In post","2022","Declared disabled","Overseas","Overseas","Overseas","235","235","47790","44970"
"In post","2022","Declared disabled","Scotland","Eastern Scotland","Outside London","2060","1915","33870","28990"
"In post","2022","Declared disabled","Scotland","Highlands and Islands","Outside London","180","160","28940","27570"
"In post","2022","Declared disabled","Scotland","North Eastern Scotland","Outside London","135","125","33920","27750"
"In post","2022","Declared disabled","Scotland","Southern Scotland","Outside London","535","475","29180","26990"
"In post","2022","Declared disabled","Scotland","West Central Scotland","Outside London","1935","1750","29600","27570"
"In post","2022","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","1040","980","32410","29290"
"In post","2022","Declared disabled","South East (England)","Hampshire and Isle of Wight","Outside London","1655","1495","30650","27570"
"In post","2022","Declared disabled","South East (England)","Kent","Outside London","995","920","29870","29260"
"In post","2022","Declared disabled","South East (England)","Surrey, East and West Sussex","Outside London","1035","940","30070","27570"
"In post","2022","Declared disabled","South West (England)","Cornwall and Isles of Scilly","Outside London","250","225","26730","27570"
"In post","2022","Declared disabled","South West (England)","Devon","Outside London","1055","945","29250","27570"
"In post","2022","Declared disabled","South West (England)","Dorset and Somerset","Outside London","660","600","29460","27570"
"In post","2022","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","3025","2855","34850","32380"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","150","140","32460","28000"
"In post","2022","Declared disabled","Wales","East Wales","Outside London","1895","1750","32260","27570"
"In post","2022","Declared disabled","Wales","West Wales and The Valleys","Outside London","1930","1685","26660","25570"
"In post","2022","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","480","440","28870","27570"
"In post","2022","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","Outside London","1170","1070","29900","27570"
"In post","2022","Declared disabled","West Midlands (England)","West Midlands","Outside London","2380","2160","29970","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","550","490","27730","27380"
"In post","2022","Declared disabled","Yorkshire and The Humber","North Yorkshire","Outside London","490","460","31710","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","South Yorkshire","Outside London","1310","1175","30610","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","West Yorkshire","Outside London","2015","1835","31560","27570"
"In post","2022","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","8895","8250","32580","27570"
"In post","2022","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","4285","3935","28580","26950"
"In post","2022","Declared non-disabled","East Midlands (England)","Lincolnshire","Outside London","2095","1975","28880","26930"
"In post","2022","Declared non-disabled","East of England","Bedfordshire and Hertfordshire","Outside London","3150","2960","33440","29290"
"In post","2022","Declared non-disabled","East of England","East Anglia","Outside London","8780","8185","30380","27570"
"In post","2022","Declared non-disabled","East of England","Essex","Outside London","3590","3310","31500","29290"
"In post","2022","Declared non-disabled","London","Inner London - East","London","11915","11415","42900","37610"
"In post","2022","Declared non-disabled","London","Inner London - West","London","38320","37190","48580","44500"
"In post","2022","Declared non-disabled","London","Outer London - East and North East","London","2825","2630","31650","31060"
"In post","2022","Declared non-disabled","London","Outer London - South","London","7945","7535","39090","35070"
"In post","2022","Declared non-disabled","London","Outer London - West and North West","London","6365","5935","33320","31060"
"In post","2022","Declared non-disabled","North East (England)","Northumberland, and Tyne and Wear","Outside London","15365","13955","30610","27570"
"In post","2022","Declared non-disabled","North East (England)","Tees Valley and Durham","Outside London","6645","6050","29160","27130"
"In post","2022","Declared non-disabled","North West (England)","Cheshire","Outside London","2500","2330","31480","27570"
"In post","2022","Declared non-disabled","North West (England)","Cumbria","Outside London","1790","1640","28450","25100"
"In post","2022","Declared non-disabled","North West (England)","Greater Manchester","Outside London","13920","13115","32530","27570"
"In post","2022","Declared non-disabled","North West (England)","Lancashire","Outside London","10240","9360","29650","27570"
"In post","2022","Declared non-disabled","North West (England)","Merseyside","Outside London","14285","13175","29800","26820"
"In post","2022","Declared non-disabled","Northern Ireland","Northern Ireland","Outside London","2565","2435","30190","26820"
"In post","2022","Declared non-disabled","Overseas","Overseas","Overseas","2350","2340","49080","47470"
"In post","2022","Declared non-disabled","Scotland","Eastern Scotland","Outside London","11185","10570","36350","30840"
"In post","2022","Declared non-disabled","Scotland","Highlands and Islands","Outside London","1425","1345","29990","27570"
