"Status","Year","Age","Region_ITL1","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","East Midlands (England)","Leicester","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicester","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicestershire CC and Rutland","Female","10","10","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicestershire CC and Rutland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Lincolnshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Lincolnshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","North Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","North Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","North Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","North Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Nottingham","Female","15","15","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Nottingham","Male","10","10","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","South and West Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","South and West Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","West Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","West Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Heart of Essex","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Heart of Essex","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Hertfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Norwich and East Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Norwich and East Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Peterborough","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Peterborough","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Suffolk CC","Female","10","10","[c]","[c]"
"In post","2022","16-19","East of England","Suffolk CC","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Thurrock","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Thurrock","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Barnet","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Barnet","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Bexley and Greenwich","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Bexley and Greenwich","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Brent","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Brent","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Croydon","Female","10","10","[c]","[c]"
"In post","2022","16-19","London","Croydon","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Enfield","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Enfield","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Hackney and Newham","Female","5","5","[c]","[c]"
"In post","2022","16-19","London","Hackney and Newham","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Haringey and Islington","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Haringey and Islington","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Hounslow and Richmond upon Thames","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Hounslow and Richmond upon Thames","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Kensington & Chelsea and Hammersmith & Fulham","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Kensington & Chelsea and Hammersmith & Fulham","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Lewisham and Southwark","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Lewisham and Southwark","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Redbridge and Waltham Forest","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Redbridge and Waltham Forest","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Tower Hamlets","Female","5","5","[c]","[c]"
"In post","2022","16-19","London","Tower Hamlets","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Westminster","Female","45","45","25470","25110"
"In post","2022","16-19","London","Westminster","Male","40","40","25160","25170"
"In post","2022","16-19","North East (England)","Durham","Female","10","10","[c]","[c]"
"In post","2022","16-19","North East (England)","Durham","Male","[c]","[c]","[c]","[c]"
