"Status","Year","Disability","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","AA/AO","15725","13805","22430","21260"
"In post","2022","Declared disabled","EO","16270","14780","27980","27570"
"In post","2022","Declared disabled","G6/G7","5385","5180","58590","56150"
"In post","2022","Declared disabled","SCS level","490","475","88790","80000"
"In post","2022","Declared disabled","SEO/HEO","13220","12610","36940","35980"
"In post","2022","Declared disabled","Unknown","3520","3290","31270","28760"
"In post","2022","Declared non-disabled","AA/AO","86900","78255","22840","21300"
"In post","2022","Declared non-disabled","EO","87235","80785","27810","27570"
"In post","2022","Declared non-disabled","G6/G7","47705","45985","59060","57400"
"In post","2022","Declared non-disabled","SCS level","5085","4925","89500","82110"
"In post","2022","Declared non-disabled","SEO/HEO","94430","90800","37240","36460"
"In post","2022","Declared non-disabled","Unknown","13340","12495","31680","29400"
"In post","2022","Undeclared","AA/AO","8795","7880","24550","21860"
"In post","2022","Undeclared","EO","6870","6420","28590","27570"
"In post","2022","Undeclared","G6/G7","2965","2885","59600","57460"
"In post","2022","Undeclared","SCS level","255","250","86270","80770"
"In post","2022","Undeclared","SEO/HEO","7690","7410","37830","36960"
"In post","2022","Undeclared","Unknown","910","855","32880","31420"
"In post","2022","Unknown","AA/AO","25745","23860","22960","21680"
"In post","2022","Unknown","EO","20895","20020","28520","27270"
"In post","2022","Unknown","G6/G7","13390","13000","59390","56970"
"In post","2022","Unknown","SCS level","1390","1350","96880","89830"
"In post","2022","Unknown","SEO/HEO","26185","25450","36880","36360"
"In post","2022","Unknown","Unknown","5675","5325","31430","28660"
"Leaver CS","2022","Declared disabled","AA/AO","1800","[c]","21560","21260"
"Leaver CS","2022","Declared disabled","EO","1275","[c]","27730","27570"
"Leaver CS","2022","Declared disabled","G6/G7","295","[c]","59630","57490"
"Leaver CS","2022","Declared disabled","SCS level","35","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SEO/HEO","810","[c]","37560","36330"
"Leaver CS","2022","Declared disabled","Unknown","260","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","10020","[c]","21650","21260"
"Leaver CS","2022","Declared non-disabled","EO","6600","[c]","27740","27570"
"Leaver CS","2022","Declared non-disabled","G6/G7","2685","[c]","60150","58220"
"Leaver CS","2022","Declared non-disabled","SCS level","460","[c]","96030","93000"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","5410","[c]","37490","36710"
"Leaver CS","2022","Declared non-disabled","Unknown","1050","[c]","37620","36680"
"Leaver CS","2022","Undeclared","AA/AO","985","[c]","21940","21260"
"Leaver CS","2022","Undeclared","EO","500","[c]","27720","27570"
