"Status","Year","Region_ITL2","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","Outside London","Heterosexual / straight","590","555","30850","28140"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","Outside London","LGBO","40","35","29150","28140"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","Outside London","Undeclared","80","75","32700","29530"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","Outside London","Unknown","150","135","29210","28140"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","Heterosexual / straight","340","330","31760","27640"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","Undeclared","55","50","32660","32280"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","Unknown","35","35","28980","26790"
"In post","2022","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","Heterosexual / straight","2040","1935","35980","31260"
"In post","2022","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","LGBO","105","105","34340","30710"
"In post","2022","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","Undeclared","210","200","35100","31880"
"In post","2022","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","Unknown","485","450","35990","31880"
"In post","2022","Bedfordshire and Hertfordshire","Luton","Outside London","Heterosexual / straight","410","375","27790","27570"
"In post","2022","Bedfordshire and Hertfordshire","Luton","Outside London","LGBO","25","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Luton","Outside London","Undeclared","45","40","29820","27570"
"In post","2022","Bedfordshire and Hertfordshire","Luton","Outside London","Unknown","80","70","27090","26850"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","Heterosexual / straight","1960","1875","34680","31020"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","LGBO","100","95","33730","29290"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","Undeclared","275","260","35160","33330"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","Unknown","595","565","33470","29290"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","Heterosexual / straight","1275","1215","33510","30450"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","LGBO","65","65","31260","28140"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","Undeclared","160","155","32460","32280"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","Unknown","185","170","32560","29530"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","Heterosexual / straight","1650","1570","33390","28990"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","LGBO","105","100","29250","27570"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","Undeclared","170","160","34660","31280"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","Unknown","325","310","31530","28140"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","Heterosexual / straight","1865","1755","32640","29530"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","LGBO","100","100","35090","33100"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","Undeclared","280","265","35640","33300"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","Unknown","425","395","33970","29600"
"In post","2022","Cheshire","Cheshire East","Outside London","Heterosexual / straight","810","755","30950","27570"
"In post","2022","Cheshire","Cheshire East","Outside London","LGBO","75","75","31110","27570"
"In post","2022","Cheshire","Cheshire East","Outside London","Undeclared","130","120","30520","27570"
"In post","2022","Cheshire","Cheshire East","Outside London","Unknown","215","195","26990","25190"
"In post","2022","Cheshire","Cheshire West and Chester","Outside London","Heterosexual / straight","375","345","28620","27570"
"In post","2022","Cheshire","Cheshire West and Chester","Outside London","LGBO","30","30","[c]","[c]"
"In post","2022","Cheshire","Cheshire West and Chester","Outside London","Undeclared","45","40","27490","27170"
"In post","2022","Cheshire","Cheshire West and Chester","Outside London","Unknown","65","60","29630","27020"
"In post","2022","Cheshire","Warrington","Outside London","Heterosexual / straight","1935","1845","33980","31990"
"In post","2022","Cheshire","Warrington","Outside London","LGBO","115","110","33380","31470"
"In post","2022","Cheshire","Warrington","Outside London","Undeclared","190","180","33630","32770"
"In post","2022","Cheshire","Warrington","Outside London","Unknown","410","375","30850","28000"
"In post","2022","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","1255","1155","28050","26840"
"In post","2022","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","LGBO","65","60","27430","27570"
"In post","2022","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","Undeclared","175","160","28120","26930"
"In post","2022","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","Unknown","275","245","26470","24090"
"In post","2022","Cumbria","East Cumbria","Outside London","Heterosexual / straight","710","655","28790","25640"
"In post","2022","Cumbria","East Cumbria","Outside London","LGBO","40","40","29010","25660"
"In post","2022","Cumbria","East Cumbria","Outside London","Undeclared","90","85","29090","25100"
"In post","2022","Cumbria","East Cumbria","Outside London","Unknown","175","160","27820","24920"
"In post","2022","Cumbria","West Cumbria","Outside London","Heterosexual / straight","715","655","30940","27570"
"In post","2022","Cumbria","West Cumbria","Outside London","LGBO","45","40","29380","27120"
"In post","2022","Cumbria","West Cumbria","Outside London","Undeclared","85","75","32490","28050"
"In post","2022","Cumbria","West Cumbria","Outside London","Unknown","460","415","24960","21300"
"In post","2022","Derbyshire and Nottinghamshire","Derby","Outside London","Heterosexual / straight","720","650","27690","26310"
"In post","2022","Derbyshire and Nottinghamshire","Derby","Outside London","LGBO","40","40","27010","24800"
"In post","2022","Derbyshire and Nottinghamshire","Derby","Outside London","Undeclared","95","85","28180","21440"
"In post","2022","Derbyshire and Nottinghamshire","Derby","Outside London","Unknown","260","225","25670","23540"
"In post","2022","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","Heterosexual / straight","300","265","28380","27570"
"In post","2022","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","Undeclared","35","30","27380","27570"
"In post","2022","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","Unknown","65","55","28400","27570"
"In post","2022","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","Heterosexual / straight","775","730","30560","27570"
"In post","2022","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","LGBO","35","35","31630","27570"
"In post","2022","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","Undeclared","75","70","30170","27570"
"In post","2022","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","Unknown","210","190","27770","27570"
"In post","2022","Derbyshire and Nottinghamshire","Nottingham","Outside London","Heterosexual / straight","5650","5300","33500","29610"
"In post","2022","Derbyshire and Nottinghamshire","Nottingham","Outside London","LGBO","425","410","31470","27570"
"In post","2022","Derbyshire and Nottinghamshire","Nottingham","Outside London","Undeclared","710","660","33430","31740"
"In post","2022","Derbyshire and Nottinghamshire","Nottingham","Outside London","Unknown","2040","1920","30150","26820"
"In post","2022","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","Heterosexual / straight","825","760","34240","28210"
"In post","2022","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","LGBO","50","50","30960","28850"
"In post","2022","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","Undeclared","125","115","37830","31710"
"In post","2022","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","Unknown","195","170","31260","27570"
"In post","2022","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","Heterosexual / straight","775","735","32550","28550"
"In post","2022","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","LGBO","35","35","34560","31650"
"In post","2022","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","Undeclared","95","85","31280","29180"
"In post","2022","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","Unknown","140","130","32380","27780"
"In post","2022","Devon","Devon CC","Outside London","Heterosexual / straight","4065","3755","33350","28980"
"In post","2022","Devon","Devon CC","Outside London","LGBO","255","245","30500","27570"
"In post","2022","Devon","Devon CC","Outside London","Undeclared","670","615","34940","32800"
"In post","2022","Devon","Devon CC","Outside London","Unknown","690","600","26870","25000"
"In post","2022","Devon","Plymouth","Outside London","Heterosexual / straight","2230","2075","32170","27570"
"In post","2022","Devon","Plymouth","Outside London","LGBO","110","105","29180","27570"
"In post","2022","Devon","Plymouth","Outside London","Undeclared","295","275","34080","33000"
"In post","2022","Devon","Plymouth","Outside London","Unknown","640","595","28960","27130"
"In post","2022","Devon","Torbay","Outside London","Heterosexual / straight","225","195","27480","27570"
"In post","2022","Devon","Torbay","Outside London","LGBO","25","25","[c]","[c]"
"In post","2022","Devon","Torbay","Outside London","Undeclared","35","30","27730","27570"
"In post","2022","Devon","Torbay","Outside London","Unknown","70","60","25390","21260"
"In post","2022","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","Heterosexual / straight","560","510","28130","27570"
"In post","2022","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","LGBO","35","35","30130","27570"
"In post","2022","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","Undeclared","80","70","27730","27470"
"In post","2022","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","Unknown","110","90","27480","27570"
