"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Midlands (England)","East Derbyshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicester","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicester","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicestershire CC and Rutland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicestershire CC and Rutland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire CC","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","North Northamptonshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","North Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Nottingham","EO","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Nottingham","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Nottingham","G7","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Nottingham","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Nottingham","SEO","10","10","40150","40470"
"In post","2022","Analysis","East Midlands (England)","South and West Derbyshire","EO","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South and West Derbyshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South and West Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South and West Derbyshire","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South and West Derbyshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","West Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","West Northamptonshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Bedford","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Bedford","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Cambridgeshire CC","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Cambridgeshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Cambridgeshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Cambridgeshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Central Bedfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Essex Haven Gateway","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Heart of Essex","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Hertfordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Hertfordshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Hertfordshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Luton","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","North and West Norfolk","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","North and West Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Southend-on-Sea","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Southend-on-Sea","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Southend-on-Sea","G7","5","5","[c]","[c]"
"In post","2022","Analysis","East of England","Southend-on-Sea","HEO","[c]","[c]","[c]","[c]"
