"Status","Year","Ethnicity","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Outside London","Heterosexual / straight","60","60","28710","27960"
"In post","2022","Asian","Animal and Plant Health Agency","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","London","Heterosexual / straight","385","380","47190","41820"
"In post","2022","Asian","Cabinet Office (excl. agencies)","London","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","London","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Outside London","Heterosexual / straight","60","55","35920","33420"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Outside London","Undeclared","[c]","[c]","[c]","[c]"
