"Status","Year","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","AO","Heterosexual / straight","165","150","22490","21510"
"In post","2022","Commercial","AO","LGBO","15","15","[c]","[c]"
"In post","2022","Commercial","AO","Undeclared","30","30","22440","21840"
"In post","2022","Commercial","AO","Unknown","80","75","22960","21840"
"In post","2022","Commercial","EO","Heterosexual / straight","620","590","26300","26350"
"In post","2022","Commercial","EO","LGBO","50","45","26300","26670"
"In post","2022","Commercial","EO","Undeclared","75","70","27050","26780"
"In post","2022","Commercial","EO","Unknown","160","155","26890","26670"
"In post","2022","Commercial","G6","Heterosexual / straight","290","285","68010","66750"
"In post","2022","Commercial","G6","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","G6","Undeclared","45","40","68970","68500"
"In post","2022","Commercial","G6","Unknown","45","45","68640","67250"
"In post","2022","Commercial","G7","Heterosexual / straight","605","585","53360","52370"
"In post","2022","Commercial","G7","LGBO","40","40","53890","53360"
"In post","2022","Commercial","G7","Undeclared","105","100","53280","53360"
"In post","2022","Commercial","G7","Unknown","95","90","52690","52070"
"In post","2022","Commercial","HEO","Heterosexual / straight","1150","1105","32500","32730"
"In post","2022","Commercial","HEO","LGBO","70","70","31850","31990"
"In post","2022","Commercial","HEO","Undeclared","135","130","33030","33000"
"In post","2022","Commercial","HEO","Unknown","190","180","32600","32790"
"In post","2022","Commercial","SCS level","Heterosexual / straight","85","85","86730","79530"
"In post","2022","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","SEO","Heterosexual / straight","1370","1325","40950","40580"
"In post","2022","Commercial","SEO","LGBO","70","70","40940","40500"
"In post","2022","Commercial","SEO","Undeclared","220","215","40980","40650"
"In post","2022","Commercial","SEO","Unknown","235","230","40420","40000"
"In post","2022","Commercial","Unknown","Heterosexual / straight","155","155","40040","39430"
"In post","2022","Commercial","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Communications","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AO","Heterosexual / straight","130","125","22500","21820"
"In post","2022","Communications","AO","LGBO","10","10","[c]","[c]"
"In post","2022","Communications","AO","Undeclared","25","25","[c]","[c]"
"In post","2022","Communications","AO","Unknown","25","25","[c]","[c]"
"In post","2022","Communications","EO","Heterosexual / straight","385","370","27710","27270"
"In post","2022","Communications","EO","LGBO","30","30","27090","27100"
"In post","2022","Communications","EO","Undeclared","90","90","27610","27270"
"In post","2022","Communications","EO","Unknown","90","90","28200","28310"
"In post","2022","Communications","G6","Heterosexual / straight","210","205","67530","66280"
"In post","2022","Communications","G6","LGBO","15","15","[c]","[c]"
"In post","2022","Communications","G6","Undeclared","45","40","66640","66230"
"In post","2022","Communications","G6","Unknown","50","50","66390","66250"
"In post","2022","Communications","G7","Heterosexual / straight","510","490","55070","54760"
"In post","2022","Communications","G7","LGBO","45","45","55150","54340"
"In post","2022","Communications","G7","Undeclared","90","85","54750","53440"
"In post","2022","Communications","G7","Unknown","125","125","54750","54600"
"In post","2022","Communications","HEO","Heterosexual / straight","720","695","34420","33370"
"In post","2022","Communications","HEO","LGBO","70","70","33750","33100"
"In post","2022","Communications","HEO","Undeclared","105","100","34580","33510"
"In post","2022","Communications","HEO","Unknown","210","205","34100","33570"
"In post","2022","Communications","SCS level","Heterosexual / straight","75","75","87760","81710"
"In post","2022","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Communications","SCS level","Unknown","20","20","[c]","[c]"
"In post","2022","Communications","SEO","Heterosexual / straight","700","675","41620","40890"
"In post","2022","Communications","SEO","LGBO","65","65","42440","41990"
"In post","2022","Communications","SEO","Undeclared","90","85","42100","41710"
"In post","2022","Communications","SEO","Unknown","190","185","42020","41990"
"In post","2022","Communications","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Corporate Finance","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Corporate Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Corporate Finance","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Corporate Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G7","Unknown","15","15","[c]","[c]"
"In post","2022","Corporate Finance","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Corporate Finance","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Corporate Finance","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO","Unknown","10","10","[c]","[c]"
"In post","2022","Counter Fraud","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Counter Fraud","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA","Unknown","5","5","[c]","[c]"
"In post","2022","Counter Fraud","AO","Heterosexual / straight","955","835","22520","21260"
"In post","2022","Counter Fraud","AO","LGBO","45","40","22350","21260"
"In post","2022","Counter Fraud","AO","Undeclared","165","135","22320","21260"
"In post","2022","Counter Fraud","AO","Unknown","305","245","22680","22680"
"In post","2022","Counter Fraud","EO","Heterosexual / straight","2385","2160","28050","27570"
"In post","2022","Counter Fraud","EO","LGBO","125","120","28350","27570"
"In post","2022","Counter Fraud","EO","Undeclared","310","275","28080","27570"
"In post","2022","Counter Fraud","EO","Unknown","800","695","28450","27570"
"In post","2022","Counter Fraud","G6","Heterosexual / straight","35","35","69790","67920"
"In post","2022","Counter Fraud","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","G6","Undeclared","5","5","[c]","[c]"
"In post","2022","Counter Fraud","G6","Unknown","10","10","[c]","[c]"
"In post","2022","Counter Fraud","G7","Heterosexual / straight","75","75","54750","54070"
"In post","2022","Counter Fraud","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Counter Fraud","G7","Unknown","25","25","[c]","[c]"
"In post","2022","Counter Fraud","HEO","Heterosexual / straight","670","630","33590","32480"
"In post","2022","Counter Fraud","HEO","LGBO","35","35","33520","32660"
"In post","2022","Counter Fraud","HEO","Undeclared","90","85","34130","33180"
"In post","2022","Counter Fraud","HEO","Unknown","190","185","34870","34050"
"In post","2022","Counter Fraud","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SEO","Heterosexual / straight","225","220","39990","40000"
"In post","2022","Counter Fraud","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Counter Fraud","SEO","Undeclared","20","15","[c]","[c]"
"In post","2022","Counter Fraud","SEO","Unknown","60","55","41390","41130"
"In post","2022","Digital, Data and Technology","AA","Heterosexual / straight","50","45","19290","19000"
"In post","2022","Digital, Data and Technology","AA","LGBO","15","15","[c]","[c]"
"In post","2022","Digital, Data and Technology","AA","Undeclared","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","AA","Unknown","15","15","[c]","[c]"
"In post","2022","Digital, Data and Technology","AO","Heterosexual / straight","410","395","22350","21510"
"In post","2022","Digital, Data and Technology","AO","LGBO","25","25","[c]","[c]"
"In post","2022","Digital, Data and Technology","AO","Undeclared","55","55","22090","21830"
"In post","2022","Digital, Data and Technology","AO","Unknown","95","90","21980","21260"
"In post","2022","Digital, Data and Technology","EO","Heterosexual / straight","2255","2160","27720","27570"
"In post","2022","Digital, Data and Technology","EO","LGBO","155","150","27240","27230"
"In post","2022","Digital, Data and Technology","EO","Undeclared","335","320","27930","27570"
"In post","2022","Digital, Data and Technology","EO","Unknown","730","700","27830","27570"
"In post","2022","Digital, Data and Technology","G6","Heterosexual / straight","850","840","68720","67910"
"In post","2022","Digital, Data and Technology","G6","LGBO","45","45","68930","68660"
"In post","2022","Digital, Data and Technology","G6","Undeclared","130","125","69610","69790"
"In post","2022","Digital, Data and Technology","G6","Unknown","265","260","69660","67910"
"In post","2022","Digital, Data and Technology","G7","Heterosexual / straight","2875","2820","55400","54550"
"In post","2022","Digital, Data and Technology","G7","LGBO","175","175","55620","54270"
"In post","2022","Digital, Data and Technology","G7","Undeclared","405","400","55800","54790"
"In post","2022","Digital, Data and Technology","G7","Unknown","850","835","55400","55210"
"In post","2022","Digital, Data and Technology","HEO","Heterosexual / straight","3120","3020","33790","33300"
"In post","2022","Digital, Data and Technology","HEO","LGBO","210","210","32920","33000"
"In post","2022","Digital, Data and Technology","HEO","Undeclared","520","505","34370","33370"
"In post","2022","Digital, Data and Technology","HEO","Unknown","915","900","33800","33370"
"In post","2022","Digital, Data and Technology","SCS level","Heterosexual / straight","225","220","92170","86370"
"In post","2022","Digital, Data and Technology","SCS level","LGBO","15","15","[c]","[c]"
"In post","2022","Digital, Data and Technology","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Digital, Data and Technology","SCS level","Unknown","40","40","92390","89740"
"In post","2022","Digital, Data and Technology","SEO","Heterosexual / straight","3400","3325","41550","40580"
"In post","2022","Digital, Data and Technology","SEO","LGBO","205","205","40440","40180"
"In post","2022","Digital, Data and Technology","SEO","Undeclared","520","510","41890","41020"
"In post","2022","Digital, Data and Technology","SEO","Unknown","1040","1025","41330","40520"
"In post","2022","Digital, Data and Technology","Unknown","Heterosexual / straight","30","30","35940","32020"
"In post","2022","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Economics","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","AO","Heterosexual / straight","55","55","21920","20830"
"In post","2022","Economics","AO","LGBO","5","5","[c]","[c]"
"In post","2022","Economics","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Economics","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","EO","Heterosexual / straight","95","95","27010","26820"
"In post","2022","Economics","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Economics","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Economics","EO","Unknown","30","30","27580","28000"
"In post","2022","Economics","G6","Heterosexual / straight","165","160","70860","68950"
"In post","2022","Economics","G6","LGBO","10","10","[c]","[c]"
"In post","2022","Economics","G6","Undeclared","20","20","[c]","[c]"
"In post","2022","Economics","G6","Unknown","35","30","69780","66890"
"In post","2022","Economics","G7","Heterosexual / straight","470","455","56200","55500"
"In post","2022","Economics","G7","LGBO","45","45","56250","55530"
"In post","2022","Economics","G7","Undeclared","60","60","57560","56900"
"In post","2022","Economics","G7","Unknown","100","100","56720","55210"
"In post","2022","Economics","HEO","Heterosexual / straight","455","450","34280","33710"
"In post","2022","Economics","HEO","LGBO","55","55","34370","33880"
"In post","2022","Economics","HEO","Undeclared","55","55","34690","34100"
"In post","2022","Economics","HEO","Unknown","145","145","33460","33370"
"In post","2022","Economics","SCS level","Heterosexual / straight","75","70","91970","81170"
"In post","2022","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Economics","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Economics","SEO","Heterosexual / straight","105","105","41950","41750"
"In post","2022","Economics","SEO","LGBO","15","15","[c]","[c]"
"In post","2022","Economics","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Economics","SEO","Unknown","25","25","[c]","[c]"
"In post","2022","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","AA","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Finance","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","AA","Undeclared","5","5","[c]","[c]"
"In post","2022","Finance","AA","Unknown","15","10","[c]","[c]"
"In post","2022","Finance","AO","Heterosexual / straight","630","570","22110","21380"
"In post","2022","Finance","AO","LGBO","15","15","[c]","[c]"
"In post","2022","Finance","AO","Undeclared","90","80","22130","21760"
"In post","2022","Finance","AO","Unknown","205","175","22070","21260"
"In post","2022","Finance","EO","Heterosexual / straight","1775","1695","26870","26670"
"In post","2022","Finance","EO","LGBO","80","75","26450","26670"
"In post","2022","Finance","EO","Undeclared","265","255","27170","26820"
"In post","2022","Finance","EO","Unknown","250","240","27320","26670"
"In post","2022","Finance","G6","Heterosexual / straight","585","575","67730","67220"
"In post","2022","Finance","G6","LGBO","30","30","[c]","[c]"
"In post","2022","Finance","G6","Undeclared","80","75","68280","67490"
"In post","2022","Finance","G6","Unknown","95","90","69670","68700"
"In post","2022","Finance","G7","Heterosexual / straight","1440","1405","55270","54760"
"In post","2022","Finance","G7","LGBO","70","70","54540","54160"
"In post","2022","Finance","G7","Undeclared","225","220","55280","54540"
"In post","2022","Finance","G7","Unknown","215","205","55340","54590"
"In post","2022","Finance","HEO","Heterosexual / straight","2230","2155","33660","33300"
"In post","2022","Finance","HEO","LGBO","90","90","32970","33000"
"In post","2022","Finance","HEO","Undeclared","320","310","34090","33300"
"In post","2022","Finance","HEO","Unknown","335","325","33840","33300"
"In post","2022","Finance","SCS level","Heterosexual / straight","260","260","88420","80680"
"In post","2022","Finance","SCS level","LGBO","15","15","[c]","[c]"
"In post","2022","Finance","SCS level","Undeclared","30","30","87880","77820"
"In post","2022","Finance","SCS level","Unknown","30","25","[c]","[c]"
"In post","2022","Finance","SEO","Heterosexual / straight","2090","2020","41460","40580"
"In post","2022","Finance","SEO","LGBO","85","85","40660","40580"
"In post","2022","Finance","SEO","Undeclared","285","275","42300","40800"
"In post","2022","Finance","SEO","Unknown","385","370","41270","40580"
"In post","2022","Finance","Unknown","Heterosexual / straight","65","65","50290","44130"
"In post","2022","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Geography","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","AO","Heterosexual / straight","40","40","20660","20420"
"In post","2022","Geography","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","AO","Unknown","25","25","[c]","[c]"
"In post","2022","Geography","EO","Heterosexual / straight","90","80","27540","26740"
"In post","2022","Geography","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Geography","EO","Undeclared","20","15","[c]","[c]"
"In post","2022","Geography","EO","Unknown","45","40","27650","26740"
"In post","2022","Geography","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Geography","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Geography","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","HEO","Heterosexual / straight","135","125","33450","33290"
"In post","2022","Geography","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Geography","HEO","Unknown","35","35","33450","33290"
