"Status","Year","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Geography","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO","Heterosexual / straight","40","40","42500","42510"
"In post","2022","Geography","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO","Unknown","15","15","[c]","[c]"
"In post","2022","Human Resources","AA","Heterosexual / straight","40","40","20140","19810"
"In post","2022","Human Resources","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","AA","Undeclared","10","10","[c]","[c]"
"In post","2022","Human Resources","AA","Unknown","15","10","[c]","[c]"
"In post","2022","Human Resources","AO","Heterosexual / straight","870","795","22100","21380"
"In post","2022","Human Resources","AO","LGBO","45","45","21850","21390"
"In post","2022","Human Resources","AO","Undeclared","115","105","21970","21390"
"In post","2022","Human Resources","AO","Unknown","130","120","22100","21290"
"In post","2022","Human Resources","EO","Heterosexual / straight","1230","1145","27420","26930"
"In post","2022","Human Resources","EO","LGBO","95","90","27030","27130"
"In post","2022","Human Resources","EO","Undeclared","175","165","27750","27270"
"In post","2022","Human Resources","EO","Unknown","235","220","27090","26820"
"In post","2022","Human Resources","G6","Heterosexual / straight","475","465","67160","66690"
"In post","2022","Human Resources","G6","LGBO","40","40","66200","66230"
"In post","2022","Human Resources","G6","Undeclared","30","30","[c]","[c]"
"In post","2022","Human Resources","G6","Unknown","55","55","67040","66440"
"In post","2022","Human Resources","G7","Heterosexual / straight","1180","1140","54340","54330"
"In post","2022","Human Resources","G7","LGBO","85","85","54510","54070"
"In post","2022","Human Resources","G7","Undeclared","85","85","55320","55210"
"In post","2022","Human Resources","G7","Unknown","145","140","54120","54170"
"In post","2022","Human Resources","HEO","Heterosexual / straight","1925","1835","33390","33170"
"In post","2022","Human Resources","HEO","LGBO","140","140","32990","32390"
"In post","2022","Human Resources","HEO","Undeclared","175","170","33690","33300"
"In post","2022","Human Resources","HEO","Unknown","270","255","33020","32780"
"In post","2022","Human Resources","SCS level","Heterosexual / straight","180","175","87440","80000"
"In post","2022","Human Resources","SCS level","LGBO","15","15","[c]","[c]"
"In post","2022","Human Resources","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Human Resources","SCS level","Unknown","20","20","[c]","[c]"
"In post","2022","Human Resources","SEO","Heterosexual / straight","1395","1330","41120","40580"
"In post","2022","Human Resources","SEO","LGBO","80","75","41350","40530"
"In post","2022","Human Resources","SEO","Undeclared","135","130","41820","41100"
"In post","2022","Human Resources","SEO","Unknown","165","160","40220","40520"
"In post","2022","Human Resources","Unknown","Heterosexual / straight","35","35","44190","46040"
"In post","2022","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","G6","Heterosexual / straight","140","135","80960","85550"
"In post","2022","Inspector of Education and Training","G6","LGBO","15","15","[c]","[c]"
"In post","2022","Inspector of Education and Training","G6","Undeclared","5","5","[c]","[c]"
"In post","2022","Inspector of Education and Training","G6","Unknown","10","5","[c]","[c]"
"In post","2022","Inspector of Education and Training","G7","Heterosexual / straight","325","320","73030","75500"
"In post","2022","Inspector of Education and Training","G7","LGBO","30","30","[c]","[c]"
"In post","2022","Inspector of Education and Training","G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Inspector of Education and Training","G7","Unknown","5","5","[c]","[c]"
"In post","2022","Inspector of Education and Training","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Inspector of Education and Training","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO","Heterosexual / straight","335","325","50310","51360"
"In post","2022","Inspector of Education and Training","SEO","LGBO","15","15","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO","Unknown","20","20","[c]","[c]"
"In post","2022","Intelligence Analysis","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","AO","Heterosexual / straight","90","80","23380","21810"
"In post","2022","Intelligence Analysis","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Intelligence Analysis","AO","Unknown","10","10","[c]","[c]"
"In post","2022","Intelligence Analysis","EO","Heterosexual / straight","1175","1110","27650","27370"
"In post","2022","Intelligence Analysis","EO","LGBO","55","55","27370","27370"
"In post","2022","Intelligence Analysis","EO","Undeclared","190","180","28020","27370"
"In post","2022","Intelligence Analysis","EO","Unknown","160","155","27810","27370"
"In post","2022","Intelligence Analysis","G6","Heterosexual / straight","35","35","68720","68500"
"In post","2022","Intelligence Analysis","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","G6","Undeclared","5","5","[c]","[c]"
"In post","2022","Intelligence Analysis","G7","Heterosexual / straight","135","135","57350","57400"
"In post","2022","Intelligence Analysis","G7","LGBO","5","5","[c]","[c]"
"In post","2022","Intelligence Analysis","G7","Undeclared","35","35","57790","57810"
"In post","2022","Intelligence Analysis","G7","Unknown","15","10","[c]","[c]"
"In post","2022","Intelligence Analysis","HEO","Heterosexual / straight","605","590","33940","33300"
"In post","2022","Intelligence Analysis","HEO","LGBO","35","35","33920","33630"
"In post","2022","Intelligence Analysis","HEO","Undeclared","105","105","34810","34000"
"In post","2022","Intelligence Analysis","HEO","Unknown","90","85","35060","35500"
"In post","2022","Intelligence Analysis","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Intelligence Analysis","SEO","Heterosexual / straight","315","310","42630","42290"
"In post","2022","Intelligence Analysis","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Intelligence Analysis","SEO","Undeclared","60","60","42320","42000"
"In post","2022","Intelligence Analysis","SEO","Unknown","55","55","42470","42960"
"In post","2022","Intelligence Analysis","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Internal Audit","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AO","Unknown","10","5","[c]","[c]"
"In post","2022","Internal Audit","EO","Heterosexual / straight","30","30","27550","26670"
"In post","2022","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","G6","Heterosexual / straight","60","60","65900","64690"
"In post","2022","Internal Audit","G6","LGBO","5","5","[c]","[c]"
"In post","2022","Internal Audit","G6","Undeclared","5","5","[c]","[c]"
"In post","2022","Internal Audit","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","G7","Heterosexual / straight","110","105","54410","54160"
"In post","2022","Internal Audit","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Internal Audit","G7","Unknown","10","5","[c]","[c]"
"In post","2022","Internal Audit","HEO","Heterosexual / straight","120","120","34020","33340"
"In post","2022","Internal Audit","HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Internal Audit","HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Internal Audit","HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Internal Audit","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Internal Audit","SEO","Heterosexual / straight","240","225","43850","43160"
"In post","2022","Internal Audit","SEO","LGBO","15","10","[c]","[c]"
"In post","2022","Internal Audit","SEO","Undeclared","35","30","43630","43160"
"In post","2022","Internal Audit","SEO","Unknown","15","15","[c]","[c]"
"In post","2022","International Trade","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","EO","Heterosexual / straight","65","65","27100","26510"
"In post","2022","International Trade","EO","LGBO","5","5","[c]","[c]"
"In post","2022","International Trade","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","EO","Unknown","30","30","27830","26510"
