"Status","Year","Age","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Veterinarian","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","EO","10","10","25700","25800"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","AO","10","10","21050","21050"
"In post","2022","16-19","Crown Prosecution Service","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","AO","30","30","21270","20440"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Security","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Science and Engineering","AA","15","15","17490","17450"
"In post","2022","16-19","Defence Equipment and Support","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Finance","EO","15","15","19730","19460"
"In post","2022","16-19","Defence Equipment and Support","Other","EO","20","20","18390","18030"
"In post","2022","16-19","Defence Equipment and Support","Project Delivery","EO","5","5","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Science and Engineering","EO","60","60","18210","17140"
"In post","2022","16-19","Defence Science and Technology Laboratory","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Science and Engineering","AA","5","5","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Science and Engineering","AO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","EO","15","15","24960","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Unknown","EO","5","5","[c]","[c]"
