"Status","Year","Disability","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Declared disabled","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","SEO/HEO","HEO","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","London","AA/AO","AA","45","[c]","22080","22350"
"Leaver Dept.","2022","Declared non-disabled","London","AA/AO","AO","255","[c]","23960","23780"
"Leaver Dept.","2022","Declared non-disabled","London","EO","EO","1030","[c]","28570","28170"
"Leaver Dept.","2022","Declared non-disabled","London","G6/G7","G6","475","[c]","69090","66870"
"Leaver Dept.","2022","Declared non-disabled","London","G6/G7","G7","1230","[c]","54890","54400"
"Leaver Dept.","2022","Declared non-disabled","London","SCS level","SCS level","335","[c]","92350","88530"
"Leaver Dept.","2022","Declared non-disabled","London","SEO/HEO","HEO","1505","[c]","33620","33570"
"Leaver Dept.","2022","Declared non-disabled","London","SEO/HEO","SEO","1085","[c]","41140","40600"
"Leaver Dept.","2022","Declared non-disabled","London","Unknown","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Outside London","AA/AO","AA","115","[c]","19490","19100"
"Leaver Dept.","2022","Declared non-disabled","Outside London","AA/AO","AO","1695","[c]","21170","21260"
"Leaver Dept.","2022","Declared non-disabled","Outside London","EO","EO","2480","[c]","26290","27570"
"Leaver Dept.","2022","Declared non-disabled","Outside London","G6/G7","G6","265","[c]","68720","66220"
"Leaver Dept.","2022","Declared non-disabled","Outside London","G6/G7","G7","750","[c]","52300","51300"
"Leaver Dept.","2022","Declared non-disabled","Outside London","SCS level","SCS level","155","[c]","100700","1e+05"
"Leaver Dept.","2022","Declared non-disabled","Outside London","SEO/HEO","HEO","1425","[c]","31330","31020"
"Leaver Dept.","2022","Declared non-disabled","Outside London","SEO/HEO","SEO","1135","[c]","39170","38270"
"Leaver Dept.","2022","Declared non-disabled","Outside London","Unknown","Unknown","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","AA/AO","AO","40","[c]","21790","21840"
"Leaver Dept.","2022","Declared non-disabled","Unknown","EO","EO","55","[c]","27170","27500"
"Leaver Dept.","2022","Declared non-disabled","Unknown","G6/G7","G6","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","G6/G7","G7","45","[c]","54530","54700"
"Leaver Dept.","2022","Declared non-disabled","Unknown","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","SEO/HEO","HEO","65","[c]","32720","32000"
"Leaver Dept.","2022","Declared non-disabled","Unknown","SEO/HEO","SEO","40","[c]","40280","40050"
"Leaver Dept.","2022","Declared non-disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","London","AA/AO","AO","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","London","EO","EO","60","[c]","28890","28330"
"Leaver Dept.","2022","Undeclared","London","G6/G7","G6","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","London","G6/G7","G7","55","[c]","55530","54070"
"Leaver Dept.","2022","Undeclared","London","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","London","SEO/HEO","HEO","100","[c]","34460","34260"
"Leaver Dept.","2022","Undeclared","London","SEO/HEO","SEO","70","[c]","41470","40770"
"Leaver Dept.","2022","Undeclared","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Outside London","AA/AO","AO","95","[c]","21360","21260"
"Leaver Dept.","2022","Undeclared","Outside London","EO","EO","145","[c]","26580","27570"
"Leaver Dept.","2022","Undeclared","Outside London","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Outside London","G6/G7","G7","45","[c]","51760","50330"
"Leaver Dept.","2022","Undeclared","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Outside London","SEO/HEO","HEO","105","[c]","31460","31920"
"Leaver Dept.","2022","Undeclared","Outside London","SEO/HEO","SEO","85","[c]","39970","39590"
"Leaver Dept.","2022","Undeclared","Outside London","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","London","AA/AO","AA","40","[c]","20410","19530"
"Leaver Dept.","2022","Unknown","London","AA/AO","AO","105","[c]","23740","23770"
"Leaver Dept.","2022","Unknown","London","EO","EO","380","[c]","28600","28170"
"Leaver Dept.","2022","Unknown","London","G6/G7","G6","295","[c]","69030","67370"
"Leaver Dept.","2022","Unknown","London","G6/G7","G7","650","[c]","54640","54320"
"Leaver Dept.","2022","Unknown","London","SCS level","SCS level","185","[c]","105100","98870"
"Leaver Dept.","2022","Unknown","London","SEO/HEO","HEO","980","[c]","32980","32000"
"Leaver Dept.","2022","Unknown","London","SEO/HEO","SEO","485","[c]","41240","40580"
"Leaver Dept.","2022","Unknown","London","Unknown","Unknown","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Outside London","AA/AO","AA","45","[c]","19650","19520"
"Leaver Dept.","2022","Unknown","Outside London","AA/AO","AO","580","[c]","21510","21170"
"Leaver Dept.","2022","Unknown","Outside London","EO","EO","540","[c]","26620","26970"
"Leaver Dept.","2022","Unknown","Outside London","G6/G7","G6","155","[c]","70180","68430"
"Leaver Dept.","2022","Unknown","Outside London","G6/G7","G7","400","[c]","52460","51200"
"Leaver Dept.","2022","Unknown","Outside London","SCS level","SCS level","95","[c]","112020","113110"
"Leaver Dept.","2022","Unknown","Outside London","SEO/HEO","HEO","550","[c]","32120","31990"
"Leaver Dept.","2022","Unknown","Outside London","SEO/HEO","SEO","460","[c]","39970","40040"
"Leaver Dept.","2022","Unknown","Outside London","Unknown","Unknown","55","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Overseas","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Overseas","SEO/HEO","HEO","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","AA/AO","AO","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","EO","EO","45","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","G6/G7","G6","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","G6/G7","G7","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","SCS level","SCS level","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","SEO/HEO","HEO","200","[c]","31910","32000"
"Leaver Dept.","2022","Unknown","Unknown","SEO/HEO","SEO","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Unknown","Unknown","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","London","AA/AO","AA","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","London","AA/AO","AO","95","[c]","24540","25110"
"New entrant CS","2022","Declared disabled","London","EO","EO","290","[c]","28900","28500"
"New entrant CS","2022","Declared disabled","London","G6/G7","G6","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","London","G6/G7","G7","75","[c]","54690","54110"
"New entrant CS","2022","Declared disabled","London","SCS level","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","London","SEO/HEO","HEO","250","[c]","33760","33570"
"New entrant CS","2022","Declared disabled","London","SEO/HEO","SEO","75","[c]","41320","41620"
"New entrant CS","2022","Declared disabled","London","Unknown","Unknown","165","[c]","34890","33700"
"New entrant CS","2022","Declared disabled","Outside London","AA/AO","AA","185","[c]","20380","20890"
"New entrant CS","2022","Declared disabled","Outside London","AA/AO","AO","1305","[c]","21730","21260"
"New entrant CS","2022","Declared disabled","Outside London","EO","EO","890","[c]","26720","27570"
"New entrant CS","2022","Declared disabled","Outside London","G6/G7","G6","25","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Outside London","G6/G7","G7","130","[c]","51950","49960"
"New entrant CS","2022","Declared disabled","Outside London","SCS level","SCS level","15","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Outside London","SEO/HEO","HEO","420","[c]","31550","31540"
"New entrant CS","2022","Declared disabled","Outside London","SEO/HEO","SEO","215","[c]","38920","38070"
"New entrant CS","2022","Declared disabled","Outside London","Unknown","Unknown","1005","[c]","28660","26310"
"New entrant CS","2022","Declared disabled","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","AA/AO","AO","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","EO","EO","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Unknown","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","London","AA/AO","AA","80","[c]","23210","22350"
"New entrant CS","2022","Declared non-disabled","London","AA/AO","AO","805","[c]","25300","24900"
"New entrant CS","2022","Declared non-disabled","London","EO","EO","1835","[c]","28790","28700"
"New entrant CS","2022","Declared non-disabled","London","G6/G7","G6","180","[c]","68510","66230"
"New entrant CS","2022","Declared non-disabled","London","G6/G7","G7","775","[c]","54890","54110"
"New entrant CS","2022","Declared non-disabled","London","SCS level","SCS level","90","[c]","101220","93000"
"New entrant CS","2022","Declared non-disabled","London","SEO/HEO","HEO","1645","[c]","34140","33570"
"New entrant CS","2022","Declared non-disabled","London","SEO/HEO","SEO","785","[c]","41900","41500"
"New entrant CS","2022","Declared non-disabled","London","Unknown","Unknown","540","[c]","34540","31000"
"New entrant CS","2022","Declared non-disabled","Outside London","AA/AO","AA","1680","[c]","20480","20890"
"New entrant CS","2022","Declared non-disabled","Outside London","AA/AO","AO","10665","[c]","22040","21260"
"New entrant CS","2022","Declared non-disabled","Outside London","EO","EO","6765","[c]","26660","27230"
"New entrant CS","2022","Declared non-disabled","Outside London","G6/G7","G6","245","[c]","66740","65280"
"New entrant CS","2022","Declared non-disabled","Outside London","G6/G7","G7","1295","[c]","52580","50210"
"New entrant CS","2022","Declared non-disabled","Outside London","SCS level","SCS level","80","[c]","88920","84560"
"New entrant CS","2022","Declared non-disabled","Outside London","SEO/HEO","HEO","3545","[c]","31560","31540"
"New entrant CS","2022","Declared non-disabled","Outside London","SEO/HEO","SEO","2035","[c]","39800","39660"
"New entrant CS","2022","Declared non-disabled","Outside London","Unknown","Unknown","3600","[c]","28070","24800"
"New entrant CS","2022","Declared non-disabled","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Overseas","SEO/HEO","HEO","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","AA/AO","AA","15","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","AA/AO","AO","55","[c]","21760","21280"
"New entrant CS","2022","Declared non-disabled","Unknown","EO","EO","50","[c]","28290","27570"
"New entrant CS","2022","Declared non-disabled","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","G6/G7","G7","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","SEO/HEO","HEO","40","[c]","32580","32000"
"New entrant CS","2022","Declared non-disabled","Unknown","SEO/HEO","SEO","15","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","Unknown","Unknown","50","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","London","AA/AO","AO","45","[c]","24720","24900"
"New entrant CS","2022","Undeclared","London","EO","EO","105","[c]","28730","29970"
"New entrant CS","2022","Undeclared","London","G6/G7","G6","10","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","London","G6/G7","G7","50","[c]","55710","54270"
"New entrant CS","2022","Undeclared","London","SEO/HEO","HEO","120","[c]","33400","33950"
"New entrant CS","2022","Undeclared","London","SEO/HEO","SEO","55","[c]","41760","41530"
"New entrant CS","2022","Undeclared","London","Unknown","Unknown","60","[c]","35430","32040"
"New entrant CS","2022","Undeclared","Outside London","AA/AO","AA","70","[c]","20290","20890"
"New entrant CS","2022","Undeclared","Outside London","AA/AO","AO","435","[c]","21720","21260"
"New entrant CS","2022","Undeclared","Outside London","EO","EO","325","[c]","26690","27550"
"New entrant CS","2022","Undeclared","Outside London","G6/G7","G6","10","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Outside London","G6/G7","G7","55","[c]","50820","49860"
"New entrant CS","2022","Undeclared","Outside London","SEO/HEO","HEO","175","[c]","31410","31240"
"New entrant CS","2022","Undeclared","Outside London","SEO/HEO","SEO","110","[c]","39560","38650"
"New entrant CS","2022","Undeclared","Outside London","Unknown","Unknown","235","[c]","28930","28200"
"New entrant CS","2022","Undeclared","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","London","AA/AO","AA","175","[c]","22790","22460"
"New entrant CS","2022","Unknown","London","AA/AO","AO","680","[c]","26170","25330"
"New entrant CS","2022","Unknown","London","EO","EO","1550","[c]","29000","28650"
"New entrant CS","2022","Unknown","London","G6/G7","G6","160","[c]","69960","66230"
"New entrant CS","2022","Unknown","London","G6/G7","G7","505","[c]","56890","54700"
"New entrant CS","2022","Unknown","London","SCS level","SCS level","100","[c]","100970","92000"
"New entrant CS","2022","Unknown","London","SEO/HEO","HEO","1505","[c]","32550","32790"
"New entrant CS","2022","Unknown","London","SEO/HEO","SEO","590","[c]","41600","41500"
"New entrant CS","2022","Unknown","London","Unknown","Unknown","320","[c]","33130","31100"
"New entrant CS","2022","Unknown","Outside London","AA/AO","AA","1495","[c]","20590","20890"
"New entrant CS","2022","Unknown","Outside London","AA/AO","AO","6255","[c]","22020","21260"
"New entrant CS","2022","Unknown","Outside London","EO","EO","4350","[c]","26480","26590"
"New entrant CS","2022","Unknown","Outside London","G6/G7","G6","225","[c]","68810","65280"
"New entrant CS","2022","Unknown","Outside London","G6/G7","G7","735","[c]","54160","52050"
"New entrant CS","2022","Unknown","Outside London","SCS level","SCS level","70","[c]","100410","90000"
"New entrant CS","2022","Unknown","Outside London","SEO/HEO","HEO","2000","[c]","31630","31540"
"New entrant CS","2022","Unknown","Outside London","SEO/HEO","SEO","1130","[c]","39650","39660"
"New entrant CS","2022","Unknown","Outside London","Unknown","Unknown","2925","[c]","27530","25420"
"New entrant CS","2022","Unknown","Overseas","AA/AO","AO","5","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Overseas","SEO/HEO","HEO","20","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Overseas","SEO/HEO","SEO","5","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","AA/AO","AA","15","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","AA/AO","AO","30","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","EO","EO","55","[c]","27350","27500"
"New entrant CS","2022","Unknown","Unknown","G6/G7","G6","5","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","G6/G7","G7","20","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","SEO/HEO","HEO","90","[c]","29530","28000"
"New entrant CS","2022","Unknown","Unknown","SEO/HEO","SEO","20","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Unknown","Unknown","335","[c]","22630","16190"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","","",""
"Version","Generated on 2023-02-15, with GIT 71a76ea.","","","","","","","",""
"Data column","Description","","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","","","",""
"Responsibility_level_ungrouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","","",""
"","Responsibility_level_ungrouped shows the mapped grades at a higher level of detail, however not all Government Departments / bodies have distinct grades that map exactly to these levels so figures should be considered as approximations and treated with caution.","","","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","","","",""
"Disability","Self reported disability.","","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","","",""
