"Status","Year","Function_of_post","Organisation","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Inner London - West","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Inner London - West","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Inner London - West","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","West Central Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","AA/AO","10","10","21510","21510"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","EO","30","30","25180","25010"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","G6/G7","20","20","54150","49970"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","SEO/HEO","60","60","32850","30220"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","AA/AO","20","20","21080","21510"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","EO","60","55","25280","25010"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","G6/G7","60","60","51590","48080"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","SEO/HEO","180","170","33360","32110"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","East Wales","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","East Wales","SEO/HEO","15","15","38720","38030"
"In post","2022","Analysis","Companies House","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Outer London - South","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","West Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","East Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","G6/G7","80","80","64460","60540"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","SCS level","15","15","107830","97750"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","SEO/HEO","30","30","37570","34710"
"In post","2022","Analysis","Defence Electronics and Components Agency","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","35","30","50440","47010"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","80","80","35040","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","G6/G7","170","160","50550","47060"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","SEO/HEO","210","200","34910","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Greater Manchester","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","EO","30","30","28580","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","G6/G7","60","60","62190","57850"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","SEO/HEO","135","135","36930","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Greater Manchester","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","G6/G7","70","70","58050","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","SEO/HEO","55","55","38050","38020"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Central Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Central Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Midlands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","10","10","38730","41990"
"In post","2022","Analysis","Department for Education (excl. agencies)","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Greater Manchester","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Greater Manchester","SEO/HEO","15","15","36920","33190"
"In post","2022","Analysis","Department for Education (excl. agencies)","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Inner London - West","G6/G7","30","30","56950","54160"
"In post","2022","Analysis","Department for Education (excl. agencies)","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Inner London - West","SEO/HEO","35","30","42120","45250"
"In post","2022","Analysis","Department for Education (excl. agencies)","Northumberland, and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","South Yorkshire","G6/G7","30","25","54050","50630"
"In post","2022","Analysis","Department for Education (excl. agencies)","South Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","South Yorkshire","SEO/HEO","25","25","35910","33190"
"In post","2022","Analysis","Department for Education (excl. agencies)","Tees Valley and Durham","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Tees Valley and Durham","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","West Midlands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","West Midlands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","West Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Inner London - West","EO","30","30","27030","26250"
"In post","2022","Analysis","Department for International Trade","Inner London - West","G6/G7","110","110","55950","51970"
"In post","2022","Analysis","Department for International Trade","Inner London - West","SCS level","10","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Inner London - West","SEO/HEO","100","100","33550","31800"
"In post","2022","Analysis","Department for International Trade","Tees Valley and Durham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","West Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Inner London - West","EO","20","20","28970","27850"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Inner London - West","G6/G7","105","100","57600","53870"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Inner London - West","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Inner London - West","SEO/HEO","70","70","35690","34000"
