"Status","Year","Ethnicity","Function_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Bristol, City of","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Camden and City of London","London","30","25","[c]","[c]"
"In post","2022","Asian","Analysis","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Croydon","London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Lothian and Midlothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Gwent Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Hackney and Newham","London","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Leeds","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Lincolnshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Luton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Manchester","Outside London","35","35","36030","33370"
"In post","2022","Asian","Analysis","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Monmouthshire and Newport","Outside London","45","45","34690","31700"
"In post","2022","Asian","Analysis","North and West Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North Yorkshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South Ayrshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South Hampshire","Outside London","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Southend-on-Sea","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Staffordshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Sunderland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Swindon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Telford and Wrekin","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Torbay","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Tower Hamlets","London","95","95","45890","42290"
"In post","2022","Asian","Analysis","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Walsall","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Sussex (South West)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Westminster","London","285","280","45140","41250"
"In post","2022","Asian","Analysis","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Wolverhampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Worcestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
