"Status","Year","Disability","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","AA/AO","35","35","23280","21260"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","EO","45","40","28420","27570"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","50","45","43380","39660"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","AA/AO","165","150","21590","21260"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","EO","85","75","27530","27570"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","EO","70","60","30810","31060"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","AA/AO","30","30","24100","23780"
"In post","2022","Declared disabled","Barnet","London","EO","40","35","30640","31060"
"In post","2022","Declared disabled","Barnet","London","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","SEO/HEO","30","30","38640","38930"
"In post","2022","Declared disabled","Barnet","London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","AA/AO","180","155","22290","21260"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","EO","150","130","27520","27570"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","SEO/HEO","50","50","37290","34290"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Unknown","65","60","29300","28200"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA/AO","65","60","22960","21320"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","270","250","24830","25820"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6/G7","175","175","56380","54640"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO/HEO","685","655","36260","36360"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","190","180","37410","34010"
"In post","2022","Declared disabled","Bedford","Outside London","AA/AO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Outside London","EO","35","30","27690","27570"
"In post","2022","Declared disabled","Bedford","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Outside London","SEO/HEO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Outside London","AA/AO","80","70","21560","21250"
"In post","2022","Declared disabled","Belfast","Outside London","EO","70","65","26980","26820"
"In post","2022","Declared disabled","Belfast","Outside London","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Outside London","SEO/HEO","90","85","35210","33370"
"In post","2022","Declared disabled","Berkshire","Outside London","AA/AO","95","85","26870","25110"
"In post","2022","Declared disabled","Berkshire","Outside London","EO","100","90","30320","29290"
"In post","2022","Declared disabled","Berkshire","Outside London","G6/G7","30","25","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","Outside London","SEO/HEO","65","65","37800","38040"
"In post","2022","Declared disabled","Berkshire","Outside London","Unknown","45","45","29460","25900"
"In post","2022","Declared disabled","Bexley and Greenwich","London","AA/AO","75","70","27520","25110"
"In post","2022","Declared disabled","Bexley and Greenwich","London","EO","80","75","31920","31060"
"In post","2022","Declared disabled","Bexley and Greenwich","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","London","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","London","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Birmingham","Outside London","AA/AO","405","365","21630","21250"
"In post","2022","Declared disabled","Birmingham","Outside London","EO","455","405","27070","27570"
"In post","2022","Declared disabled","Birmingham","Outside London","G6/G7","115","110","56720","55210"
"In post","2022","Declared disabled","Birmingham","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Birmingham","Outside London","SEO/HEO","360","345","35520","33370"
"In post","2022","Declared disabled","Birmingham","Outside London","Unknown","120","110","30030","28200"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","EO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Blackpool","Outside London","AA/AO","335","295","21110","21260"
"In post","2022","Declared disabled","Blackpool","Outside London","EO","280","250","27500","27570"
"In post","2022","Declared disabled","Blackpool","Outside London","G6/G7","60","55","54310","49170"
"In post","2022","Declared disabled","Blackpool","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Blackpool","Outside London","SEO/HEO","155","145","34660","34290"
"In post","2022","Declared disabled","Blackpool","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","AA/AO","40","35","20690","20970"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","EO","65","55","27060","27570"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Bradford","Outside London","AA/AO","165","130","21250","21260"
"In post","2022","Declared disabled","Bradford","Outside London","EO","100","85","27420","27570"
"In post","2022","Declared disabled","Bradford","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bradford","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bradford","Outside London","SEO/HEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Bradford","Outside London","Unknown","40","35","31640","30210"
"In post","2022","Declared disabled","Breckland and South Norfolk","Outside London","AA/AO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Breckland and South Norfolk","Outside London","EO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Breckland and South Norfolk","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Breckland and South Norfolk","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Breckland and South Norfolk","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Brent","London","AA/AO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Brent","London","EO","35","30","30550","31060"
"In post","2022","Declared disabled","Brent","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Brent","London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Brent","London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bridgend and Neath Port Talbot","Outside London","AA/AO","35","30","21110","21260"
"In post","2022","Declared disabled","Bridgend and Neath Port Talbot","Outside London","EO","45","40","27650","27570"
"In post","2022","Declared disabled","Bridgend and Neath Port Talbot","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bridgend and Neath Port Talbot","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bridgend and Neath Port Talbot","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Brighton and Hove","Outside London","AA/AO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Brighton and Hove","Outside London","EO","50","45","27560","27570"
"In post","2022","Declared disabled","Brighton and Hove","Outside London","G6/G7","10","5","[c]","[c]"
"In post","2022","Declared disabled","Brighton and Hove","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Brighton and Hove","Outside London","SEO/HEO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Brighton and Hove","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Bristol, City of","Outside London","AA/AO","180","160","21680","21260"
"In post","2022","Declared disabled","Bristol, City of","Outside London","EO","185","165","27160","27570"
"In post","2022","Declared disabled","Bristol, City of","Outside London","G6/G7","105","100","55090","55210"
"In post","2022","Declared disabled","Bristol, City of","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bristol, City of","Outside London","SEO/HEO","240","225","35840","35900"
"In post","2022","Declared disabled","Bristol, City of","Outside London","Unknown","45","40","29810","28440"
"In post","2022","Declared disabled","Bromley","London","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bromley","London","EO","40","40","31200","31060"
"In post","2022","Declared disabled","Bromley","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bromley","London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bromley","London","Unknown","30","30","35620","32090"
"In post","2022","Declared disabled","Buckinghamshire","Outside London","AA/AO","60","55","25290","23380"
"In post","2022","Declared disabled","Buckinghamshire","Outside London","EO","65","60","28450","27570"
"In post","2022","Declared disabled","Buckinghamshire","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Buckinghamshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Buckinghamshire","Outside London","SEO/HEO","45","45","37920","35300"
"In post","2022","Declared disabled","Buckinghamshire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Caithness and Sutherland, and Ross and Cromarty","Outside London","AA/AO","5","5","[c]","[c]"
