"Status","Year","Organisation","Region_ITL1","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","Outside London","110","100","32660","30040"
"In post","2022","Accountant in Bankruptcy","Scotland","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","Outside London","105","95","28840","26380"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","Outside London","40","35","34270","34260"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Wandsworth","London","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Westminster","London","180","175","42900","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","Outside London","140","130","29880","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","Outside London","135","125","30020","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","Outside London","90","80","31610","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","Outside London","25","25","34470","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","Outside London","45","45","32720","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","Outside London","80","75","30590","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","Outside London","75","70","31420","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","Outside London","70","65","31460","30950"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Leicestershire CC and Rutland","Outside London","20","20","33650","35900"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire CC","Outside London","25","25","33510","29800"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Nottingham","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","South and West Derbyshire","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","South Nottinghamshire","Outside London","20","20","30110","27190"
"In post","2022","Animal and Plant Health Agency","East of England","Cambridgeshire CC","Outside London","25","25","30040","29180"
"In post","2022","Animal and Plant Health Agency","East of England","Heart of Essex","Outside London","45","40","29590","28340"
"In post","2022","Animal and Plant Health Agency","East of England","Hertfordshire CC","Outside London","10","10","33670","30670"
"In post","2022","Animal and Plant Health Agency","East of England","North and West Norfolk","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","Norwich and East Norfolk","Outside London","10","10","33500","30670"
"In post","2022","Animal and Plant Health Agency","East of England","Suffolk CC","Outside London","45","45","31830","29840"
"In post","2022","Animal and Plant Health Agency","East of England","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Harrow and Hillingdon","London","15","15","35720","32720"
"In post","2022","Animal and Plant Health Agency","London","Hounslow and Richmond upon Thames","London","65","65","33010","31750"
"In post","2022","Animal and Plant Health Agency","London","Redbridge and Waltham Forest","London","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Westminster","London","20","20","44370","52290"
"In post","2022","Animal and Plant Health Agency","North East (England)","Northumberland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North East (England)","Tyneside","Outside London","50","50","30990","26440"
"In post","2022","Animal and Plant Health Agency","North West (England)","Cheshire East","Outside London","35","30","33160","29860"
"In post","2022","Animal and Plant Health Agency","North West (England)","East Cumbria","Outside London","160","150","25320","21300"
"In post","2022","Animal and Plant Health Agency","North West (England)","Manchester","Outside London","15","15","29560","29180"
"In post","2022","Animal and Plant Health Agency","North West (England)","Mid Lancashire","Outside London","95","90","28660","24920"
"In post","2022","Animal and Plant Health Agency","Scotland","Aberdeen City and Aberdeenshire","Outside London","10","10","34850","36750"
"In post","2022","Animal and Plant Health Agency","Scotland","Caithness and Sutherland, and Ross and Cromarty","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","Dumfries and Galloway","Outside London","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","East Lothian and Midlothian","Outside London","10","10","37620","33130"
"In post","2022","Animal and Plant Health Agency","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","20","15","28720","25260"
"In post","2022","Animal and Plant Health Agency","Scotland","Perth and Kinross, and Stirling","Outside London","45","40","34750","29180"
"In post","2022","Animal and Plant Health Agency","Scotland","Scottish Borders","Outside London","15","15","29830","24920"
"In post","2022","Animal and Plant Health Agency","Scotland","South Ayrshire","Outside London","25","25","28170","24920"
"In post","2022","Animal and Plant Health Agency","Scotland","South Lanarkshire","Outside London","10","10","31120","25720"
"In post","2022","Animal and Plant Health Agency","South East (England)","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South East (England)","Central Hampshire","Outside London","35","35","29530","25940"
"In post","2022","Animal and Plant Health Agency","South East (England)","East Kent","Outside London","35","35","28430","28340"
"In post","2022","Animal and Plant Health Agency","South East (England)","Mid Kent","Outside London","10","10","28070","26580"
"In post","2022","Animal and Plant Health Agency","South East (England)","Oxfordshire CC","Outside London","15","15","41660","42780"
"In post","2022","Animal and Plant Health Agency","South East (England)","West Surrey","Outside London","645","615","33380","28630"
"In post","2022","Animal and Plant Health Agency","South East (England)","West Sussex (North East)","Outside London","20","20","32950","30040"
"In post","2022","Animal and Plant Health Agency","South East (England)","West Sussex (South West)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South West (England)","Bristol, City of","Outside London","60","60","24680","21300"
"In post","2022","Animal and Plant Health Agency","South West (England)","Cornwall and Isles of Scilly","Outside London","60","55","31730","29180"
"In post","2022","Animal and Plant Health Agency","South West (England)","Devon CC","Outside London","210","195","27990","24920"
"In post","2022","Animal and Plant Health Agency","South West (England)","Dorset","Outside London","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South West (England)","Gloucestershire CC","Outside London","65","60","31310","29180"
"In post","2022","Animal and Plant Health Agency","South West (England)","Somerset CC","Outside London","35","35","34500","35900"
"In post","2022","Animal and Plant Health Agency","South West (England)","Wiltshire","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Unknown","Unknown","25","25","29460","25520"
"In post","2022","Animal and Plant Health Agency","Wales","Cardiff and Vale of Glamorgan","Outside London","90","85","28230","24920"
"In post","2022","Animal and Plant Health Agency","Wales","Gwynedd","Outside London","70","60","26960","24920"
"In post","2022","Animal and Plant Health Agency","Wales","Powys","Outside London","20","20","32650","35900"
"In post","2022","Animal and Plant Health Agency","Wales","South West Wales","Outside London","150","140","28350","25160"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","Shropshire","Outside London","40","40","34630","33300"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","Staffordshire CC","Outside London","70","70","25860","21300"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","Telford and Wrekin","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","Worcestershire CC","Outside London","170","155","30080","28000"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","East Riding of Yorkshire","Outside London","20","20","28570","24920"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","North Yorkshire CC","Outside London","130","125","31610","29180"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","York","Outside London","70","70","23910","21300"
"In post","2022","Attorney General's Office","London","Westminster","London","45","45","51580","51250"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","Nottingham","Outside London","35","35","50910","35910"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Cambridgeshire CC","Outside London","15","15","47460","33300"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Norwich and East Norfolk","Outside London","65","60","51020","49700"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Peterborough","Outside London","10","10","63300","68150"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","Camden and City of London","London","70","70","56280","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","Croydon","London","20","20","62640","65320"
"In post","2022","Cabinet Office (excl. agencies)","London","Hackney and Newham","London","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","Lewisham and Southwark","London","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","Tower Hamlets","London","1015","995","51990","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","Westminster","London","5300","5240","49530","40600"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Darlington","Outside London","15","15","62900","62010"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Northumberland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Tyneside","Outside London","460","435","29460","25550"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Blackpool","Outside London","40","35","56170","58210"
