"Status","Year","Parent_department","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6/G7","25","25","55410","53850"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","AA/AO","25","25","23860","23770"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","EO","25","25","28230","27050"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","G6/G7","55","50","60210","60960"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","SEO/HEO","20","20","36700","36240"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","AA/AO","100","90","22250","22200"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","EO","100","95","26950","26160"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","G6/G7","230","215","54870","54200"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","SEO/HEO","65","65","34250","34480"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","AA/AO","30","25","23700","23770"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","EO","35","30","28180","27760"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","G6/G7","45","45","60300","62120"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","SEO/HEO","15","10","36820","36240"
"In post","2022","Attorney General's Departments","Bristol, City of","Outside London","AA/AO","30","30","22080","22200"
"In post","2022","Attorney General's Departments","Bristol, City of","Outside London","EO","30","30","26760","26160"
"In post","2022","Attorney General's Departments","Bristol, City of","Outside London","G6/G7","85","80","54560","54600"
"In post","2022","Attorney General's Departments","Bristol, City of","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","Outside London","SEO/HEO","25","25","35050","34480"
"In post","2022","Attorney General's Departments","Bromley","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","Outside London","G6/G7","5","5","[c]","[c]"
