"Status","Year","Function_of_post","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","G6","10","10","67260","65960"
"In post","2022","Analysis","Digital, Data and Technology","London","G7","20","20","54210","53420"
"In post","2022","Analysis","Digital, Data and Technology","London","HEO","15","15","35730","36660"
"In post","2022","Analysis","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","SEO","15","15","43800","45250"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","EO","20","20","28820","29310"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","G7","25","20","52150","50430"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","HEO","25","20","32830","32870"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","SEO","35","30","42300","41990"
"In post","2022","Analysis","Economics","London","AO","15","15","23490","23400"
"In post","2022","Analysis","Economics","London","EO","75","75","27830","27680"
"In post","2022","Analysis","Economics","London","G6","125","120","71990","70930"
"In post","2022","Analysis","Economics","London","G7","350","340","56400","54760"
"In post","2022","Analysis","Economics","London","HEO","390","390","34780","34020"
"In post","2022","Analysis","Economics","London","SCS level","55","55","96290","86550"
"In post","2022","Analysis","Economics","London","SEO","55","55","42670","41750"
"In post","2022","Analysis","Economics","Outside London","AO","35","35","19940","19860"
"In post","2022","Analysis","Economics","Outside London","EO","30","30","25120","24230"
"In post","2022","Analysis","Economics","Outside London","G6","15","10","68950","66000"
"In post","2022","Analysis","Economics","Outside London","G7","80","75","53340","51210"
"In post","2022","Analysis","Economics","Outside London","HEO","105","105","32140","30810"
"In post","2022","Analysis","Economics","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Outside London","SEO","30","25","40190","38650"
"In post","2022","Analysis","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","London","G7","15","15","58700","57710"
"In post","2022","Analysis","Finance","London","HEO","10","10","36090","35780"
"In post","2022","Analysis","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","Outside London","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Outside London","AO","10","5","[c]","[c]"
"In post","2022","Analysis","Geography","Outside London","EO","15","15","27570","26670"
"In post","2022","Analysis","Geography","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Outside London","HEO","20","20","33120","33000"
"In post","2022","Analysis","Geography","Outside London","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Geography","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","London","G7","5","5","[c]","[c]"
