"Status","Year","Disability","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","AA/AO","AA","1985","1755","20550","20560"
"In post","2022","Declared disabled","AA/AO","AO","13745","12050","22700","21260"
"In post","2022","Declared disabled","EO","EO","16270","14780","27980","27570"
"In post","2022","Declared disabled","G6/G7","G6","1375","1320","68640","67820"
"In post","2022","Declared disabled","G6/G7","G7","4010","3860","55130","54540"
"In post","2022","Declared disabled","SCS level","SCS level","490","475","88790","80000"
"In post","2022","Declared disabled","SEO/HEO","HEO","8005","7610","33800","33370"
"In post","2022","Declared disabled","SEO/HEO","SEO","5215","5000","41760","40580"
"In post","2022","Declared disabled","Unknown","Unknown","3520","3290","31270","28760"
"In post","2022","Declared non-disabled","AA/AO","AA","10950","9980","20520","20560"
"In post","2022","Declared non-disabled","AA/AO","AO","75950","68275","23170","21490"
"In post","2022","Declared non-disabled","EO","EO","87235","80785","27810","27570"
"In post","2022","Declared non-disabled","G6/G7","G6","13255","12750","68820","67680"
"In post","2022","Declared non-disabled","G6/G7","G7","34450","33235","55300","54700"
"In post","2022","Declared non-disabled","SCS level","SCS level","5085","4925","89500","82110"
"In post","2022","Declared non-disabled","SEO/HEO","HEO","54185","52015","33760","33370"
"In post","2022","Declared non-disabled","SEO/HEO","SEO","40245","38785","41920","40580"
"In post","2022","Declared non-disabled","Unknown","Unknown","13340","12495","31680","29400"
"In post","2022","Undeclared","AA/AO","AA","1535","1375","21190","20890"
"In post","2022","Undeclared","AA/AO","AO","7260","6510","25260","22080"
"In post","2022","Undeclared","EO","EO","6870","6420","28590","27570"
"In post","2022","Undeclared","G6/G7","G6","820","795","69220","67910"
"In post","2022","Undeclared","G6/G7","G7","2145","2090","55920","55040"
"In post","2022","Undeclared","SCS level","SCS level","255","250","86270","80770"
"In post","2022","Undeclared","SEO/HEO","HEO","4510","4330","34300","33370"
"In post","2022","Undeclared","SEO/HEO","SEO","3180","3080","42840","41100"
"In post","2022","Undeclared","Unknown","Unknown","910","855","32880","31420"
"In post","2022","Unknown","AA/AO","AA","4215","3830","20880","20890"
"In post","2022","Unknown","AA/AO","AO","21530","20025","23360","21840"
"In post","2022","Unknown","EO","EO","20895","20020","28520","27270"
"In post","2022","Unknown","G6/G7","G6","3645","3520","69840","67750"
"In post","2022","Unknown","G6/G7","G7","9750","9480","55480","54390"
"In post","2022","Unknown","SCS level","SCS level","1390","1350","96880","89830"
"In post","2022","Unknown","SEO/HEO","HEO","16340","15905","33930","33300"
"In post","2022","Unknown","SEO/HEO","SEO","9840","9540","41780","40650"
"In post","2022","Unknown","Unknown","Unknown","5675","5325","31430","28660"
"Leaver CS","2022","Declared disabled","AA/AO","AA","285","[c]","19420","19200"
"Leaver CS","2022","Declared disabled","AA/AO","AO","1515","[c]","21880","21260"
"Leaver CS","2022","Declared disabled","EO","EO","1275","[c]","27730","27570"
"Leaver CS","2022","Declared disabled","G6/G7","G6","75","[c]","70970","68710"
