"Status","Year","Ethnicity","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","Derby","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Derby","AO","55","45","21430","21260"
"In post","2022","Asian","East Midlands (England)","Derby","EO","40","35","27410","27570"
"In post","2022","Asian","East Midlands (England)","Derby","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Derby","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Derby","HEO","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Derby","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Derby","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Derby","Unknown","10","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicester","AA","20","15","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicester","AO","400","345","21280","21260"
"In post","2022","Asian","East Midlands (England)","Leicester","EO","265","245","27230","27570"
"In post","2022","Asian","East Midlands (England)","Leicester","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicester","G7","25","25","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicester","HEO","45","40","32620","33200"
"In post","2022","Asian","East Midlands (England)","Leicester","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicester","SEO","25","25","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicester","Unknown","40","40","27590","24800"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","AA","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","AO","45","40","21960","20970"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","EO","45","45","26790","27370"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","HEO","15","15","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","SEO","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","AO","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","EO","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","HEO","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","AO","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","EO","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","EO","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Nottingham","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Nottingham","AO","170","155","21950","21250"
"In post","2022","Asian","East Midlands (England)","Nottingham","EO","185","175","26860","26820"
"In post","2022","Asian","East Midlands (England)","Nottingham","G6","15","15","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Nottingham","G7","45","45","53320","55210"
"In post","2022","Asian","East Midlands (England)","Nottingham","HEO","180","170","32780","33370"
"In post","2022","Asian","East Midlands (England)","Nottingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Nottingham","SEO","75","70","39560","40180"
"In post","2022","Asian","East Midlands (England)","Nottingham","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South and West Derbyshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South and West Derbyshire","AO","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South and West Derbyshire","EO","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South and West Derbyshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South and West Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South and West Derbyshire","HEO","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South and West Derbyshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South and West Derbyshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South and West Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South Nottinghamshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South Nottinghamshire","AO","10","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South Nottinghamshire","EO","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South Nottinghamshire","G7","[c]","[c]","[c]","[c]"
