"Status","Year","Ethnicity","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","Female","15","15","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","Male","10","10","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","London","Male","10","10","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Outside London","Female","40","40","29120","27960"
"In post","2022","Asian","Animal and Plant Health Agency","Outside London","Male","30","30","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","London","Female","255","250","45360","40600"
"In post","2022","Asian","Cabinet Office (excl. agencies)","London","Male","180","180","49680","54700"
"In post","2022","Asian","Cabinet Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Outside London","Female","35","35","32890","32000"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Outside London","Male","30","30","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Asian","Companies House","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Asian","Companies House","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","Female","60","60","43930","36910"
"In post","2022","Asian","Competition and Markets Authority","London","Male","50","50","54930","56110"
"In post","2022","Asian","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","London","Female","5","5","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","London","Male","5","5","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Outside London","Male","15","15","[c]","[c]"
