"Status","Year","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","East Midlands (England)","490","450","39250","38000"
"In post","2022","Attorney General's Departments","East of England","515","465","41490","36240"
"In post","2022","Attorney General's Departments","London","4805","4520","49870","51250"
"In post","2022","Attorney General's Departments","North East (England)","355","325","39240","34480"
"In post","2022","Attorney General's Departments","North West (England)","1015","945","39430","34480"
"In post","2022","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","735","685","42520","39540"
"In post","2022","Attorney General's Departments","South West (England)","365","340","42390","48080"
"In post","2022","Attorney General's Departments","Wales","395","365","40850","38180"
"In post","2022","Attorney General's Departments","West Midlands (England)","590","555","40870","38180"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","935","870","40950","38180"
"In post","2022","Cabinet Office","East Midlands (England)","65","60","53070","51650"
"In post","2022","Cabinet Office","East of England","260","245","44000","38980"
"In post","2022","Cabinet Office","London","6600","6515","50210","49700"
"In post","2022","Cabinet Office","North East (England)","480","450","30580","25550"
"In post","2022","Cabinet Office","North West (England)","950","935","43490","38980"
"In post","2022","Cabinet Office","Northern Ireland","10","10","31770","32000"
"In post","2022","Cabinet Office","Scotland","300","295","42950","33330"
"In post","2022","Cabinet Office","South East (England)","240","235","46050","34640"
"In post","2022","Cabinet Office","South West (England)","280","275","53930","49700"
"In post","2022","Cabinet Office","Unknown","475","475","37420","32000"
"In post","2022","Cabinet Office","Wales","205","200","38480","33080"
"In post","2022","Cabinet Office","West Midlands (England)","255","255","52620","44390"
"In post","2022","Cabinet Office","Yorkshire and The Humber","930","895","39190","33300"
"In post","2022","Chancellor's other departments","London","360","340","60480","53090"
"In post","2022","Chancellor's other departments","North East (England)","20","20","47120","47870"
"In post","2022","Chancellor's other departments","North West (England)","20","20","43160","40290"
"In post","2022","Chancellor's other departments","Scotland","25","25","57330","47000"
"In post","2022","Charity Commission","London","80","80","44120","37910"
"In post","2022","Charity Commission","North West (England)","345","325","31850","29160"
"In post","2022","Charity Commission","South West (England)","35","35","31780","29540"
"In post","2022","Charity Commission","Wales","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","London","795","770","61480","57060"
"In post","2022","Competition and Markets Authority","Northern Ireland","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Scotland","55","55","58200","55860"
"In post","2022","Competition and Markets Authority","Wales","5","5","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","East Midlands (England)","230","220","31320","30950"
"In post","2022","Department for Business, Energy and Industrial Strategy","East of England","210","200","33740","32730"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","5960","5825","48850","46880"
"In post","2022","Department for Business, Energy and Industrial Strategy","North East (England)","225","210","32890","30950"
"In post","2022","Department for Business, Energy and Industrial Strategy","North West (England)","660","635","35950","34390"
"In post","2022","Department for Business, Energy and Industrial Strategy","Northern Ireland","45","45","30500","31150"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","30","30","36040","37420"
"In post","2022","Department for Business, Energy and Industrial Strategy","Scotland","420","400","36300","31210"
"In post","2022","Department for Business, Energy and Industrial Strategy","South East (England)","260","245","35020","34390"
"In post","2022","Department for Business, Energy and Industrial Strategy","South West (England)","2100","2000","40000","39650"
"In post","2022","Department for Business, Energy and Industrial Strategy","Wales","2995","2810","35010","30660"
"In post","2022","Department for Business, Energy and Industrial Strategy","West Midlands (England)","730","695","34940","30950"
"In post","2022","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","205","195","32990","31140"
"In post","2022","Department for Digital, Culture, Media and Sport","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","London","1785","1755","47680","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","North East (England)","20","20","39160","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","North West (England)","120","120","41400","34580"
"In post","2022","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Scotland","25","25","39030","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","South West (England)","15","15","45280","47070"
"In post","2022","Department for Digital, Culture, Media and Sport","Wales","15","15","46060","47070"
"In post","2022","Department for Digital, Culture, Media and Sport","West Midlands (England)","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","15","15","42040","38020"
"In post","2022","Department for Education","East Midlands (England)","370","355","41720","37100"
"In post","2022","Department for Education","East of England","85","80","48970","50630"
"In post","2022","Department for Education","London","2535","2440","50280","53420"
"In post","2022","Department for Education","North East (England)","955","915","38420","36500"
"In post","2022","Department for Education","North West (England)","1275","1245","40460","36500"
"In post","2022","Department for Education","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","Scotland","5","5","[c]","[c]"
"In post","2022","Department for Education","South East (England)","40","40","60600","64590"
"In post","2022","Department for Education","South West (England)","340","330","43720","40300"
"In post","2022","Department for Education","Wales","5","5","[c]","[c]"
"In post","2022","Department for Education","West Midlands (England)","1405","1370","40600","36780"
"In post","2022","Department for Education","Yorkshire and The Humber","1675","1600","40800","36780"
"In post","2022","Department for Environment, Food and Rural Affairs","East Midlands (England)","320","305","32200","29180"
"In post","2022","Department for Environment, Food and Rural Affairs","East of England","900","855","34090","30220"
"In post","2022","Department for Environment, Food and Rural Affairs","London","2900","2815","44250","38750"
"In post","2022","Department for Environment, Food and Rural Affairs","North East (England)","795","750","31230","26520"
"In post","2022","Department for Environment, Food and Rural Affairs","North West (England)","1700","1565","29130","24920"
"In post","2022","Department for Environment, Food and Rural Affairs","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Scotland","180","175","33380","29180"
"In post","2022","Department for Environment, Food and Rural Affairs","South East (England)","1505","1440","35800","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","South West (England)","2070","1960","35560","32160"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","30","30","32770","29180"
"In post","2022","Department for Environment, Food and Rural Affairs","Wales","370","345","29070","25190"
"In post","2022","Department for Environment, Food and Rural Affairs","West Midlands (England)","745","705","33070","29180"
"In post","2022","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","1265","1215","34820","30730"
"In post","2022","Department for International Trade","East Midlands (England)","10","10","40560","35180"
"In post","2022","Department for International Trade","East of England","5","5","[c]","[c]"
"In post","2022","Department for International Trade","London","2500","2475","46310","41250"
"In post","2022","Department for International Trade","North East (England)","50","45","38370","34430"
"In post","2022","Department for International Trade","North West (England)","20","20","44850","39410"
"In post","2022","Department for International Trade","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Overseas","175","175","55360","53470"
"In post","2022","Department for International Trade","Scotland","30","30","45300","47980"
"In post","2022","Department for International Trade","South East (England)","10","10","42610","38350"
"In post","2022","Department for International Trade","South West (England)","10","10","47900","48220"
"In post","2022","Department for International Trade","Wales","20","20","46840","47980"
"In post","2022","Department for International Trade","West Midlands (England)","25","25","41000","44050"
"In post","2022","Department for International Trade","Yorkshire and The Humber","20","20","41920","40300"
"In post","2022","Department for Levelling Up, Housing and Communities","East Midlands (England)","100","95","48350","47660"
"In post","2022","Department for Levelling Up, Housing and Communities","East of England","130","125","44650","41360"
"In post","2022","Department for Levelling Up, Housing and Communities","London","2275","2225","48590","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","North East (England)","130","125","45010","47660"
"In post","2022","Department for Levelling Up, Housing and Communities","North West (England)","220","210","41500","36340"
"In post","2022","Department for Levelling Up, Housing and Communities","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Scotland","35","35","42800","37300"
"In post","2022","Department for Levelling Up, Housing and Communities","South East (England)","60","50","51140","47660"
"In post","2022","Department for Levelling Up, Housing and Communities","South West (England)","635","595","36150","32780"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","10","10","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Wales","45","40","50420","48200"
"In post","2022","Department for Levelling Up, Housing and Communities","West Midlands (England)","350","340","38750","36340"
"In post","2022","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","155","150","46380","40300"
"In post","2022","Department for Transport","East Midlands (England)","655","630","33640","29080"
"In post","2022","Department for Transport","East of England","400","375","29970","26830"
"In post","2022","Department for Transport","London","3390","3305","47700","42890"
"In post","2022","Department for Transport","North East (England)","385","355","27620","26580"
"In post","2022","Department for Transport","North West (England)","490","465","29120","26780"
"In post","2022","Department for Transport","Northern Ireland","40","40","37890","34040"
"In post","2022","Department for Transport","Overseas","10","10","61510","57170"
"In post","2022","Department for Transport","Scotland","450","425","32310","27930"
"In post","2022","Department for Transport","South East (England)","1505","1440","36170","30970"
"In post","2022","Department for Transport","South West (England)","770","730","32750","27930"
"In post","2022","Department for Transport","Wales","6930","6185","26860","21840"
"In post","2022","Department for Transport","West Midlands (England)","680","650","29560","26780"
"In post","2022","Department for Transport","Yorkshire and The Humber","675","640","30960","26830"
"In post","2022","Department for Work and Pensions","East Midlands (England)","4915","4370","27250","27570"
"In post","2022","Department for Work and Pensions","East of England","4620","4150","28650","27570"
"In post","2022","Department for Work and Pensions","London","10115","9460","34190","31060"
"In post","2022","Department for Work and Pensions","North East (England)","10250","9175","28360","27570"
"In post","2022","Department for Work and Pensions","North West (England)","19340","17540","28180","27570"
"In post","2022","Department for Work and Pensions","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Scotland","8860","7855","26330","27570"
"In post","2022","Department for Work and Pensions","South East (England)","6440","5785","27740","27570"
"In post","2022","Department for Work and Pensions","South West (England)","5590","4865","26610","27570"
"In post","2022","Department for Work and Pensions","Unknown","600","555","31150","27570"
"In post","2022","Department for Work and Pensions","Wales","5810","5230","26290","27570"
"In post","2022","Department for Work and Pensions","West Midlands (England)","7725","6815","26410","27570"
"In post","2022","Department for Work and Pensions","Yorkshire and The Humber","9890","8855","30340","27570"
"In post","2022","Department of Health and Social Care","East Midlands (England)","230","210","42340","36330"
"In post","2022","Department of Health and Social Care","East of England","690","645","44150","40060"
"In post","2022","Department of Health and Social Care","London","6305","6050","47770","40810"
"In post","2022","Department of Health and Social Care","North East (England)","115","110","45770","40060"
"In post","2022","Department of Health and Social Care","North West (England)","535","500","38560","32310"
"In post","2022","Department of Health and Social Care","Northern Ireland","5","5","[c]","[c]"
"In post","2022","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Scotland","35","35","37220","35400"
"In post","2022","Department of Health and Social Care","South East (England)","550","495","45600","40060"
"In post","2022","Department of Health and Social Care","South West (England)","1190","1110","39520","36330"
"In post","2022","Department of Health and Social Care","Unknown","40","40","44780","40650"
"In post","2022","Department of Health and Social Care","Wales","30","25","48260","47350"
"In post","2022","Department of Health and Social Care","West Midlands (England)","415","375","42360","36330"
"In post","2022","Department of Health and Social Care","Yorkshire and The Humber","1665","1595","43130","37700"
"In post","2022","Estyn","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Wales","110","105","58630","75480"
"In post","2022","Estyn","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","East Midlands (England)","85","85","35140","30350"
"In post","2022","Food Standards Agency","East of England","130","125","34680","31520"
"In post","2022","Food Standards Agency","London","245","240","44260","40350"
"In post","2022","Food Standards Agency","North East (England)","30","30","34740","30810"
"In post","2022","Food Standards Agency","North West (England)","100","95","34160","30350"
"In post","2022","Food Standards Agency","Northern Ireland","100","100","37610","37350"
"In post","2022","Food Standards Agency","Scotland","5","5","[c]","[c]"
"In post","2022","Food Standards Agency","South East (England)","100","100","43240","40720"
"In post","2022","Food Standards Agency","South West (England)","115","110","35500","30350"
"In post","2022","Food Standards Agency","Wales","150","145","36510","31050"
"In post","2022","Food Standards Agency","West Midlands (England)","120","115","32730","30350"
"In post","2022","Food Standards Agency","Yorkshire and The Humber","270","265","36650","31450"
"In post","2022","Foreign, Commonwealth and Development Office","London","4055","3960","50150","47730"
"In post","2022","Foreign, Commonwealth and Development Office","Overseas","2210","2205","51740","53000"
"In post","2022","Foreign, Commonwealth and Development Office","Scotland","830","795","41790","38500"
"In post","2022","Foreign, Commonwealth and Development Office","South East (England)","1145","1095","36880","31910"
"In post","2022","HM Land Registry","East Midlands (England)","920","845","31020","27130"
"In post","2022","HM Land Registry","East of England","295","270","30840","27130"
"In post","2022","HM Land Registry","London","405","385","41440","37290"
"In post","2022","HM Land Registry","North East (England)","730","670","28860","27130"
"In post","2022","HM Land Registry","North West (England)","965","865","29870","27130"
"In post","2022","HM Land Registry","South West (England)","1580","1425","32790","31740"
"In post","2022","HM Land Registry","Wales","770","690","29440","27130"
"In post","2022","HM Land Registry","West Midlands (England)","610","560","30190","27130"
"In post","2022","HM Land Registry","Yorkshire and The Humber","355","325","29250","27130"
"In post","2022","HM Revenue and Customs","East Midlands (England)","4330","4095","33890","33080"
"In post","2022","HM Revenue and Customs","East of England","1460","1335","33980","33080"
"In post","2022","HM Revenue and Customs","London","9740","9300","44850","37930"
"In post","2022","HM Revenue and Customs","North East (England)","11675","10505","29820","26820"
"In post","2022","HM Revenue and Customs","North West (England)","14550","13605","32010","26950"
"In post","2022","HM Revenue and Customs","Northern Ireland","2360","2225","30580","26820"
"In post","2022","HM Revenue and Customs","Scotland","7785","7090","29470","26820"
"In post","2022","HM Revenue and Customs","South East (England)","2415","2180","32430","28920"
"In post","2022","HM Revenue and Customs","South West (England)","2050","1935","35440","33080"
"In post","2022","HM Revenue and Customs","Wales","4660","4360","30610","26820"
"In post","2022","HM Revenue and Customs","West Midlands (England)","4765","4500","34330","33080"
"In post","2022","HM Revenue and Customs","Yorkshire and The Humber","5580","5200","31920","26820"
"In post","2022","HM Treasury","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","HM Treasury","East of England","70","70","29800","24030"
"In post","2022","HM Treasury","London","2315","2260","49320","52500"
"In post","2022","HM Treasury","North East (England)","135","130","43000","40280"
"In post","2022","HM Treasury","North West (England)","50","45","45080","40700"
"In post","2022","HM Treasury","Scotland","10","10","47900","46320"
"In post","2022","HM Treasury","South East (England)","15","15","43250","42770"
"In post","2022","HM Treasury","South West (England)","40","40","48320","45390"
"In post","2022","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Wales","25","25","48120","48780"
"In post","2022","HM Treasury","West Midlands (England)","30","30","50460","44820"
