"Status","Year","Ethnicity","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","AA/AO","30","30","21540","21260"
"In post","2022","Asian","Angus and Dundee City","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","London","AA/AO","20","15","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","London","EO","135","125","30940","31060"
"In post","2022","Asian","Barking & Dagenham and Havering","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","London","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Barnet","London","AA/AO","90","70","23970","23780"
"In post","2022","Asian","Barnet","London","EO","135","120","29660","31060"
"In post","2022","Asian","Barnet","London","G6/G7","60","60","60660","60630"
"In post","2022","Asian","Barnet","London","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Barnet","London","SEO/HEO","150","150","38280","38930"
"In post","2022","Asian","Barnet","London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Outside London","EO","20","15","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","80","75","24390","25000"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6/G7","40","40","57450","56100"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO/HEO","220","215","35680","34000"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","45","45","38670","36260"
"In post","2022","Asian","Bedford","Outside London","AA/AO","25","20","[c]","[c]"
"In post","2022","Asian","Bedford","Outside London","EO","40","35","27170","27570"
"In post","2022","Asian","Bedford","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedford","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedford","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Bedford","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Belfast","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Berkshire","Outside London","AA/AO","90","80","24050","22700"
"In post","2022","Asian","Berkshire","Outside London","EO","145","135","29500","29290"
"In post","2022","Asian","Berkshire","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2022","Asian","Berkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire","Outside London","SEO/HEO","45","45","37510","36970"
"In post","2022","Asian","Berkshire","Outside London","Unknown","20","20","[c]","[c]"
