"Status","Year","Age","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Economics","EO","15","15","25530","25270"
"In post","2022","16-19","Analysis","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Communications","AO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","AO","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","AO","20","20","21250","21250"
"In post","2022","16-19","Debt","Other","AO","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Tax","AO","20","20","21250","21250"
"In post","2022","16-19","Debt","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","AA","10","10","18240","19380"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","AO","5","5","[c]","[c]"
"In post","2022","16-19","Finance","Finance","EO","20","20","20840","19460"
"In post","2022","16-19","Finance","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","AO","10","10","20720","21300"
"In post","2022","16-19","Grants Management","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","AO","10","10","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","AO","30","30","21410","20500"
"In post","2022","16-19","Legal","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","AA","145","125","19720","19200"
"In post","2022","16-19","No function","Operational Delivery","AO","345","335","22370","21260"
"In post","2022","16-19","No function","Operational Delivery","EO","35","30","26950","27570"
"In post","2022","16-19","No function","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","AO","25","25","21550","21260"
"In post","2022","16-19","No function","Other","EO","5","5","[c]","[c]"
"In post","2022","16-19","No function","Policy","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","AO","10","5","[c]","[c]"
"In post","2022","16-19","No function","Policy","EO","30","30","25300","25170"
"In post","2022","16-19","No function","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Science and Engineering","AA","20","20","16730","15470"
"In post","2022","16-19","No function","Science and Engineering","AO","10","10","[c]","[c]"
"In post","2022","16-19","No function","Tax","AO","35","35","21250","21250"
"In post","2022","16-19","No function","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","AO","5","5","[c]","[c]"
"In post","2022","16-19","No function","Unknown","EO","5","5","[c]","[c]"
"In post","2022","16-19","No function","Veterinarian","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","EO","20","20","18390","18030"
"In post","2022","16-19","Project Delivery","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","EO","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Science and Engineering","EO","60","60","18210","17140"
"In post","2022","16-19","Project Delivery","Science and Engineering","Unknown","15","15","18160","17140"
"In post","2022","16-19","Property","Property","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","EO","15","15","26130","26030"
"In post","2022","16-19","Property","Property","Unknown","15","15","19130","16630"
