"Status","Year","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","AA/AO","AA","Female","305","250","21080","21250"
"In post","2022","Asian","AA/AO","AA","Male","370","355","21210","21120"
"In post","2022","Asian","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","AA/AO","AO","Female","4565","3815","22610","21410"
"In post","2022","Asian","AA/AO","AO","Male","3270","3105","23040","21260"
"In post","2022","Asian","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","EO","EO","Female","6105","5530","28450","27570"
"In post","2022","Asian","EO","EO","Male","4710","4610","28210","27570"
"In post","2022","Asian","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G6/G7","G6","Female","455","440","68510","66640"
"In post","2022","Asian","G6/G7","G6","Male","385","380","70150","67910"
"In post","2022","Asian","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G6/G7","G7","Female","1605","1550","55440","54400"
"In post","2022","Asian","G6/G7","G7","Male","1380","1365","56420","55210"
"In post","2022","Asian","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS level","SCS level","Female","175","165","91070","83230"
"In post","2022","Asian","SCS level","SCS level","Male","155","150","92080","86480"
"In post","2022","Asian","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SEO/HEO","HEO","Female","3060","2945","34340","34020"
"In post","2022","Asian","SEO/HEO","HEO","Male","2730","2670","34430","33370"
"In post","2022","Asian","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SEO/HEO","SEO","Female","1860","1805","41650","41080"
"In post","2022","Asian","SEO/HEO","SEO","Male","1670","1655","42620","41750"
"In post","2022","Asian","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Female","570","530","29190","27980"
"In post","2022","Asian","Unknown","Unknown","Male","270","255","31540","28200"
"In post","2022","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","AA/AO","AA","Female","245","220","22590","22140"
"In post","2022","Black","AA/AO","AA","Male","270","260","22740","22140"
"In post","2022","Black","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","AA/AO","AO","Female","2250","2035","23930","23720"
"In post","2022","Black","AA/AO","AO","Male","1375","1335","26300","25110"
"In post","2022","Black","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","EO","EO","Female","3815","3610","29280","29290"
"In post","2022","Black","EO","EO","Male","1850","1810","29250","29080"
"In post","2022","Black","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","G6/G7","G6","Female","145","145","68890","67550"
"In post","2022","Black","G6/G7","G6","Male","95","95","70650","69220"
"In post","2022","Black","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","G6/G7","G7","Female","785","770","55530","54480"
"In post","2022","Black","G6/G7","G7","Male","455","455","56260","54760"
"In post","2022","Black","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","SCS level","SCS level","Female","55","55","88810","79140"
"In post","2022","Black","SCS level","SCS level","Male","40","40","99500","92520"
"In post","2022","Black","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","SEO/HEO","HEO","Female","1740","1705","34800","34550"
"In post","2022","Black","SEO/HEO","HEO","Male","1020","1005","34880","34260"
"In post","2022","Black","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","SEO/HEO","SEO","Female","1040","1025","42000","41750"
"In post","2022","Black","SEO/HEO","SEO","Male","695","690","42690","41750"
"In post","2022","Black","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","Female","840","805","31520","28690"
"In post","2022","Black","Unknown","Unknown","Male","355","350","31810","28690"
"In post","2022","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","AA/AO","AA","Female","90","80","21070","20890"
"In post","2022","Mixed","AA/AO","AA","Male","85","80","21350","20890"
"In post","2022","Mixed","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","AA/AO","AO","Female","1065","950","23040","21560"
"In post","2022","Mixed","AA/AO","AO","Male","775","750","24750","23140"
"In post","2022","Mixed","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","EO","EO","Female","1440","1345","28170","27570"
"In post","2022","Mixed","EO","EO","Male","880","860","28450","27570"
"In post","2022","Mixed","EO","EO","Unknown","[c]","[c]","[c]","[c]"
