"Status","Year","Age","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","AA/AO","AA","235","215","19680","19860"
"In post","2022","16-19","AA/AO","AO","655","635","22090","21260"
"In post","2022","16-19","EO","EO","305","300","23510","24860"
"In post","2022","16-19","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","80","80","18480","17140"
"In post","2022","20-29","AA/AO","AA","2975","2880","20800","20890"
"In post","2022","20-29","AA/AO","AO","23585","22985","23130","21680"
"In post","2022","20-29","EO","EO","23155","22910","27360","27230"
"In post","2022","20-29","G6/G7","G6","360","360","65400","64700"
"In post","2022","20-29","G6/G7","G7","4680","4665","54140","53420"
"In post","2022","20-29","SCS level","SCS level","15","15","78780","73030"
"In post","2022","20-29","SEO/HEO","HEO","18735","18645","32700","33000"
"In post","2022","20-29","SEO/HEO","SEO","6815","6785","40280","40180"
"In post","2022","20-29","Unknown","Unknown","4250","4180","25980","24090"
"In post","2022","30-39","AA/AO","AA","2540","2340","20790","20890"
"In post","2022","30-39","AA/AO","AO","22825","20920","23590","21680"
"In post","2022","30-39","EO","EO","26650","25340","27800","27570"
"In post","2022","30-39","G6/G7","G6","4405","4280","66970","65710"
"In post","2022","30-39","G6/G7","G7","14220","13855","54420","54110"
"In post","2022","30-39","SCS level","SCS level","1075","1040","79970","75490"
"In post","2022","30-39","SEO/HEO","HEO","19630","19055","33470","33190"
"In post","2022","30-39","SEO/HEO","SEO","14855","14475","41080","40520"
"In post","2022","30-39","Unknown","Unknown","5330","4990","30560","30210"
"In post","2022","40-49","AA/AO","AA","2875","2655","20700","20890"
"In post","2022","40-49","AA/AO","AO","22950","20470","23310","21490"
"In post","2022","40-49","EO","EO","27915","26015","27960","27570"
"In post","2022","40-49","G6/G7","G6","6595","6335","68640","67250"
"In post","2022","40-49","G6/G7","G7","14800","14245","55350","54700"
"In post","2022","40-49","SCS level","SCS level","2960","2865","87930","80400"
"In post","2022","40-49","SEO/HEO","HEO","17410","16725","34020","33370"
"In post","2022","40-49","SEO/HEO","SEO","15440","14905","42020","40580"
"In post","2022","40-49","Unknown","Unknown","5545","5165","34080","32710"
"In post","2022","50-59","AA/AO","AA","5675","5255","20670","20560"
"In post","2022","50-59","AA/AO","AO","32745","29315","23370","21680"
"In post","2022","50-59","EO","EO","38630","35915","28380","27570"
"In post","2022","50-59","G6/G7","G6","6375","6235","70340","68660"
"In post","2022","50-59","G6/G7","G7","13600","13265","56230","55210"
