"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Scotland","SEO/HEO","SEO","100","100","48080","42270"
"In post","2022","Asian","Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","South East (England)","AA/AO","AA","105","100","20670","19810"
"In post","2022","Asian","South East (England)","AA/AO","AO","390","340","24040","22610"
"In post","2022","Asian","South East (England)","EO","EO","580","540","28520","28410"
"In post","2022","Asian","South East (England)","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Asian","South East (England)","G6/G7","G7","90","85","56540","54540"
"In post","2022","Asian","South East (England)","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","South East (England)","SEO/HEO","HEO","195","185","34220","33300"
"In post","2022","Asian","South East (England)","SEO/HEO","SEO","110","105","41730","40570"
"In post","2022","Asian","South East (England)","Unknown","Unknown","55","50","27180","24090"
"In post","2022","Asian","South West (England)","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","Asian","South West (England)","AA/AO","AO","115","105","22060","21270"
"In post","2022","Asian","South West (England)","EO","EO","205","195","25830","26750"
"In post","2022","Asian","South West (England)","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Asian","South West (England)","G6/G7","G7","90","85","52940","51900"
"In post","2022","Asian","South West (England)","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","South West (England)","SEO/HEO","HEO","215","205","31890","32650"
"In post","2022","Asian","South West (England)","SEO/HEO","SEO","170","165","40750","40440"
"In post","2022","Asian","South West (England)","Unknown","Unknown","55","50","37560","34000"
"In post","2022","Asian","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","AA/AO","AO","50","40","24120","25110"
"In post","2022","Asian","Unknown","EO","EO","80","75","29930","30330"
"In post","2022","Asian","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2022","Asian","Unknown","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Wales","AA/AO","AA","20","15","[c]","[c]"
"In post","2022","Asian","Wales","AA/AO","AO","180","165","21660","21260"
"In post","2022","Asian","Wales","EO","EO","160","155","26750","26820"
"In post","2022","Asian","Wales","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Asian","Wales","G6/G7","G7","40","40","55570","54280"
"In post","2022","Asian","Wales","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Wales","SEO/HEO","HEO","105","105","33020","33080"
"In post","2022","Asian","Wales","SEO/HEO","SEO","60","60","42140","40520"
"In post","2022","Asian","Wales","Unknown","Unknown","10","5","[c]","[c]"
"In post","2022","Asian","West Midlands (England)","AA/AO","AA","80","70","19810","19200"
