"Status","Year","Region_ITL3","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","Female","Heterosexual / straight","130","115","23420","22410"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","Female","Undeclared","20","15","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","Female","Unknown","120","105","23830","23330"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","Male","Heterosexual / straight","115","115","29700","26840"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","Male","Unknown","110","105","26930","25940"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","EO","Female","Heterosexual / straight","215","195","28280","27570"
"In post","2022","Aberdeen City and Aberdeenshire","EO","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","EO","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","EO","Female","Unknown","100","90","30110","29550"
"In post","2022","Aberdeen City and Aberdeenshire","EO","Male","Heterosexual / straight","165","160","29990","27940"
"In post","2022","Aberdeen City and Aberdeenshire","EO","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","EO","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","EO","Male","Unknown","85","85","32160","32170"
"In post","2022","Aberdeen City and Aberdeenshire","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","Female","Heterosexual / straight","40","40","62520","62170"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","Female","Unknown","10","10","[c]","[c]"
