"Status","Year","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","AA/AO","AA","Heterosexual / straight","11835","10800","20540","20550"
"In post","2022","AA/AO","AA","LGBO","710","685","20770","20890"
"In post","2022","AA/AO","AA","Undeclared","1555","1340","20090","19810"
"In post","2022","AA/AO","AA","Unknown","4585","4110","21160","20950"
"In post","2022","AA/AO","AO","Heterosexual / straight","74555","67395","23280","21680"
"In post","2022","AA/AO","AO","LGBO","4685","4485","23510","21550"
"In post","2022","AA/AO","AO","Undeclared","9585","8485","23350","21680"
"In post","2022","AA/AO","AO","Unknown","29650","26500","23230","21640"
"In post","2022","EO","EO","Heterosexual / straight","88330","82220","27930","27570"
"In post","2022","EO","EO","LGBO","5530","5355","27820","27570"
"In post","2022","EO","EO","Undeclared","11255","10330","28130","27570"
"In post","2022","EO","EO","Unknown","26160","24100","28160","27570"
"In post","2022","G6/G7","G6","Heterosexual / straight","13130","12645","68820","67600"
"In post","2022","G6/G7","G6","LGBO","885","870","67960","66610"
"In post","2022","G6/G7","G6","Undeclared","1745","1665","69400","67910"
"In post","2022","G6/G7","G6","Unknown","3335","3210","69910","67910"
"In post","2022","G6/G7","G7","Heterosexual / straight","33890","32735","55330","54650"
"In post","2022","G6/G7","G7","LGBO","2445","2405","55000","54200"
"In post","2022","G6/G7","G7","Undeclared","4340","4205","55580","54700"
"In post","2022","G6/G7","G7","Unknown","9680","9325","55380","54700"
"In post","2022","SCS level","SCS level","Heterosexual / straight","5110","4950","89910","82300"
"In post","2022","SCS level","SCS level","LGBO","365","360","87220","79360"
"In post","2022","SCS level","SCS level","Undeclared","560","540","89150","82340"
"In post","2022","SCS level","SCS level","Unknown","1180","1145","96300","86720"
"In post","2022","SEO/HEO","HEO","Heterosexual / straight","55845","53585","33870","33370"
"In post","2022","SEO/HEO","HEO","LGBO","3875","3800","33450","33210"
"In post","2022","SEO/HEO","HEO","Undeclared","7240","6930","34220","33370"
"In post","2022","SEO/HEO","HEO","Unknown","16080","15550","33590","33340"
"In post","2022","SEO/HEO","SEO","Heterosexual / straight","41035","39575","41990","40590"
"In post","2022","SEO/HEO","SEO","LGBO","2515","2475","41330","40520"
"In post","2022","SEO/HEO","SEO","Undeclared","5580","5345","42290","40930"
"In post","2022","SEO/HEO","SEO","Unknown","9350","9010","41630","40520"
