"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","London","AA/AO","AO","65","65","24420","24900"
"In post","2022","Analysis","London","EO","EO","305","300","28850","28310"
"In post","2022","Analysis","London","G6/G7","G6","470","445","74750","70730"
"In post","2022","Analysis","London","G6/G7","G7","1145","1100","57190","56130"
"In post","2022","Analysis","London","SCS level","SCS level","140","135","92040","82310"
"In post","2022","Analysis","London","SEO/HEO","HEO","1040","1025","35470","34870"
"In post","2022","Analysis","London","SEO/HEO","SEO","585","570","43520","42890"
"In post","2022","Analysis","Outside London","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Analysis","Outside London","AA/AO","AO","190","180","20990","21260"
"In post","2022","Analysis","Outside London","EO","EO","565","535","25720","25120"
"In post","2022","Analysis","Outside London","G6/G7","G6","210","200","65570","65580"
"In post","2022","Analysis","Outside London","G6/G7","G7","980","930","52060","51210"
"In post","2022","Analysis","Outside London","SCS level","SCS level","45","45","80700","74880"
"In post","2022","Analysis","Outside London","SEO/HEO","HEO","1435","1390","31530","30710"
"In post","2022","Analysis","Outside London","SEO/HEO","SEO","1255","1195","38970","38340"
"In post","2022","Analysis","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","AA/AO","AO","40","40","22740","23130"
"In post","2022","Commercial","London","EO","EO","110","110","28520","28310"
"In post","2022","Commercial","London","G6/G7","G6","305","305","74540","70880"
"In post","2022","Commercial","London","G6/G7","G7","655","640","58860","55460"
"In post","2022","Commercial","London","SCS level","SCS level","200","195","114850","113880"
"In post","2022","Commercial","London","SEO/HEO","HEO","210","205","34400","34260"
"In post","2022","Commercial","London","SEO/HEO","SEO","335","330","42900","41750"
"In post","2022","Commercial","Outside London","AA/AO","AA","35","30","22590","21640"
"In post","2022","Commercial","Outside London","AA/AO","AO","215","195","22570","21840"
"In post","2022","Commercial","Outside London","EO","EO","640","610","26340","26350"
"In post","2022","Commercial","Outside London","G6/G7","G6","360","355","70590","67250"
"In post","2022","Commercial","Outside London","G6/G7","G7","880","860","55290","53320"
"In post","2022","Commercial","Outside London","SCS level","SCS level","125","125","104140","97110"
"In post","2022","Commercial","Outside London","SEO/HEO","HEO","940","910","32380","32740"
"In post","2022","Commercial","Outside London","SEO/HEO","SEO","1290","1250","39840","40000"
"In post","2022","Commercial","Outside London","Unknown","Unknown","165","165","40030","37400"
"In post","2022","Commercial","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO/HEO","HEO","10","10","36720","34800"
"In post","2022","Commercial","Overseas","SEO/HEO","SEO","15","15","47140","50000"
"In post","2022","Commercial","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","EO","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Unknown","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Commercial","Unknown","G6/G7","G7","25","25","56160","54700"
"In post","2022","Commercial","Unknown","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO/HEO","SEO","10","10","40570","40600"
"In post","2022","Communications","London","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Communications","London","AA/AO","AO","65","65","24210","24470"
"In post","2022","Communications","London","EO","EO","305","300","28810","27850"
"In post","2022","Communications","London","G6/G7","G6","260","255","68530","66270"
"In post","2022","Communications","London","G6/G7","G7","545","525","56200","54700"
"In post","2022","Communications","London","SCS level","SCS level","115","115","93640","87500"
"In post","2022","Communications","London","SEO/HEO","HEO","540","535","35740","35010"
"In post","2022","Communications","London","SEO/HEO","SEO","580","570","43290","42670"
"In post","2022","Communications","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","AA/AO","AA","20","20","20580","21250"
"In post","2022","Communications","Outside London","AA/AO","AO","400","360","21510","21250"
"In post","2022","Communications","Outside London","EO","EO","2930","2830","26750","26820"
"In post","2022","Communications","Outside London","G6/G7","G6","105","100","64710","64760"
"In post","2022","Communications","Outside London","G6/G7","G7","290","280","52170","53500"
"In post","2022","Communications","Outside London","SCS level","SCS level","15","15","79850","75520"
"In post","2022","Communications","Outside London","SEO/HEO","HEO","1600","1555","33000","33370"
"In post","2022","Communications","Outside London","SEO/HEO","SEO","725","700","39650","40180"
"In post","2022","Communications","Outside London","Unknown","Unknown","10","10","36930","31420"
"In post","2022","Communications","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","AA/AO","AO","585","510","24880","25110"
"In post","2022","Counter Fraud","London","EO","EO","1205","1135","31240","31020"
"In post","2022","Counter Fraud","London","G6/G7","G6","110","105","72240","73430"
"In post","2022","Counter Fraud","London","G6/G7","G7","315","305","60340","62120"
"In post","2022","Counter Fraud","London","SCS level","SCS level","30","30","86900","79980"
"In post","2022","Counter Fraud","London","SEO/HEO","HEO","900","870","37630","37930"
