"Status","Year","Parent_department","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AA","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AO","Female","280","255","23530","23770"
"In post","2022","Attorney General's Departments","London","AO","Male","140","135","23480","23770"
"In post","2022","Attorney General's Departments","London","EO","Female","530","500","28430","27580"
"In post","2022","Attorney General's Departments","London","EO","Male","250","245","28610","27760"
"In post","2022","Attorney General's Departments","London","G6","Female","580","510","67750","65760"
"In post","2022","Attorney General's Departments","London","G6","Male","385","375","69300","67100"
"In post","2022","Attorney General's Departments","London","G7","Female","1120","1020","55100","53050"
"In post","2022","Attorney General's Departments","London","G7","Male","565","550","56110","53050"
"In post","2022","Attorney General's Departments","London","HEO","Female","270","260","35860","33930"
"In post","2022","Attorney General's Departments","London","HEO","Male","190","190","34920","33100"
"In post","2022","Attorney General's Departments","London","SCS level","Female","155","145","86480","80000"
"In post","2022","Attorney General's Departments","London","SCS level","Male","105","105","87010","82720"
"In post","2022","Attorney General's Departments","London","SEO","Female","110","105","40410","39750"
"In post","2022","Attorney General's Departments","London","SEO","Male","120","120","40930","40170"
"In post","2022","Attorney General's Departments","Outside London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","AA","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","AO","Female","830","740","22440","22200"
"In post","2022","Attorney General's Departments","Outside London","AO","Male","265","260","22460","22200"
"In post","2022","Attorney General's Departments","Outside London","EO","Female","830","755","27390","27570"
"In post","2022","Attorney General's Departments","Outside London","EO","Male","265","260","27240","27050"
"In post","2022","Attorney General's Departments","Outside London","G6","Female","100","95","68820","67320"
"In post","2022","Attorney General's Departments","Outside London","G6","Male","95","95","73330","71130"
"In post","2022","Attorney General's Departments","Outside London","G7","Female","1340","1190","54170","53870"
"In post","2022","Attorney General's Departments","Outside London","G7","Male","845","815","55370","55610"
"In post","2022","Attorney General's Departments","Outside London","HEO","Female","405","380","34440","33310"
"In post","2022","Attorney General's Departments","Outside London","HEO","Male","190","190","33990","33460"
"In post","2022","Attorney General's Departments","Outside London","SCS level","Female","35","30","89270","83400"
"In post","2022","Attorney General's Departments","Outside London","SCS level","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","SEO","Female","110","110","39430","38180"
"In post","2022","Attorney General's Departments","Outside London","SEO","Male","65","65","39400","38180"
"In post","2022","Attorney General's Departments","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","London","AO","Female","65","60","24150","24490"
"In post","2022","Cabinet Office","London","AO","Male","50","50","24350","24490"
"In post","2022","Cabinet Office","London","EO","Female","325","315","27740","27500"
"In post","2022","Cabinet Office","London","EO","Male","220","220","27670","27500"
"In post","2022","Cabinet Office","London","G6","Female","385","375","68550","65070"
"In post","2022","Cabinet Office","London","G6","Male","400","400","69130","66440"
"In post","2022","Cabinet Office","London","G7","Female","950","920","56460","54700"
"In post","2022","Cabinet Office","London","G7","Male","970","965","57000","54700"
"In post","2022","Cabinet Office","London","HEO","Female","1120","1110","31700","32000"
