"Status","Year","Age","Organisation","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Cabinet Office","EO","10","10","25700","25800"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","AO","10","10","21050","21050"
"In post","2022","16-19","Crown Prosecution Service","Attorney General's Departments","AO","30","30","21350","20500"
"In post","2022","16-19","Crown Prosecution Service","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Ministry of Defence","AA","15","15","17490","17450"
"In post","2022","16-19","Defence Equipment and Support","Ministry of Defence","EO","105","105","18590","18030"
"In post","2022","16-19","Defence Science and Technology Laboratory","Ministry of Defence","AA","5","5","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Ministry of Defence","AO","10","10","22220","22230"
"In post","2022","16-19","Defence Science and Technology Laboratory","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Department for Education","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Department for Education","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","15","15","24970","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Department for Transport","EO","10","10","24230","23970"
"In post","2022","16-19","Department for Transport (excl. agencies)","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AO","110","110","21620","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","35","35","27820","27570"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Department for Transport","AA","55","45","18310","18310"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Department for Transport","AO","15","15","21840","21840"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Department for Transport","AO","10","10","20530","21840"
"In post","2022","16-19","Education and Skills Funding Agency","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","25","25","19270","19110"
"In post","2022","16-19","Food Standards Scotland","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Department for Work and Pensions","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Ministry of Justice","AA","10","10","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Ministry of Justice","AO","15","15","21520","20970"
"In post","2022","16-19","HM Courts and Tribunals Service","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","HM Land Registry","AA","10","10","[c]","[c]"
"In post","2022","16-19","HM Land Registry","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Ministry of Justice","AA","55","55","20890","20890"
"In post","2022","16-19","HM Prison and Probation Service","Ministry of Justice","AO","105","105","24580","23140"
"In post","2022","16-19","HM Prison and Probation Service","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","AO","180","170","21360","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","EO","20","20","27180","26590"
"In post","2022","16-19","HM Treasury (excl. agencies)","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","HM Treasury","EO","10","10","[c]","[c]"
"In post","2022","16-19","Home Office","Home Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Home Office","AO","35","30","22260","21680"
"In post","2022","16-19","Home Office","Home Office","EO","20","20","25880","24880"
"In post","2022","16-19","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","AA","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","AO","10","10","21940","21170"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","AO","5","5","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Ministry of Defence","Unknown","35","35","17940","16450"
"In post","2022","16-19","Rural Payments Agency","Department for Environment, Food and Rural Affairs","AO","10","10","20720","21300"
