"Status","Year","Disability","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","SEO","35","30","44420","43180"
"In post","2022","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South West (England)","AO","[c]","[c]","[c]","[c]"
