"Status","Year","Ethnicity","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","35","35","38080","33300"
"In post","2022","Asian","Commercial","Greater Manchester","Outside London","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Inner London - East","London","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Inner London - West","London","95","90","42070","40050"
"In post","2022","Asian","Commercial","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
