"Status","Year","Ethnicity","Parent_department","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","AA/AO","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","EO","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","G6/G7","25","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","AA/AO","10","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","EO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","G6/G7","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","AA/AO","100","90","23490","23770"
"In post","2022","Asian","Attorney General's Departments","London","EO","140","130","28350","27580"
"In post","2022","Asian","Attorney General's Departments","London","G6/G7","340","315","58330","54800"
"In post","2022","Asian","Attorney General's Departments","London","SCS level","10","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","SEO/HEO","95","95","36770","36240"
"In post","2022","Asian","Attorney General's Departments","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","EO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","G6/G7","25","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","EO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","G6/G7","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","West Midlands (England)","AA/AO","25","25","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","West Midlands (England)","EO","30","25","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","West Midlands (England)","G6/G7","50","45","51870","49400"
"In post","2022","Asian","Attorney General's Departments","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","West Midlands (England)","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Yorkshire and The Humber","AA/AO","10","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Yorkshire and The Humber","EO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Yorkshire and The Humber","G6/G7","35","30","52730","50000"
"In post","2022","Asian","Attorney General's Departments","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Yorkshire and The Humber","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","EO","70","65","27800","27500"
"In post","2022","Asian","Cabinet Office","London","G6/G7","190","185","58850","56440"
"In post","2022","Asian","Cabinet Office","London","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","SEO/HEO","165","160","37610","35740"
"In post","2022","Asian","Cabinet Office","North East (England)","AA/AO","10","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North West (England)","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
