"Status","Year","Age","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","15","15","24960","24300"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","10","10","21050","21050"
"In post","2022","16-19","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","30","30","21600","21350"
"In post","2022","16-19","Crown Prosecution Service","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Ministry of Defence","Science and Engineering","15","15","17490","17450"
"In post","2022","16-19","Defence Equipment and Support","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Ministry of Defence","Finance","15","15","19730","19460"
"In post","2022","16-19","Defence Equipment and Support","Ministry of Defence","Other","20","20","18390","18030"
"In post","2022","16-19","Defence Equipment and Support","Ministry of Defence","Project Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Ministry of Defence","Science and Engineering","60","60","18210","17140"
"In post","2022","16-19","Defence Science and Technology Laboratory","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
