"Status","Year","Region_ITL1","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","Derby","Outside London","1120","1000","27240","25120"
"In post","2022","East Midlands (England)","East Derbyshire","Outside London","420","370","28240","27570"
"In post","2022","East Midlands (England)","Leicester","Outside London","2615","2385","27640","26120"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Outside London","1990","1860","29740","27370"
"In post","2022","East Midlands (England)","Lincolnshire CC","Outside London","3015","2840","28870","26950"
"In post","2022","East Midlands (England)","North Northamptonshire","Outside London","565","500","26090","26310"
"In post","2022","East Midlands (England)","North Nottinghamshire","Outside London","1100","1025","30030","27570"
"In post","2022","East Midlands (England)","Nottingham","Outside London","8825","8295","32620","28290"
"In post","2022","East Midlands (England)","South and West Derbyshire","Outside London","1195","1090","34000","28730"
"In post","2022","East Midlands (England)","South Nottinghamshire","Outside London","1045","985","32480","28640"
"In post","2022","East Midlands (England)","West Northamptonshire","Outside London","1110","1030","28040","26120"
"In post","2022","East of England","Bedford","Outside London","860","805","30670","28140"
"In post","2022","East of England","Breckland and South Norfolk","Outside London","515","485","29530","27120"
"In post","2022","East of England","Cambridgeshire CC","Outside London","3485","3320","33510","31550"
"In post","2022","East of England","Central Bedfordshire","Outside London","440","425","31600","28500"
"In post","2022","East of England","Essex Haven Gateway","Outside London","955","895","31710","29290"
"In post","2022","East of England","Essex Thames Gateway","Outside London","955","860","27980","26780"
"In post","2022","East of England","Heart of Essex","Outside London","1245","1180","32390","29290"
"In post","2022","East of England","Hertfordshire CC","Outside London","2840","2690","35860","31620"
"In post","2022","East of England","Luton","Outside London","560","505","27820","27570"
"In post","2022","East of England","North and West Norfolk","Outside London","940","870","28420","27570"
"In post","2022","East of England","Norwich and East Norfolk","Outside London","2005","1835","29570","27570"
"In post","2022","East of England","Peterborough","Outside London","1635","1480","28980","26620"
"In post","2022","East of England","Southend-on-Sea","Outside London","1105","995","33580","30210"
"In post","2022","East of England","Suffolk CC","Outside London","4330","4040","29760","27570"
"In post","2022","East of England","Thurrock","Outside London","370","350","27300","25510"
"In post","2022","East of England","West Essex","Outside London","690","620","31550","29290"
"In post","2022","London","Barking & Dagenham and Havering","London","695","640","31640","31060"
"In post","2022","London","Barnet","London","1795","1680","39640","32330"
"In post","2022","London","Bexley and Greenwich","London","1795","1715","32220","31060"
"In post","2022","London","Brent","London","620","575","32350","31060"
"In post","2022","London","Bromley","London","570","520","32020","31060"
"In post","2022","London","Camden and City of London","London","2095","2005","39190","31060"
"In post","2022","London","Croydon","London","10555","10065","39640","35200"
"In post","2022","London","Ealing","London","500","470","33070","31060"
"In post","2022","London","Enfield","London","355","325","31880","31060"
"In post","2022","London","Hackney and Newham","London","6570","6220","39970","37610"
