"Status","Year","Function_of_post","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Midlands (England)","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Male","Heterosexual / straight","35","30","36900","33840"
"In post","2022","Analysis","East Midlands (England)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Female","Heterosexual / straight","75","65","34580","33000"
"In post","2022","Analysis","East of England","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","East of England","Female","Unknown","95","85","32160","29750"
"In post","2022","Analysis","East of England","Male","Heterosexual / straight","75","70","37470","36240"
"In post","2022","Analysis","East of England","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","East of England","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","East of England","Male","Unknown","105","105","38610","36580"
"In post","2022","Analysis","East of England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Female","Heterosexual / straight","1210","1145","49590","46040"
"In post","2022","Analysis","London","Female","LGBO","115","110","46780","43730"
"In post","2022","Analysis","London","Female","Undeclared","170","160","49920","53160"
"In post","2022","Analysis","London","Female","Unknown","190","185","45270","41750"
"In post","2022","Analysis","London","Male","Heterosexual / straight","1415","1400","50770","46940"
"In post","2022","Analysis","London","Male","LGBO","150","150","47440","43810"
"In post","2022","Analysis","London","Male","Undeclared","205","200","52170","53200"
"In post","2022","Analysis","London","Male","Unknown","295","290","48050","41750"
"In post","2022","Analysis","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Female","Heterosexual / straight","70","65","42470","36780"
"In post","2022","Analysis","North East (England)","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","North East (England)","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","North East (England)","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","North East (England)","Male","Heterosexual / straight","65","65","38660","35590"
"In post","2022","Analysis","North East (England)","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","North East (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","North East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","Female","Heterosexual / straight","155","145","40630","39830"
"In post","2022","Analysis","North West (England)","Female","LGBO","25","25","[c]","[c]"
"In post","2022","Analysis","North West (England)","Female","Undeclared","20","15","[c]","[c]"
"In post","2022","Analysis","North West (England)","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","North West (England)","Male","Heterosexual / straight","185","180","40150","35900"
"In post","2022","Analysis","North West (England)","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","North West (England)","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","North West (England)","Male","Unknown","45","40","37030","33370"
"In post","2022","Analysis","North West (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","Female","Heterosexual / straight","45","45","44230","41590"
"In post","2022","Analysis","Scotland","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Scotland","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Scotland","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Scotland","Male","Heterosexual / straight","50","45","44690","39040"
"In post","2022","Analysis","Scotland","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Scotland","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Analysis","Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","Female","Heterosexual / straight","285","265","38610","37460"
"In post","2022","Analysis","South East (England)","Female","LGBO","25","25","[c]","[c]"
"In post","2022","Analysis","South East (England)","Female","Undeclared","25","25","[c]","[c]"
"In post","2022","Analysis","South East (England)","Female","Unknown","120","110","37910","38070"
"In post","2022","Analysis","South East (England)","Male","Heterosexual / straight","245","240","39920","38070"
"In post","2022","Analysis","South East (England)","Male","LGBO","25","25","[c]","[c]"
"In post","2022","Analysis","South East (England)","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","South East (England)","Male","Unknown","260","250","42350","42020"
