"Status","Year","Profession_of_post","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","East Derbyshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicester","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicester","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicester","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicester","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicester","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire CC and Rutland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire CC and Rutland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire CC and Rutland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire CC","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","North Northamptonshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","North Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","North Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","North Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","North Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","North Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
