"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","AA","30","25","19540","19200"
"In post","2022","Asian","East Midlands (England)","AO","735","640","21660","21260"
"In post","2022","Asian","East Midlands (England)","EO","605","565","27110","27570"
"In post","2022","Asian","East Midlands (England)","G6","20","20","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","G7","80","75","53950","54690"
"In post","2022","Asian","East Midlands (England)","HEO","265","250","32870","33370"
"In post","2022","Asian","East Midlands (England)","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SEO","120","120","40470","40180"
"In post","2022","Asian","East Midlands (England)","Unknown","80","70","29300","28200"
"In post","2022","Asian","East of England","AA","35","30","20040","19810"
"In post","2022","Asian","East of England","AO","335","285","23340","21680"
"In post","2022","Asian","East of England","EO","450","420","28130","27570"
"In post","2022","Asian","East of England","G6","15","15","[c]","[c]"
"In post","2022","Asian","East of England","G7","55","55","57890","55210"
"In post","2022","Asian","East of England","HEO","130","125","34500","34260"
"In post","2022","Asian","East of England","SCS level","15","10","[c]","[c]"
"In post","2022","Asian","East of England","SEO","90","90","43650","41100"
"In post","2022","Asian","East of England","Unknown","50","45","26920","24800"
"In post","2022","Asian","London","AA","275","240","22670","22460"
"In post","2022","Asian","London","AO","2080","1845","25480","25110"
"In post","2022","Asian","London","EO","4585","4275","29980","30500"
"In post","2022","Asian","London","G6","605","585","69520","67700"
"In post","2022","Asian","London","G7","1945","1900","56910","55860"
"In post","2022","Asian","London","HEO","2935","2860","35820","35200"
"In post","2022","Asian","London","SCS level","230","225","90640","82870"
"In post","2022","Asian","London","SEO","1960","1920","42890","41970"
"In post","2022","Asian","London","Unknown","185","180","32880","32090"
"In post","2022","Asian","North East (England)","AA","5","5","[c]","[c]"
"In post","2022","Asian","North East (England)","AO","215","190","21460","21260"
"In post","2022","Asian","North East (England)","EO","160","150","26710","26820"
"In post","2022","Asian","North East (England)","G6","5","5","[c]","[c]"
"In post","2022","Asian","North East (England)","G7","50","50","53740","54050"
"In post","2022","Asian","North East (England)","HEO","75","75","32960","33080"
"In post","2022","Asian","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","SEO","65","65","40410","40520"
"In post","2022","Asian","North East (England)","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","North West (England)","AA","50","40","19680","19850"
"In post","2022","Asian","North West (England)","AO","1105","980","21360","21260"
"In post","2022","Asian","North West (England)","EO","1020","965","26860","27570"
"In post","2022","Asian","North West (England)","G6","35","35","68780","67910"
"In post","2022","Asian","North West (England)","G7","170","165","53220","53360"
