"Status","Year","Disability","Function_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bristol, City of","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Camden and City of London","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Central Hampshire","Outside London","25","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","City of Edinburgh","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Croydon","London","5","5","[c]","[c]"
