"Status","Year","Ethnicity","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","EO","15","15","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","35","35","36600","34500"
"In post","2022","Asian","Animal and Plant Health Agency","AA/AO","30","30","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","EO","30","30","27770","27960"
"In post","2022","Asian","Animal and Plant Health Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","AA/AO","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","EO","80","75","27480","27500"
"In post","2022","Asian","Cabinet Office (excl. agencies)","G6/G7","195","195","58290","56340"
"In post","2022","Asian","Cabinet Office (excl. agencies)","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","SEO/HEO","195","190","37030","35590"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Companies House","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Companies House","EO","5","5","[c]","[c]"
"In post","2022","Asian","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","AA/AO","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","EO","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G6/G7","45","45","66050","66030"
"In post","2022","Asian","Competition and Markets Authority","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SEO/HEO","40","40","37830","35840"
"In post","2022","Asian","Criminal Injuries Compensation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","EO","5","5","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","AA/AO","20","15","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","EO","10","5","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","SEO/HEO","30","25","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","AA/AO","175","155","22870","23750"
"In post","2022","Asian","Crown Prosecution Service","EO","135","125","27810","27440"
"In post","2022","Asian","Crown Prosecution Service","G6/G7","300","275","56080","53350"
"In post","2022","Asian","Crown Prosecution Service","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","SEO/HEO","90","90","36190","38000"
"In post","2022","Asian","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","EO","105","100","22300","21720"
"In post","2022","Asian","Defence Equipment and Support","G6/G7","35","35","58510","56240"
"In post","2022","Asian","Defence Equipment and Support","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","SEO/HEO","205","195","35100","33560"
"In post","2022","Asian","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","G6/G7","25","25","[c]","[c]"
