"Status","Year","Function_of_post","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Heterosexual / straight","170","160","34160","30220"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Undeclared","30","25","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","265","255","34510","30220"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","Heterosexual / straight","110","100","62060","56360"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Heterosexual / straight","105","100","40600","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","375","355","41430","38700"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","200","195","43490","37470"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Heterosexual / straight","115","115","48560","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","Heterosexual / straight","150","145","44800","44420"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","Unknown","20","15","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","Heterosexual / straight","175","170","45220","43120"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","Unknown","50","50","41150","32730"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Heterosexual / straight","185","180","47430","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","Heterosexual / straight","220","215","48630","53270"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","LGBO","30","30","45540","42910"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","Undeclared","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","Unknown","65","60","43290","38410"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Heterosexual / straight","470","445","43360","37380"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","LGBO","40","35","41840","36300"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Undeclared","40","40","40200","37020"
