"Status","Year","Age","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","London","10","10","25960","27500"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","Outside London","10","10","21050","21050"
"In post","2022","16-19","Crown Prosecution Service","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","Outside London","20","20","21590","22200"
"In post","2022","16-19","Crown Prosecution Service","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Science and Engineering","Outside London","15","15","17490","17450"
"In post","2022","16-19","Defence Equipment and Support","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Finance","Outside London","15","15","19730","19460"
"In post","2022","16-19","Defence Equipment and Support","Other","Outside London","20","20","18390","18030"
"In post","2022","16-19","Defence Equipment and Support","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Science and Engineering","Outside London","60","60","18210","17140"
"In post","2022","16-19","Defence Science and Technology Laboratory","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Science and Engineering","Outside London","15","15","19500","22230"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","London","10","10","25170","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Unknown","London","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","Outside London","85","85","22970","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","Outside London","30","30","22390","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Outside London","10","10","21840","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","Outside London","75","60","19130","18310"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Property","Outside London","15","15","19130","16630"
"In post","2022","16-19","FCDO Services","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","London","5","5","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","Outside London","20","20","20700","20970"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","Other","London","[c]","[c]","[c]","[c]"
