"Status","Year","Age","Parent_department","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East of England","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","London","AA/AO","10","10","21990","21850"
"In post","2022","16-19","Attorney General's Departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","London","EO","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","North West (England)","EO","[c]","[c]","[c]","[c]"
