"Status","Year","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","20","20","42120","35070"
"In post","2022","Analysis","Chancellor's other departments","215","200","67110","59900"
"In post","2022","Analysis","Competition and Markets Authority","140","130","62030","56360"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","385","380","42180","37820"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","150","150","48010","52480"
"In post","2022","Analysis","Department for Education","200","195","44600","43420"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","515","490","33910","30220"
"In post","2022","Analysis","Department for International Trade","255","250","44050","40270"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","230","225","46820","48200"
"In post","2022","Analysis","Department for Transport","400","390","45070","42470"
"In post","2022","Analysis","Department for Work and Pensions","680","640","43040","37380"
"In post","2022","Analysis","Department of Health and Social Care","450","435","50850","53360"
"In post","2022","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","45","45","39940","38430"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","60","55","59570","61400"
"In post","2022","Analysis","HM Land Registry","30","30","44870","38550"
"In post","2022","Analysis","HM Revenue and Customs","800","770","45970","40520"
"In post","2022","Analysis","HM Treasury","60","60","61670","54170"
"In post","2022","Analysis","Ministry of Defence","810","780","40180","38070"
"In post","2022","Analysis","Ministry of Justice","560","540","46530","42010"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","130","125","40410","35010"
"In post","2022","Analysis","Office of Gas and Electricity Markets","175","175","43990","37000"
"In post","2022","Analysis","Office of Rail and Road","45","45","52370","51310"
"In post","2022","Analysis","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","30","30","38790","37710"
"In post","2022","Analysis","UK Export Finance","30","30","49920","44750"
"In post","2022","Analysis","UK Statistics Authority","1980","1895","38130","36840"
