"Status","Year","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Outside London","Female","70","60","31110","30040"
"In post","2022","Accountant in Bankruptcy","Outside London","Male","40","40","35150","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Female","105","95","41120","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Male","85","85","44560","43750"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Female","505","460","30440","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Male","335","315","32290","30950"
"In post","2022","Animal and Plant Health Agency","London","Female","50","50","35890","31800"
"In post","2022","Animal and Plant Health Agency","London","Male","55","55","34790","31800"
"In post","2022","Animal and Plant Health Agency","Outside London","Female","1660","1550","29510","25750"
"In post","2022","Animal and Plant Health Agency","Outside London","Male","1115","1080","31660","28270"
"In post","2022","Animal and Plant Health Agency","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","London","Female","30","25","[c]","[c]"
"In post","2022","Attorney General's Office","London","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","Female","3410","3345","47450","40600"
"In post","2022","Cabinet Office (excl. agencies)","London","Male","3010","3000","53140","54700"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","Female","1680","1600","40490","33300"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","Male","1350","1330","45290","35980"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Female","245","240","36570","32000"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Male","230","230","38310","32000"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","315","290","32110","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","335","325","36010","30660"
"In post","2022","Charity Commission","London","Female","55","50","43990","37910"
"In post","2022","Charity Commission","London","Male","30","30","[c]","[c]"
"In post","2022","Charity Commission","Outside London","Female","230","215","31700","29160"
"In post","2022","Charity Commission","Outside London","Male","155","150","32060","29160"
"In post","2022","Companies House","London","Female","[c]","[c]","[c]","[c]"
