"Status","Year","Ethnicity","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","AO","5","5","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","EO","10","10","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","AA","15","15","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","AO","15","15","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","EO","10","10","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","AO","20","15","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","EO","135","125","30940","31060"
"In post","2022","Asian","Barking & Dagenham and Havering","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Barnet","AA","20","10","[c]","[c]"
"In post","2022","Asian","Barnet","AO","65","60","24490","23960"
"In post","2022","Asian","Barnet","EO","135","120","29660","31060"
"In post","2022","Asian","Barnet","G6","15","15","[c]","[c]"
"In post","2022","Asian","Barnet","G7","45","45","58370","56650"
"In post","2022","Asian","Barnet","HEO","80","80","34770","33950"
"In post","2022","Asian","Barnet","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Barnet","SEO","70","70","42350","40750"
"In post","2022","Asian","Barnet","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","AO","5","5","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","EO","20","15","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","10","10","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","80","75","24390","25000"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","G6","10","10","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","G7","30","30","53320","54540"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","125","120","31330","31980"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO","95","95","41250","41090"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","45","45","38670","36260"
"In post","2022","Asian","Bedford","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedford","AO","20","20","[c]","[c]"
"In post","2022","Asian","Bedford","EO","40","35","27170","27570"
"In post","2022","Asian","Bedford","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedford","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedford","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedford","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Bedford","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Belfast","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Belfast","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire","AA","10","10","[c]","[c]"
"In post","2022","Asian","Berkshire","AO","80","70","24540","23230"
"In post","2022","Asian","Berkshire","EO","145","135","29500","29290"
"In post","2022","Asian","Berkshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire","G7","15","10","[c]","[c]"
"In post","2022","Asian","Berkshire","HEO","30","30","36340","35200"
"In post","2022","Asian","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Berkshire","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Bexley and Greenwich","AA","10","10","[c]","[c]"
"In post","2022","Asian","Bexley and Greenwich","AO","35","30","28210","27800"
"In post","2022","Asian","Bexley and Greenwich","EO","50","45","31060","31060"
"In post","2022","Asian","Bexley and Greenwich","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bexley and Greenwich","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bexley and Greenwich","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Bexley and Greenwich","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bexley and Greenwich","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Bexley and Greenwich","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Birmingham","AA","50","40","19710","19200"
"In post","2022","Asian","Birmingham","AO","1045","940","21330","21250"
"In post","2022","Asian","Birmingham","EO","1005","950","26820","27570"
"In post","2022","Asian","Birmingham","G6","20","20","[c]","[c]"
"In post","2022","Asian","Birmingham","G7","125","120","52480","52370"
"In post","2022","Asian","Birmingham","HEO","475","465","33160","33080"
"In post","2022","Asian","Birmingham","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Birmingham","SEO","225","215","40310","40180"
"In post","2022","Asian","Birmingham","Unknown","90","90","27010","24090"
"In post","2022","Asian","Blackburn with Darwen","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackburn with Darwen","AO","45","35","21090","21260"
"In post","2022","Asian","Blackburn with Darwen","EO","65","60","27570","27570"
"In post","2022","Asian","Blackburn with Darwen","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackburn with Darwen","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackburn with Darwen","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackburn with Darwen","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackburn with Darwen","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackburn with Darwen","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Blackpool","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackpool","AO","30","30","21260","21260"
"In post","2022","Asian","Blackpool","EO","60","60","27570","27570"
"In post","2022","Asian","Blackpool","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackpool","G7","5","5","[c]","[c]"
"In post","2022","Asian","Blackpool","HEO","15","15","[c]","[c]"
"In post","2022","Asian","Blackpool","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackpool","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","EO","5","5","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bradford","AA","5","5","[c]","[c]"
"In post","2022","Asian","Bradford","AO","470","405","21200","21250"
"In post","2022","Asian","Bradford","EO","260","240","27240","27570"
"In post","2022","Asian","Bradford","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bradford","G7","5","5","[c]","[c]"
"In post","2022","Asian","Bradford","HEO","45","45","32450","33370"
"In post","2022","Asian","Bradford","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bradford","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Bradford","Unknown","30","30","29280","28200"
"In post","2022","Asian","Breckland and South Norfolk","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Breckland and South Norfolk","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Breckland and South Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Breckland and South Norfolk","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Breckland and South Norfolk","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Breckland and South Norfolk","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Breckland and South Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brent","AA","5","5","[c]","[c]"
"In post","2022","Asian","Brent","AO","30","25","24590","24310"
"In post","2022","Asian","Brent","EO","80","70","30990","31060"
"In post","2022","Asian","Brent","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brent","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brent","HEO","15","15","[c]","[c]"
"In post","2022","Asian","Brent","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Brent","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Bridgend and Neath Port Talbot","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bridgend and Neath Port Talbot","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bridgend and Neath Port Talbot","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bridgend and Neath Port Talbot","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bridgend and Neath Port Talbot","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bridgend and Neath Port Talbot","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","AO","5","5","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","EO","10","5","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bristol, City of","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bristol, City of","AO","50","45","21730","21260"
"In post","2022","Asian","Bristol, City of","EO","55","50","26660","26820"
"In post","2022","Asian","Bristol, City of","G6","5","5","[c]","[c]"
"In post","2022","Asian","Bristol, City of","G7","25","25","[c]","[c]"
"In post","2022","Asian","Bristol, City of","HEO","40","35","32750","33080"
"In post","2022","Asian","Bristol, City of","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Bristol, City of","SEO","25","25","[c]","[c]"
"In post","2022","Asian","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bromley","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bromley","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bromley","EO","15","15","[c]","[c]"
"In post","2022","Asian","Bromley","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bromley","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bromley","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bromley","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bromley","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Buckinghamshire","AA","5","5","[c]","[c]"
"In post","2022","Asian","Buckinghamshire","AO","25","25","[c]","[c]"
"In post","2022","Asian","Buckinghamshire","EO","40","35","27850","27570"
"In post","2022","Asian","Buckinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Buckinghamshire","G7","5","5","[c]","[c]"
"In post","2022","Asian","Buckinghamshire","HEO","15","15","[c]","[c]"
"In post","2022","Asian","Buckinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Buckinghamshire","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Buckinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Caithness and Sutherland, and Ross and Cromarty","AA","[c]","[c]","[c]","[c]"
