"Status","Year","Age","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","10","10","[c]","[c]"
"In post","2022","16-19","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs (excl. agencies)","10","10","23410","21250"
"In post","2022","16-19","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","10","10","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","15","15","24050","21250"
"In post","2022","16-19","Debt","Department for Work and Pensions (excl. agencies)","5","5","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","40","40","21250","21250"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Met Office","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
