"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","EO","30","30","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","SEO/HEO","30","30","36820","37910"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","AA/AO","45","45","27070","28250"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","EO","95","95","30220","30500"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","G6/G7","130","125","59180","57420"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","SEO/HEO","190","185","37820","37560"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","HM Land Registry","AA/AO","80","75","23100","22600"
"In post","2022","Asian","HM Land Registry","EO","80","70","27770","27130"
"In post","2022","Asian","HM Land Registry","G6/G7","15","15","[c]","[c]"
"In post","2022","Asian","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","SEO/HEO","55","50","37440","37290"
"In post","2022","Asian","HM Revenue and Customs","AA/AO","1650","1460","21970","21250"
"In post","2022","Asian","HM Revenue and Customs","EO","1465","1400","28020","26820"
"In post","2022","Asian","HM Revenue and Customs","G6/G7","555","550","60330","60940"
"In post","2022","Asian","HM Revenue and Customs","SCS level","25","25","[c]","[c]"
"In post","2022","Asian","HM Revenue and Customs","SEO/HEO","2155","2105","36750","36990"
"In post","2022","Asian","HM Treasury","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","HM Treasury","EO","35","35","26820","26850"
"In post","2022","Asian","HM Treasury","G6/G7","115","110","59710","57530"
"In post","2022","Asian","HM Treasury","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","HM Treasury","SEO/HEO","150","145","37460","36580"
"In post","2022","Asian","Home Office","AA/AO","1090","950","23520","22460"
"In post","2022","Asian","Home Office","EO","1820","1690","27960","28670"
"In post","2022","Asian","Home Office","G6/G7","315","310","60980","57680"
"In post","2022","Asian","Home Office","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Home Office","SEO/HEO","1220","1185","37400","35200"
"In post","2022","Asian","Home Office","Unknown","35","35","[c]","[c]"
"In post","2022","Asian","Ministry of Defence","AA/AO","355","340","23270","21810"
"In post","2022","Asian","Ministry of Defence","EO","280","270","26280","26670"
"In post","2022","Asian","Ministry of Defence","G6/G7","150","140","63110","59060"
"In post","2022","Asian","Ministry of Defence","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Ministry of Defence","SEO/HEO","600","590","38030","37640"
"In post","2022","Asian","Ministry of Defence","Unknown","55","50","37860","34890"
"In post","2022","Asian","Ministry of Justice","AA/AO","1945","1765","23470","21490"
"In post","2022","Asian","Ministry of Justice","EO","595","575","27610","28310"
"In post","2022","Asian","Ministry of Justice","G6/G7","205","200","59410","58130"
"In post","2022","Asian","Ministry of Justice","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Ministry of Justice","SEO/HEO","945","890","38510","36480"
"In post","2022","Asian","Ministry of Justice","Unknown","745","695","29360","27980"
"In post","2022","Asian","National Crime Agency","AA/AO","30","30","23960","24470"
"In post","2022","Asian","National Crime Agency","EO","125","120","33890","32770"
"In post","2022","Asian","National Crime Agency","G6/G7","15","15","[c]","[c]"
"In post","2022","Asian","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","SEO/HEO","110","105","43180","40210"
"In post","2022","Asian","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","AA/AO","20","15","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","EO","10","10","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","G6/G7","15","15","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","SEO/HEO","55","55","40020","39850"
"In post","2022","Asian","Office of Gas and Electricity Markets","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","EO","45","45","26540","25750"
"In post","2022","Asian","Office of Gas and Electricity Markets","G6/G7","45","45","60600","58730"
"In post","2022","Asian","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","SEO/HEO","45","45","36980","36280"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","SEO/HEO","20","15","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Government","AA/AO","80","75","23090","23230"
"In post","2022","Asian","Scottish Government","EO","55","50","28690","27580"
"In post","2022","Asian","Scottish Government","G6/G7","35","35","60760","62170"
"In post","2022","Asian","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Government","SEO/HEO","125","125","39390","39660"
"In post","2022","Asian","The National Archives","AA/AO","15","10","[c]","[c]"
"In post","2022","Asian","The National Archives","EO","5","5","[c]","[c]"
"In post","2022","Asian","The National Archives","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Asian","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","EO","20","20","[c]","[c]"
"In post","2022","Asian","UK Export Finance","G6/G7","25","25","[c]","[c]"
"In post","2022","Asian","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","SEO/HEO","40","40","40850","41000"
"In post","2022","Asian","UK Statistics Authority","AA/AO","55","40","21260","19860"
"In post","2022","Asian","UK Statistics Authority","EO","20","20","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","G6/G7","30","30","53880","51210"
"In post","2022","Asian","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","SEO/HEO","80","80","34080","33490"
"In post","2022","Asian","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","EO","10","10","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Asian","Welsh Government","AA/AO","15","15","[c]","[c]"
"In post","2022","Asian","Welsh Government","EO","10","10","[c]","[c]"
"In post","2022","Asian","Welsh Government","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Welsh Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Government","SEO/HEO","35","30","41260","38160"
"In post","2022","Black","Attorney General's Departments","AA/AO","120","110","23320","23770"
"In post","2022","Black","Attorney General's Departments","EO","155","150","28190","27580"
"In post","2022","Black","Attorney General's Departments","G6/G7","215","210","58210","56560"
"In post","2022","Black","Attorney General's Departments","SCS level","10","10","[c]","[c]"
"In post","2022","Black","Attorney General's Departments","SEO/HEO","100","95","36480","35160"
"In post","2022","Black","Cabinet Office","AA/AO","20","20","[c]","[c]"
"In post","2022","Black","Cabinet Office","EO","55","55","27600","27500"
"In post","2022","Black","Cabinet Office","G6/G7","80","75","57830","54700"
"In post","2022","Black","Cabinet Office","SCS level","10","10","[c]","[c]"
"In post","2022","Black","Cabinet Office","SEO/HEO","120","120","37520","37300"
"In post","2022","Black","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Chancellor's other departments","G6/G7","5","5","[c]","[c]"
