"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","EO","15","15","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","G6/G7","15","15","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Scottish Government","AA/AO","30","25","[c]","[c]"
"In post","2022","Mixed","Scottish Government","EO","30","25","[c]","[c]"
"In post","2022","Mixed","Scottish Government","G6/G7","30","30","63120","62170"
"In post","2022","Mixed","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Scottish Government","SEO/HEO","65","60","38950","36450"
"In post","2022","Mixed","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","The National Archives","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","EO","5","5","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","AA/AO","20","15","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","EO","10","10","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","G6/G7","20","20","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","SEO/HEO","45","40","34590","33870"
"In post","2022","Mixed","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Welsh Government","AA/AO","10","10","[c]","[c]"
"In post","2022","Mixed","Welsh Government","EO","15","15","[c]","[c]"
"In post","2022","Mixed","Welsh Government","G6/G7","15","15","[c]","[c]"
"In post","2022","Mixed","Welsh Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Welsh Government","SEO/HEO","25","20","[c]","[c]"
"In post","2022","Other ethnicity","Attorney General's Departments","AA/AO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Attorney General's Departments","EO","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Attorney General's Departments","G6/G7","45","45","58440","55610"
"In post","2022","Other ethnicity","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Attorney General's Departments","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office","EO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office","G6/G7","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office","SEO/HEO","30","30","37490","36570"
"In post","2022","Other ethnicity","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Chancellor's other departments","G6/G7","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Competition and Markets Authority","G6/G7","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy","AA/AO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy","G6/G7","45","45","57610","53660"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy","SEO/HEO","55","50","37370","39650"
"In post","2022","Other ethnicity","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for Digital, Culture, Media and Sport","G6/G7","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Digital, Culture, Media and Sport","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Education","EO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Education","G6/G7","30","25","[c]","[c]"
"In post","2022","Other ethnicity","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Education","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","AA/AO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","EO","15","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","G6/G7","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","SEO/HEO","30","30","36080","35900"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","G6/G7","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","EO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","G6/G7","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","SEO/HEO","25","20","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","AA/AO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","EO","25","20","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","G6/G7","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Department for Work and Pensions","AA/AO","130","115","22100","21260"
"In post","2022","Other ethnicity","Department for Work and Pensions","EO","285","265","29310","29290"
"In post","2022","Other ethnicity","Department for Work and Pensions","G6/G7","20","15","[c]","[c]"
"In post","2022","Other ethnicity","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Work and Pensions","SEO/HEO","60","55","38380","36650"
"In post","2022","Other ethnicity","Department of Health and Social Care","AA/AO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department of Health and Social Care","EO","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Department of Health and Social Care","G6/G7","40","40","60240","55350"
"In post","2022","Other ethnicity","Department of Health and Social Care","SCS level","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Department of Health and Social Care","SEO/HEO","50","45","36810","36330"
"In post","2022","Other ethnicity","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Foreign, Commonwealth and Development Office","AA/AO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Foreign, Commonwealth and Development Office","EO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Foreign, Commonwealth and Development Office","G6/G7","30","30","60370","58030"
"In post","2022","Other ethnicity","Foreign, Commonwealth and Development Office","SCS level","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Foreign, Commonwealth and Development Office","SEO/HEO","40","40","37570","36360"
"In post","2022","Other ethnicity","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","HM Land Registry","EO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","HM Land Registry","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","HM Revenue and Customs","AA/AO","55","50","22150","21250"
"In post","2022","Other ethnicity","HM Revenue and Customs","EO","65","60","28700","27570"
"In post","2022","Other ethnicity","HM Revenue and Customs","G6/G7","35","35","61520","62120"
"In post","2022","Other ethnicity","HM Revenue and Customs","SCS level","5","5","[c]","[c]"
"In post","2022","Other ethnicity","HM Revenue and Customs","SEO/HEO","105","100","37500","37610"
"In post","2022","Other ethnicity","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","HM Treasury","EO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","HM Treasury","G6/G7","10","5","[c]","[c]"
"In post","2022","Other ethnicity","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","HM Treasury","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Home Office","AA/AO","35","30","23690","22460"
"In post","2022","Other ethnicity","Home Office","EO","105","95","27620","28650"
"In post","2022","Other ethnicity","Home Office","G6/G7","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Home Office","SEO/HEO","45","45","37640","35200"
"In post","2022","Other ethnicity","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Defence","AA/AO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Defence","EO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Defence","G6/G7","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Defence","SEO/HEO","45","45","34740","34000"
"In post","2022","Other ethnicity","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Justice","AA/AO","230","215","26080","24660"
"In post","2022","Other ethnicity","Ministry of Justice","EO","65","60","29050","28310"
"In post","2022","Other ethnicity","Ministry of Justice","G6/G7","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Justice","SEO/HEO","85","85","41880","41750"
"In post","2022","Other ethnicity","Ministry of Justice","Unknown","105","100","31230","29160"
"In post","2022","Other ethnicity","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Crime Agency","EO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Crime Agency","SEO/HEO","20","15","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Standards in Education, Children's Services and Skills","EO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Office for Standards in Education, Children's Services and Skills","G6/G7","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Standards in Education, Children's Services and Skills","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Gas and Electricity Markets","G6/G7","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Gas and Electricity Markets","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Government","AA/AO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Government","EO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Government","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Other ethnicity","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The National Archives","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Export Finance","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Welsh Government","EO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Welsh Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Welsh Government","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","AA/AO","30","25","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","EO","35","35","28280","28430"
"In post","2022","Undeclared","Attorney General's Departments","G6/G7","115","105","59580","56890"
"In post","2022","Undeclared","Attorney General's Departments","SCS level","10","10","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","SEO/HEO","30","30","36850","38000"
"In post","2022","Undeclared","Cabinet Office","AA/AO","15","15","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","EO","30","25","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","G6/G7","105","100","58350","56760"
"In post","2022","Undeclared","Cabinet Office","SCS level","15","15","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","SEO/HEO","110","110","36410","35350"
"In post","2022","Undeclared","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","G6/G7","15","15","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","G6/G7","20","20","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","AA/AO","45","40","22410","22740"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","EO","70","65","27170","26380"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","G6/G7","210","200","58910","57620"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","SCS level","15","15","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","SEO/HEO","280","270","39110","39580"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","EO","10","5","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","G6/G7","25","25","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Undeclared","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education","EO","20","20","[c]","[c]"
"In post","2022","Undeclared","Department for Education","G6/G7","115","115","56540","54230"
"In post","2022","Undeclared","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education","SEO/HEO","145","140","35880","36500"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","AA/AO","65","60","21610","21300"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","EO","105","100","26570","25810"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","G6/G7","105","105","53710","52290"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","SCS level","5","5","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","SEO/HEO","210","205","34750","35760"
"In post","2022","Undeclared","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","G6/G7","35","35","54990","53750"
