"Status","Year","Organisation","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","AA/AO","AA","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","EO","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SEO/HEO","HEO","25","25","34650","36130"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Glasgow City","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","EO","EO","25","20","24730","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","SEO/HEO","HEO","35","35","32220","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","SEO/HEO","SEO","15","15","40550","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bournemouth, Christchurch and Poole","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","EO","EO","10","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","SEO/HEO","HEO","25","25","31880","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","EO","EO","30","30","24770","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","SEO/HEO","HEO","35","35","31940","30990"
