"Status","Year","Disability","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Counter Fraud","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Knowledge and Information Management","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Legal","Heterosexual / straight","390","360","56430","55610"
"In post","2022","Declared disabled","Attorney General's Departments","Legal","LGBO","50","45","57370","54910"
"In post","2022","Declared disabled","Attorney General's Departments","Legal","Undeclared","35","30","59320","56130"
"In post","2022","Declared disabled","Attorney General's Departments","Legal","Unknown","60","50","56220","55610"
"In post","2022","Declared disabled","Attorney General's Departments","Operational Delivery","Heterosexual / straight","270","245","27980","25480"
"In post","2022","Declared disabled","Attorney General's Departments","Operational Delivery","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Operational Delivery","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Operational Delivery","Unknown","35","35","26540","26720"
"In post","2022","Declared disabled","Attorney General's Departments","Other","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Other","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Policy","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Property","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Commercial","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Digital, Data and Technology","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Human Resources","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Operational Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
