"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","EO","Female","15","15","[c]","[c]"
"In post","2022","16-19","Economics","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Finance","EO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Finance","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","AA/AO","Female","335","320","21610","21250"
"In post","2022","16-19","Operational Delivery","AA/AO","Male","260","245","21500","21250"
"In post","2022","16-19","Operational Delivery","EO","Female","35","35","26670","27570"
"In post","2022","16-19","Operational Delivery","EO","Male","25","25","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","AA/AO","Female","25","25","[c]","[c]"
"In post","2022","16-19","Other","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Other","EO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Other","EO","Male","20","20","[c]","[c]"
"In post","2022","16-19","Other","Unknown","Female","10","10","[c]","[c]"
"In post","2022","16-19","Other","Unknown","Male","25","25","[c]","[c]"
"In post","2022","16-19","Policy","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Policy","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Policy","EO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Policy","EO","Male","25","25","[c]","[c]"
"In post","2022","16-19","Policy","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","EO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Unknown","Male","10","10","[c]","[c]"
"In post","2022","16-19","Science and Engineering","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Science and Engineering","AA/AO","Male","30","30","[c]","[c]"
"In post","2022","16-19","Science and Engineering","EO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Science and Engineering","EO","Male","55","55","18120","17140"
"In post","2022","16-19","Science and Engineering","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Unknown","Male","15","15","[c]","[c]"
"In post","2022","16-19","Security","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","AA/AO","Female","30","30","21250","21250"
"In post","2022","16-19","Tax","AA/AO","Male","25","25","[c]","[c]"
"In post","2022","16-19","Tax","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Female","35","35","21710","21050"
"In post","2022","16-19","Unknown","AA/AO","Male","40","35","21750","21150"
"In post","2022","16-19","Unknown","EO","Female","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Veterinarian","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Veterinarian","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","AA/AO","Female","30","30","[c]","[c]"
"In post","2022","20-29","Commercial","AA/AO","Male","40","40","21460","21260"
"In post","2022","20-29","Commercial","EO","Female","180","175","25700","26350"
"In post","2022","20-29","Commercial","EO","Male","125","125","25390","26070"
"In post","2022","20-29","Commercial","G6/G7","Female","40","40","53410","53360"
"In post","2022","20-29","Commercial","G6/G7","Male","30","30","56480","53360"
"In post","2022","20-29","Commercial","SEO/HEO","Female","320","320","34410","34500"
"In post","2022","20-29","Commercial","SEO/HEO","Male","260","260","34890","34710"
"In post","2022","20-29","Commercial","Unknown","Female","15","15","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","Male","15","15","[c]","[c]"
"In post","2022","20-29","Communications","AA/AO","Female","45","40","22580","21930"
"In post","2022","20-29","Communications","AA/AO","Male","25","25","[c]","[c]"
"In post","2022","20-29","Communications","EO","Female","135","135","27380","27270"
"In post","2022","20-29","Communications","EO","Male","70","70","27140","27270"
"In post","2022","20-29","Communications","G6/G7","Female","60","60","55050","53360"
"In post","2022","20-29","Communications","G6/G7","Male","35","35","56900","54070"
"In post","2022","20-29","Communications","SEO/HEO","Female","360","360","36160","35120"
"In post","2022","20-29","Communications","SEO/HEO","Male","165","165","36990","36380"
"In post","2022","20-29","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2022","20-29","Corporate Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","AA/AO","Female","95","90","23020","24230"
"In post","2022","20-29","Counter Fraud","AA/AO","Male","95","95","22740","21260"
"In post","2022","20-29","Counter Fraud","EO","Female","230","225","27830","27570"
"In post","2022","20-29","Counter Fraud","EO","Male","130","130","27830","27570"
"In post","2022","20-29","Counter Fraud","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","SEO/HEO","Female","50","50","33280","31990"
"In post","2022","20-29","Counter Fraud","SEO/HEO","Male","40","40","34850","33410"
"In post","2022","20-29","Digital, Data and Technology","AA/AO","Female","60","60","21360","21250"
"In post","2022","20-29","Digital, Data and Technology","AA/AO","Male","120","120","21140","21210"
"In post","2022","20-29","Digital, Data and Technology","EO","Female","285","285","27020","26820"
"In post","2022","20-29","Digital, Data and Technology","EO","Male","620","615","27170","26820"
"In post","2022","20-29","Digital, Data and Technology","G6/G7","Female","90","90","54450","53420"
"In post","2022","20-29","Digital, Data and Technology","G6/G7","Male","160","160","54660","53420"
"In post","2022","20-29","Digital, Data and Technology","SEO/HEO","Female","605","600","36010","35050"
"In post","2022","20-29","Digital, Data and Technology","SEO/HEO","Male","985","985","36030","35050"
"In post","2022","20-29","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","AA/AO","Female","25","25","[c]","[c]"
"In post","2022","20-29","Economics","AA/AO","Male","45","45","21680","19860"
"In post","2022","20-29","Economics","EO","Female","50","50","26940","27270"
"In post","2022","20-29","Economics","EO","Male","55","55","26950","27340"
"In post","2022","20-29","Economics","G6/G7","Female","95","95","54890","53530"
"In post","2022","20-29","Economics","G6/G7","Male","175","175","55940","54760"
"In post","2022","20-29","Economics","SEO/HEO","Female","240","240","35010","33880"
"In post","2022","20-29","Economics","SEO/HEO","Male","485","485","34890","33880"
"In post","2022","20-29","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","AA/AO","Female","95","90","21910","21250"
"In post","2022","20-29","Finance","AA/AO","Male","80","75","21970","21250"
"In post","2022","20-29","Finance","EO","Female","275","270","25900","26350"
"In post","2022","20-29","Finance","EO","Male","235","235","25680","26130"
"In post","2022","20-29","Finance","G6/G7","Female","90","90","54060","53380"
"In post","2022","20-29","Finance","G6/G7","Male","85","85","56370","54670"
"In post","2022","20-29","Finance","SEO/HEO","Female","365","365","35400","33370"
"In post","2022","20-29","Finance","SEO/HEO","Male","375","370","35710","35050"
"In post","2022","20-29","Finance","Unknown","Female","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","Male","10","10","[c]","[c]"
"In post","2022","20-29","Geography","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","20-29","Geography","AA/AO","Male","30","30","20450","20420"
"In post","2022","20-29","Geography","EO","Female","15","15","[c]","[c]"
"In post","2022","20-29","Geography","EO","Male","30","30","[c]","[c]"
"In post","2022","20-29","Geography","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Geography","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2022","20-29","Human Resources","AA/AO","Female","160","155","21870","21250"
"In post","2022","20-29","Human Resources","AA/AO","Male","75","75","21760","21250"
"In post","2022","20-29","Human Resources","EO","Female","270","265","26540","26670"
"In post","2022","20-29","Human Resources","EO","Male","105","100","26760","26820"
"In post","2022","20-29","Human Resources","G6/G7","Female","95","95","54850","53360"
"In post","2022","20-29","Human Resources","G6/G7","Male","40","40","54420","53360"
"In post","2022","20-29","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SEO/HEO","Female","450","450","33510","32790"
"In post","2022","20-29","Human Resources","SEO/HEO","Male","150","150","34840","33370"
"In post","2022","20-29","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","EO","Female","150","145","27230","26590"
"In post","2022","20-29","Intelligence Analysis","EO","Male","125","125","27520","27520"
"In post","2022","20-29","Intelligence Analysis","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","SEO/HEO","Female","95","95","35280","34880"
"In post","2022","20-29","Intelligence Analysis","SEO/HEO","Male","110","110","36910","37000"
"In post","2022","20-29","Intelligence Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","EO","Male","5","5","[c]","[c]"
