"Status","Year","Region_ITL1","Region_ITL3","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","Derby","Female","Heterosexual / straight","480","420","26510","25080"
"In post","2022","East Midlands (England)","Derby","Female","LGBO","25","25","[c]","[c]"
"In post","2022","East Midlands (England)","Derby","Female","Undeclared","60","50","24800","21260"
"In post","2022","East Midlands (England)","Derby","Female","Unknown","160","130","24530","21260"
"In post","2022","East Midlands (England)","Derby","Male","Heterosexual / straight","240","230","30080","27570"
"In post","2022","East Midlands (England)","Derby","Male","LGBO","15","15","[c]","[c]"
"In post","2022","East Midlands (England)","Derby","Male","Undeclared","35","35","33660","27570"
"In post","2022","East Midlands (England)","Derby","Male","Unknown","100","100","27500","26310"
"In post","2022","East Midlands (England)","Derby","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Derby","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","Female","Heterosexual / straight","215","180","27020","27570"
"In post","2022","East Midlands (England)","East Derbyshire","Female","LGBO","10","5","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","Female","Unknown","45","35","28290","27570"
"In post","2022","East Midlands (England)","East Derbyshire","Male","Heterosexual / straight","85","80","31880","27570"
"In post","2022","East Midlands (England)","East Derbyshire","Male","LGBO","15","10","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","Male","Undeclared","15","10","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","Male","Unknown","20","20","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Leicester","Female","Heterosexual / straight","1065","945","27810","25120"
"In post","2022","East Midlands (England)","Leicester","Female","LGBO","50","50","28740","26260"
"In post","2022","East Midlands (England)","Leicester","Female","Undeclared","130","115","27150","25120"
"In post","2022","East Midlands (England)","Leicester","Female","Unknown","330","280","25970","24390"
"In post","2022","East Midlands (England)","Leicester","Male","Heterosexual / straight","660","635","28430","27130"
"In post","2022","East Midlands (England)","Leicester","Male","LGBO","45","40","27330","27570"
"In post","2022","East Midlands (England)","Leicester","Male","Undeclared","105","100","28740","27130"
"In post","2022","East Midlands (England)","Leicester","Male","Unknown","230","220","26580","25120"
"In post","2022","East Midlands (England)","Leicester","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Leicester","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Female","Heterosexual / straight","740","665","28520","26610"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Female","LGBO","60","55","27670","25830"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Female","Undeclared","100","85","29330","27200"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Female","Unknown","155","135","26860","23960"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Male","Heterosexual / straight","685","665","31680","27570"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Male","LGBO","25","25","[c]","[c]"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Male","Undeclared","95","90","33640","30750"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Male","Unknown","135","125","28500","27120"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Unknown","LGBO","[c]","[c]","[c]","[c]"
