"Status","Year","Age","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","East Midlands (England)","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","AO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","East of England","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","16-19","East of England","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","AO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","East of England","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","AA","Undeclared","5","0","[c]","[c]"
"In post","2022","16-19","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","AO","Heterosexual / straight","35","35","23700","24080"
"In post","2022","16-19","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","AO","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","London","EO","Heterosexual / straight","45","45","26520","26950"
"In post","2022","16-19","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","London","EO","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","London","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","AA","Unknown","[c]","[c]","[c]","[c]"
