"Status","Year","Function_of_post","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Heterosexual / straight","170","160","34160","30220"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Unknown","265","255","34510","30220"
"In post","2022","Analysis","Companies House","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Companies House","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Heterosexual / straight","100","95","62330","56360"
"In post","2022","Analysis","Competition and Markets Authority","London","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","Heterosexual / straight","105","100","40600","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","Unknown","375","355","41430","38700"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Heterosexual / straight","190","185","43810","37470"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Undeclared","20","20","[c]","[c]"
