"Status","Year","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","630","615","42880","38380"
"In post","2022","Asian","Commercial","295","290","42320","39020"
"In post","2022","Asian","Communications","710","695","32190","26820"
"In post","2022","Asian","Counter Fraud","1355","1260","31000","28920"
"In post","2022","Asian","Debt","765","665","23540","21260"
"In post","2022","Asian","Digital, Data & Technology","1400","1385","41910","37930"
"In post","2022","Asian","Finance","1140","1105","38880","36050"
"In post","2022","Asian","Grants Management","40","35","24480","21300"
"In post","2022","Asian","Human Resources","670","645","36970","33370"
"In post","2022","Asian","Internal Audit","90","85","46890","43760"
"In post","2022","Asian","Legal","1180","1105","43820","48080"
"In post","2022","Asian","No function","17945","16680","31500","27570"
"In post","2022","Asian","Project Delivery","1255","1210","41990","38600"
"In post","2022","Asian","Property","465","445","36090","31900"
"In post","2022","Asian","Security","320","310","33580","31090"
"In post","2022","Asian","Unknown","5395","5050","32550","28990"
"In post","2022","Black","Analysis","215","215","39280","37770"
"In post","2022","Black","Commercial","165","165","40120","36530"
"In post","2022","Black","Communications","245","240","32740","28920"
"In post","2022","Black","Counter Fraud","620","580","31030","31020"
"In post","2022","Black","Debt","210","195","25220","25110"
"In post","2022","Black","Digital, Data & Technology","640","635","39560","36500"
"In post","2022","Black","Finance","445","435","39200","36650"
"In post","2022","Black","Grants Management","10","10","[c]","[c]"
"In post","2022","Black","Human Resources","375","370","36580","34260"
"In post","2022","Black","Internal Audit","35","35","43030","40480"
"In post","2022","Black","Legal","645","620","41420","35010"
"In post","2022","Black","No function","10225","9805","31660","30450"
"In post","2022","Black","Project Delivery","685","670","39690","37870"
"In post","2022","Black","Property","205","195","37720","34260"
"In post","2022","Black","Security","135","135","32770","30580"
"In post","2022","Black","Unknown","2225","2110","33480","29250"
"In post","2022","Mixed","Analysis","220","210","43080","38340"
"In post","2022","Mixed","Commercial","95","90","39200","36270"
"In post","2022","Mixed","Communications","195","190","38000","33370"
"In post","2022","Mixed","Counter Fraud","260","245","32880","30750"
"In post","2022","Mixed","Debt","85","75","23030","21260"
"In post","2022","Mixed","Digital, Data & Technology","350","345","41860","39720"
"In post","2022","Mixed","Finance","205","195","40770","36970"
"In post","2022","Mixed","Grants Management","15","15","[c]","[c]"
"In post","2022","Mixed","Human Resources","250","245","40340","35700"
"In post","2022","Mixed","Internal Audit","15","10","[c]","[c]"
"In post","2022","Mixed","Legal","325","300","48210","50500"
"In post","2022","Mixed","No function","5350","5090","33420","29530"
"In post","2022","Mixed","Project Delivery","440","430","42360","38600"
"In post","2022","Mixed","Property","110","105","36870","33330"
"In post","2022","Mixed","Security","130","125","37160","34640"
"In post","2022","Mixed","Unknown","1135","1075","36150","30830"
"In post","2022","Other ethnicity","Analysis","55","55","49710","43810"
"In post","2022","Other ethnicity","Commercial","35","35","42010","40520"
"In post","2022","Other ethnicity","Communications","40","35","36290","32660"
"In post","2022","Other ethnicity","Counter Fraud","70","65","32450","31000"
"In post","2022","Other ethnicity","Debt","40","35","23930","21260"
"In post","2022","Other ethnicity","Digital, Data & Technology","125","120","45020","39650"
"In post","2022","Other ethnicity","Finance","60","60","40780","40190"
"In post","2022","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","60","55","35850","31020"
"In post","2022","Other ethnicity","Internal Audit","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Legal","115","110","47980","50500"
"In post","2022","Other ethnicity","No function","1585","1510","34940","31060"
"In post","2022","Other ethnicity","Project Delivery","120","115","44350","42290"
"In post","2022","Other ethnicity","Property","30","30","42010","33370"
"In post","2022","Other ethnicity","Security","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","285","270","34170","29250"
"In post","2022","Undeclared","Analysis","240","230","45700","42780"
"In post","2022","Undeclared","Commercial","210","205","42840","40000"
"In post","2022","Undeclared","Communications","190","185","35600","33300"
"In post","2022","Undeclared","Counter Fraud","960","880","33700","31060"
"In post","2022","Undeclared","Debt","240","210","23940","21690"
"In post","2022","Undeclared","Digital, Data & Technology","1155","1125","41530","38650"
"In post","2022","Undeclared","Finance","515","485","38650","35310"
"In post","2022","Undeclared","Grants Management","85","80","27590","26370"
"In post","2022","Undeclared","Human Resources","355","335","36320","33180"
"In post","2022","Undeclared","Internal Audit","35","35","47580","43560"
"In post","2022","Undeclared","Legal","345","325","49380","52040"
"In post","2022","Undeclared","No function","9955","9150","32980","28880"
"In post","2022","Undeclared","Project Delivery","1275","1225","42330","40520"
"In post","2022","Undeclared","Property","705","655","37400","33370"
"In post","2022","Undeclared","Security","535","525","36720","37280"
"In post","2022","Undeclared","Unknown","3395","3205","35030","30820"
"In post","2022","Unknown","Analysis","960","935","41500","37930"
"In post","2022","Unknown","Commercial","1840","1810","59990","56720"
"In post","2022","Unknown","Communications","2115","2065","34520","27570"
"In post","2022","Unknown","Counter Fraud","2240","2135","32880","31020"
"In post","2022","Unknown","Debt","1280","1180","22790","21250"
"In post","2022","Unknown","Digital, Data & Technology","3040","2980","41360","37930"
"In post","2022","Unknown","Finance","1480","1410","37340","33370"
"In post","2022","Unknown","Grants Management","860","815","23930","21300"
"In post","2022","Unknown","Human Resources","1060","1025","35990","32000"
"In post","2022","Unknown","Internal Audit","25","25","[c]","[c]"
"In post","2022","Unknown","Legal","1390","1300","47560","49820"
"In post","2022","Unknown","No function","39555","37175","30400","27380"
"In post","2022","Unknown","Project Delivery","2700","2625","42410","40000"
"In post","2022","Unknown","Property","1330","1290","32170","27000"
"In post","2022","Unknown","Security","1425","1400","31710","28440"
"In post","2022","Unknown","Unknown","11185","10835","35080","30820"
"In post","2022","White","Analysis","6135","5880","44020","38500"
"In post","2022","White","Commercial","3975","3840","42780","38670"
"In post","2022","White","Communications","5045","4850","37340","33370"
"In post","2022","White","Counter Fraud","11520","10590","32620","28920"
"In post","2022","White","Debt","4200","3690","24070","21260"
"In post","2022","White","Digital, Data & Technology","15350","14845","41410","38250"
"In post","2022","White","Finance","8535","8040","39760","35360"
"In post","2022","White","Grants Management","1310","1175","25940","24920"
"In post","2022","White","Human Resources","8945","8435","38000","33370"
"In post","2022","White","Internal Audit","560","535","46420","43310"
"In post","2022","White","Legal","8400","7810","47260","49710"
"In post","2022","White","No function","189910","174635","32120","27570"
"In post","2022","White","Project Delivery","20085","19245","42200","40000"
"In post","2022","White","Property","6700","6425","37540","33370"
"In post","2022","White","Security","8120","7915","32750","31180"
"In post","2022","White","Unknown","56035","53055","35160","30200"
"Leaver CS","2022","Asian","Analysis","55","[c]","35500","33290"
"Leaver CS","2022","Asian","Commercial","25","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Communications","25","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Counter Fraud","20","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Debt","20","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Digital, Data & Technology","120","[c]","41760","38140"
"Leaver CS","2022","Asian","Finance","45","[c]","41350","38960"
"Leaver CS","2022","Asian","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Human Resources","45","[c]","36610","32640"
"Leaver CS","2022","Asian","Internal Audit","5","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Legal","60","[c]","39670","37620"
"Leaver CS","2022","Asian","No function","1310","[c]","32430","27570"
"Leaver CS","2022","Asian","Project Delivery","50","[c]","43120","36740"
"Leaver CS","2022","Asian","Property","20","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Security","20","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","585","[c]","30050","27570"
"Leaver CS","2022","Black","Analysis","15","[c]","[c]","[c]"
"Leaver CS","2022","Black","Commercial","10","[c]","[c]","[c]"
"Leaver CS","2022","Black","Communications","15","[c]","[c]","[c]"
"Leaver CS","2022","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Digital, Data & Technology","45","[c]","42280","40030"
