"Status","Year","Age","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","EO","10","10","25700","25800"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","AA/AO","10","10","21050","21050"
"In post","2022","16-19","Crown Prosecution Service","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","AA/AO","30","30","21270","20440"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Science and Engineering","AA/AO","15","15","17490","17450"
"In post","2022","16-19","Defence Equipment and Support","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Finance","EO","15","15","19730","19460"
"In post","2022","16-19","Defence Equipment and Support","Other","EO","20","20","18390","18030"
"In post","2022","16-19","Defence Equipment and Support","Project Delivery","EO","5","5","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Science and Engineering","EO","60","60","18210","17140"
"In post","2022","16-19","Defence Science and Technology Laboratory","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Science and Engineering","AA/AO","15","15","19500","22230"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","EO","15","15","24960","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Unknown","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","AA/AO","65","65","21440","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","EO","25","25","27710","27570"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","AA/AO","30","30","21510","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","AA/AO","10","10","21260","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","AA/AO","75","60","19130","18310"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Property","Unknown","15","15","19130","16630"
"In post","2022","16-19","FCDO Services","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","AA/AO","25","20","21030","20970"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","AA/AO","160","160","23320","23140"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Finance","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","AA/AO","105","100","21330","21250"
