"Status","Year","Age","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","London","15","15","26940","27680"
"In post","2022","16-19","Analysis","Outside London","20","20","23110","23880"
"In post","2022","16-19","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","15","15","25930","25850"
"In post","2022","16-19","Communications","Outside London","10","10","23410","21250"
"In post","2022","16-19","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outside London","20","20","23610","21260"
"In post","2022","16-19","Debt","Outside London","50","45","21380","21250"
"In post","2022","16-19","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Outside London","25","25","21050","19380"
"In post","2022","16-19","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","35","30","20630","21250"
"In post","2022","16-19","Grants Management","Outside London","10","10","21070","21300"
"In post","2022","16-19","Human Resources","London","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","Outside London","15","15","21570","21170"
"In post","2022","16-19","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","London","15","15","22770","23320"
"In post","2022","16-19","Legal","Outside London","25","25","21540","22200"
"In post","2022","16-19","No function","London","65","60","25200","25110"
"In post","2022","16-19","No function","Outside London","615","585","21670","21250"
"In post","2022","16-19","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Outside London","110","110","18490","18030"
"In post","2022","16-19","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","30","30","22050","22010"
"In post","2022","16-19","Security","London","5","5","[c]","[c]"
"In post","2022","16-19","Security","Outside London","10","10","20740","21150"
"In post","2022","16-19","Unknown","London","10","10","26660","25630"
"In post","2022","16-19","Unknown","Outside London","120","115","22300","21680"
