"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Commercial","Unknown","Unknown","30","30","27590","27060"
"In post","2022","20-29","Communications","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","20-29","Communications","AA/AO","AO","60","60","22690","21890"
"In post","2022","20-29","Communications","EO","EO","205","205","27300","27270"
"In post","2022","20-29","Communications","G6/G7","G6","10","10","65610","66230"
"In post","2022","20-29","Communications","G6/G7","G7","80","80","54220","53360"
"In post","2022","20-29","Communications","SEO/HEO","HEO","360","360","34110","33210"
"In post","2022","20-29","Communications","SEO/HEO","SEO","160","160","41600","41700"
"In post","2022","20-29","Communications","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Corporate Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","AA/AO","AO","190","185","22880","21260"
"In post","2022","20-29","Counter Fraud","EO","EO","360","355","27830","27570"
"In post","2022","20-29","Counter Fraud","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","SEO/HEO","HEO","75","75","32760","31990"
"In post","2022","20-29","Counter Fraud","SEO/HEO","SEO","20","20","38480","39960"
"In post","2022","20-29","Digital, Data and Technology","AA/AO","AA","50","50","19360","17900"
"In post","2022","20-29","Digital, Data and Technology","AA/AO","AO","130","130","21950","21260"
"In post","2022","20-29","Digital, Data and Technology","EO","EO","905","900","27120","26820"
"In post","2022","20-29","Digital, Data and Technology","G6/G7","G6","15","15","65880","64180"
"In post","2022","20-29","Digital, Data and Technology","G6/G7","G7","230","230","53860","53360"
"In post","2022","20-29","Digital, Data and Technology","SEO/HEO","HEO","965","960","33080","33080"
"In post","2022","20-29","Digital, Data and Technology","SEO/HEO","SEO","625","625","40580","40230"
"In post","2022","20-29","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","AA/AO","AO","70","70","21910","21250"
"In post","2022","20-29","Economics","EO","EO","105","105","26950","27270"
"In post","2022","20-29","Economics","G6/G7","G6","10","10","64790","64310"
"In post","2022","20-29","Economics","G6/G7","G7","260","260","55210","54300"
"In post","2022","20-29","Economics","SEO/HEO","HEO","620","615","33930","33570"
"In post","2022","20-29","Economics","SEO/HEO","SEO","105","105","40630","41750"
"In post","2022","20-29","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","20-29","Finance","AA/AO","AO","170","160","22000","21250"
"In post","2022","20-29","Finance","EO","EO","510","505","25800","26350"
"In post","2022","20-29","Finance","G6/G7","G6","20","20","64260","64180"
"In post","2022","20-29","Finance","G6/G7","G7","150","150","53920","53420"
"In post","2022","20-29","Finance","SEO/HEO","HEO","480","475","32870","32940"
"In post","2022","20-29","Finance","SEO/HEO","SEO","260","260","40530","40650"
"In post","2022","20-29","Finance","Unknown","Unknown","15","15","29380","31010"
"In post","2022","20-29","Geography","AA/AO","AO","45","45","20480","20420"
"In post","2022","20-29","Geography","EO","EO","45","45","26730","26740"
"In post","2022","20-29","Geography","SEO/HEO","HEO","20","20","33290","33290"
"In post","2022","20-29","Geography","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","AA/AO","AA","25","25","19570","19810"
"In post","2022","20-29","Human Resources","AA/AO","AO","210","205","22110","21250"
"In post","2022","20-29","Human Resources","EO","EO","370","365","26600","26750"
"In post","2022","20-29","Human Resources","G6/G7","G6","10","10","65260","65310"
"In post","2022","20-29","Human Resources","G6/G7","G7","120","120","53670","53360"
"In post","2022","20-29","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SEO/HEO","HEO","465","460","32100","32000"
"In post","2022","20-29","Human Resources","SEO/HEO","SEO","140","140","39630","40180"
"In post","2022","20-29","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","AA/AO","AO","15","15","22870","21680"
