"Status","Year","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","45","45","21230","21380"
"In post","2022","16-19","Cheshire","5","5","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","25","25","22190","21250"
"In post","2022","16-19","Devon","25","25","19540","19380"
"In post","2022","16-19","Dorset and Somerset","5","5","[c]","[c]"
"In post","2022","16-19","East Anglia","30","30","22490","21680"
"In post","2022","16-19","East Wales","55","55","21020","21250"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","10","10","[c]","[c]"
"In post","2022","16-19","Eastern Scotland","60","60","22150","21250"
"In post","2022","16-19","Essex","10","10","[c]","[c]"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","140","140","19380","19460"
"In post","2022","16-19","Greater Manchester","60","60","22560","21260"
"In post","2022","16-19","Hampshire and Isle of Wight","35","35","21520","21170"
"In post","2022","16-19","Herefordshire, Worcestershire and Warwickshire","5","5","[c]","[c]"
"In post","2022","16-19","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - East","20","20","26420","25110"
"In post","2022","16-19","Inner London - West","90","90","25410","25170"
"In post","2022","16-19","Kent","35","35","23560","21790"
"In post","2022","16-19","Lancashire","30","30","22060","21260"
"In post","2022","16-19","Leicestershire, Rutland and Northamptonshire","20","20","21880","21260"
"In post","2022","16-19","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Merseyside","55","55","21860","21250"
"In post","2022","16-19","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North Yorkshire","5","5","[c]","[c]"
"In post","2022","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northumberland, and Tyne and Wear","60","60","21680","21250"
"In post","2022","16-19","Outer London - East and North East","10","10","26290","25110"
"In post","2022","16-19","Outer London - South","10","10","26020","25330"
"In post","2022","16-19","Outer London - West and North West","10","5","[c]","[c]"
"In post","2022","16-19","Shropshire and Staffordshire","15","15","21580","21840"
"In post","2022","16-19","South Yorkshire","20","20","22270","21260"
"In post","2022","16-19","Southern Scotland","25","25","20210","21050"
"In post","2022","16-19","Surrey, East and West Sussex","20","20","24340","23770"
"In post","2022","16-19","Tees Valley and Durham","15","15","22540","23140"
"In post","2022","16-19","Unknown","35","35","18030","16720"
"In post","2022","16-19","West Central Scotland","50","45","21340","21150"
"In post","2022","16-19","West Midlands","50","50","22280","21260"
"In post","2022","16-19","West Wales and The Valleys","85","70","19770","18310"
"In post","2022","16-19","West Yorkshire","70","70","22160","21250"
"In post","2022","20-29","Bedfordshire and Hertfordshire","700","695","28410","28140"
"In post","2022","20-29","Berkshire, Buckinghamshire and Oxfordshire","1470","1455","27700","27570"
"In post","2022","20-29","Cheshire","675","670","27030","26350"
"In post","2022","20-29","Cornwall and Isles of Scilly","140","140","24020","21260"
"In post","2022","20-29","Cumbria","245","245","24690","23360"
"In post","2022","20-29","Derbyshire and Nottinghamshire","2205","2170","27050","26590"
"In post","2022","20-29","Devon","1085","1065","25980","24770"
"In post","2022","20-29","Dorset and Somerset","595","585","25610","25100"
"In post","2022","20-29","East Anglia","1670","1640","26070","25700"
"In post","2022","20-29","East Wales","3525","3475","27530","26410"
"In post","2022","20-29","East Yorkshire and Northern Lincolnshire","710","695","24460","24090"
"In post","2022","20-29","Eastern Scotland","3355","3300","28340","27230"
"In post","2022","20-29","Essex","675","670","26740","25040"
"In post","2022","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","5530","5470","28420","27540"
"In post","2022","20-29","Greater Manchester","3935","3885","28250","26820"
"In post","2022","20-29","Hampshire and Isle of Wight","1995","1960","28290","27010"
"In post","2022","20-29","Herefordshire, Worcestershire and Warwickshire","525","520","24720","24260"
"In post","2022","20-29","Highlands and Islands","190","190","25770","25000"
"In post","2022","20-29","Inner London - East","3375","3350","35030","32260"
"In post","2022","20-29","Inner London - West","16795","16725","38160","34710"
"In post","2022","20-29","Kent","1235","1220","26580","25040"
"In post","2022","20-29","Lancashire","1715","1675","24750","23170"
"In post","2022","20-29","Leicestershire, Rutland and Northamptonshire","975","950","24310","23170"
"In post","2022","20-29","Lincolnshire","315","310","25190","24920"
"In post","2022","20-29","Merseyside","3200","3135","25710","24880"
"In post","2022","20-29","North Eastern Scotland","245","240","28620","27230"
"In post","2022","20-29","North Yorkshire","605","595","27070","26370"
"In post","2022","20-29","Northern Ireland","555","545","25460","24500"
"In post","2022","20-29","Northumberland, and Tyne and Wear","3220","3160","26720","26590"
"In post","2022","20-29","Outer London - East and North East","745","735","29170","31060"
"In post","2022","20-29","Outer London - South","1605","1590","33590","31040"
"In post","2022","20-29","Outer London - West and North West","1435","1400","29950","29250"
"In post","2022","20-29","Overseas","325","325","35670","33230"
"In post","2022","20-29","Shropshire and Staffordshire","1190","1165","25710","24920"
"In post","2022","20-29","South Yorkshire","1490","1465","27340","25000"
"In post","2022","20-29","Southern Scotland","805","785","26040","24020"
"In post","2022","20-29","Surrey, East and West Sussex","1195","1175","27660","27570"
"In post","2022","20-29","Tees Valley and Durham","1380","1345","25340","24260"
"In post","2022","20-29","Unknown","805","800","29380","28980"
"In post","2022","20-29","West Central Scotland","2955","2905","27050","25680"
"In post","2022","20-29","West Midlands","3370","3305","27020","26130"
"In post","2022","20-29","West Wales and The Valleys","1980","1915","24310","22600"
"In post","2022","20-29","West Yorkshire","3840","3775","27730","26610"
"In post","2022","30-39","Bedfordshire and Hertfordshire","910","865","33380","30450"
"In post","2022","30-39","Berkshire, Buckinghamshire and Oxfordshire","1885","1810","33020","30700"
"In post","2022","30-39","Cheshire","970","930","31840","30640"
"In post","2022","30-39","Cornwall and Isles of Scilly","270","245","27090","26670"
"In post","2022","30-39","Cumbria","390","360","27650","24920"
"In post","2022","30-39","Derbyshire and Nottinghamshire","2865","2705","31180","27570"
"In post","2022","30-39","Devon","1830","1705","31650","28340"
"In post","2022","30-39","Dorset and Somerset","915","875","30280","27570"
"In post","2022","30-39","East Anglia","2390","2240","29970","27570"
"In post","2022","30-39","East Wales","5240","5005","33450","30710"
"In post","2022","30-39","East Yorkshire and Northern Lincolnshire","890","825","28110","26880"
"In post","2022","30-39","Eastern Scotland","5000","4810","35330","32000"
"In post","2022","30-39","Essex","895","845","30520","29290"
"In post","2022","30-39","Gloucestershire, Wiltshire and Bath/Bristol area","7030","6680","35990","33840"
"In post","2022","30-39","Greater Manchester","5150","4960","33020","29580"
