"Status","Year","Function_of_post","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Communications","HM Revenue and Customs","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Revenue and Customs","Tax","2495","2415","28980","26820"
"In post","2022","Communications","HM Revenue and Customs","Unknown","195","195","37400","33080"
"In post","2022","Communications","HM Treasury","Communications","45","40","48870","45000"
"In post","2022","Communications","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Treasury","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Ministry of Defence","Communications","595","575","36210","33300"
"In post","2022","Communications","Ministry of Defence","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","Communications","Ministry of Defence","Other","15","15","31710","27220"
"In post","2022","Communications","Ministry of Justice","Communications","150","145","45120","41750"
"In post","2022","Communications","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Ministry of Justice","Human Resources","15","15","44970","38370"
"In post","2022","Communications","Ministry of Justice","Operational Delivery","15","15","39500","38900"
"In post","2022","Communications","National Crime Agency","Communications","30","30","44220","45480"
"In post","2022","Communications","Northern Ireland Office","Communications","20","20","47260","37680"
"In post","2022","Communications","Northern Ireland Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Communications","35","35","43280","39850"
"In post","2022","Communications","Office of Gas and Electricity Markets","Communications","45","45","45450","40410"
"In post","2022","Communications","Office of Gas and Electricity Markets","Other","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Qualifications and Examinations Regulation","Communications","10","10","44270","39910"
"In post","2022","Communications","Office of Rail and Road","Communications","20","20","46630","41160"
"In post","2022","Communications","Office of the Secretary of State for Scotland","Communications","5","5","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","Communications","5","5","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scottish Government","Communications","40","40","39130","37710"
"In post","2022","Communications","The National Archives","Communications","20","15","33960","29780"
"In post","2022","Communications","UK Export Finance","Communications","25","25","45660","41000"
"In post","2022","Communications","UK Export Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Export Finance","Operational Delivery","20","20","72030","55990"
"In post","2022","Communications","UK Export Finance","Policy","15","15","57210","52900"
"In post","2022","Communications","UK Statistics Authority","Communications","65","65","39150","36840"
"In post","2022","Communications","UK Supreme Court","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Supreme Court","Communications","5","5","[c]","[c]"
"In post","2022","Communications","UK Supreme Court","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Water Services Regulation Authority","Communications","15","15","48930","38910"
"In post","2022","Communications","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Attorney General's Departments","Counter Fraud","240","235","46740","40270"
"In post","2022","Counter Fraud","Cabinet Office","Unknown","130","130","46590","43890"
"In post","2022","Counter Fraud","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Department for Business, Energy and Industrial Strategy","Counter Fraud","410","385","33450","34050"
"In post","2022","Counter Fraud","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Department for Digital, Culture, Media and Sport","Counter Fraud","20","20","48600","51730"
"In post","2022","Counter Fraud","Department for Transport","Counter Fraud","55","50","30940","30730"
"In post","2022","Counter Fraud","Department for Work and Pensions","Counter Fraud","5570","4970","27930","27570"
"In post","2022","Counter Fraud","Department for Work and Pensions","Operational Delivery","815","725","25090","25110"
"In post","2022","Counter Fraud","Food Standards Agency","Counter Fraud","55","55","38260","37350"
"In post","2022","Counter Fraud","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","HM Revenue and Customs","Intelligence Analysis","255","245","38670","37610"
"In post","2022","Counter Fraud","HM Revenue and Customs","Knowledge and Information Management","35","35","40680","39230"
"In post","2022","Counter Fraud","HM Revenue and Customs","Legal","3400","3250","33750","33080"
"In post","2022","Counter Fraud","HM Revenue and Customs","Operational Delivery","3080","2860","32160","30750"
"In post","2022","Counter Fraud","HM Revenue and Customs","Operational Research","10","10","39950","31020"
"In post","2022","Counter Fraud","HM Revenue and Customs","Other","325","295","41870","40180"
